cluster,max_label,max_proportion
0,halfdim7,0.13178767
1,fulldim7,0.15140845
2,majorminor7,0.14008942
3,augminor7,0.13497537
4,major7,0.125
5,fulldim7,0.13717006
6,majorminor7,0.13744904
7,augmajor7,0.15072933
8,minor7,0.13700919
9,minor7,0.12765957
10,augminor7,0.13878143
11,major7,0.13494377
12,major7,0.1294896
13,major7,0.13463166
14,minormajor7,0.12776412
15,major7,0.125
16,major7,0.125
17,majorminor7,0.1409396
18,fulldim7,0.14227642
19,minor7,0.13050076
20,major7,0.13209637
21,augminor7,0.12888889
22,major7,0.12785389
23,augmajor7,0.15915915
