cluster,max_label,max_proportion
0,hairpin,0.2897959
1,flat,0.5413534
2,flat,0.41472173
3,hairpin,0.19772728
4,hairpin,0.23114754
5,subf,0.3390476
6,revhairpin,0.27029803
7,hairpin,0.22269808
8,flat,0.5088106
9,subp,0.2647059
10,flat,0.46042004
11,hairpin,0.21832359
12,revhairpin,0.24565217
13,subf,0.35576922
14,flat,0.36486486
15,hairpin,0.20745341
16,revhairpin,0.23340471
17,subp,0.2358804
18,revhairpin,0.2179752
19,subp,0.2951128
20,revhairpin,0.23844282
21,hairpin,0.22662602
22,subp,0.3060241
23,flat,0.37373737
