root_note_name,mode,midi_program_num,play_style_name,midi_program_name,path,sampling_rate,play_style,midi_category,name,mode_idx
C,ionian,0,UP,Acoustic Grand Piano,C_ionian_UP_0_Acoustic_Grand_Piano.wav,44100,0,Piano Timbres,C_ionian_UP_0_Acoustic_Grand_Piano,0
C,ionian,1,UP,Bright Acoustic Piano,C_ionian_UP_1_Bright_Acoustic_Piano.wav,44100,0,Piano Timbres,C_ionian_UP_1_Bright_Acoustic_Piano,0
C,ionian,2,UP,Electric Grand Piano,C_ionian_UP_2_Electric_Grand_Piano.wav,44100,0,Piano Timbres,C_ionian_UP_2_Electric_Grand_Piano,0
C,ionian,3,UP,Honky-tonk Piano,C_ionian_UP_3_Honky-tonk_Piano.wav,44100,0,Piano Timbres,C_ionian_UP_3_Honky-tonk_Piano,0
C,ionian,4,UP,Rhodes Piano,C_ionian_UP_4_Rhodes_Piano.wav,44100,0,Piano Timbres,C_ionian_UP_4_Rhodes_Piano,0
C,ionian,5,UP,Chorused Piano,C_ionian_UP_5_Chorused_Piano.wav,44100,0,Piano Timbres,C_ionian_UP_5_Chorused_Piano,0
C,ionian,6,UP,Harpsichord,C_ionian_UP_6_Harpsichord.wav,44100,0,Piano Timbres,C_ionian_UP_6_Harpsichord,0
C,ionian,7,UP,Clavinet,C_ionian_UP_7_Clavinet.wav,44100,0,Piano Timbres,C_ionian_UP_7_Clavinet,0
C,ionian,10,UP,Music Box,C_ionian_UP_10_Music_Box.wav,44100,0,Chromatic Percussion,C_ionian_UP_10_Music_Box,0
C,ionian,11,UP,Vibraphone,C_ionian_UP_11_Vibraphone.wav,44100,0,Chromatic Percussion,C_ionian_UP_11_Vibraphone,0
C,ionian,12,UP,Marimba,C_ionian_UP_12_Marimba.wav,44100,0,Chromatic Percussion,C_ionian_UP_12_Marimba,0
C,ionian,13,UP,Xylophone,C_ionian_UP_13_Xylophone.wav,44100,0,Chromatic Percussion,C_ionian_UP_13_Xylophone,0
C,ionian,15,UP,Dulcimer,C_ionian_UP_15_Dulcimer.wav,44100,0,Chromatic Percussion,C_ionian_UP_15_Dulcimer,0
C,ionian,16,UP,Hammond Organ,C_ionian_UP_16_Hammond_Organ.wav,44100,0,Organ Timbres,C_ionian_UP_16_Hammond_Organ,0
C,ionian,17,UP,Percussive Organ,C_ionian_UP_17_Percussive_Organ.wav,44100,0,Organ Timbres,C_ionian_UP_17_Percussive_Organ,0
C,ionian,18,UP,Rock Organ,C_ionian_UP_18_Rock_Organ.wav,44100,0,Organ Timbres,C_ionian_UP_18_Rock_Organ,0
C,ionian,19,UP,Church Organ,C_ionian_UP_19_Church_Organ.wav,44100,0,Organ Timbres,C_ionian_UP_19_Church_Organ,0
C,ionian,20,UP,Reed Organ,C_ionian_UP_20_Reed_Organ.wav,44100,0,Organ Timbres,C_ionian_UP_20_Reed_Organ,0
C,ionian,24,UP,Acoustic Nylon Guitar,C_ionian_UP_24_Acoustic_Nylon_Guitar.wav,44100,0,Guitar Timbres,C_ionian_UP_24_Acoustic_Nylon_Guitar,0
C,ionian,25,UP,Acoustic Steel Guitar,C_ionian_UP_25_Acoustic_Steel_Guitar.wav,44100,0,Guitar Timbres,C_ionian_UP_25_Acoustic_Steel_Guitar,0
C,ionian,26,UP,Electric Jazz Guitar,C_ionian_UP_26_Electric_Jazz_Guitar.wav,44100,0,Guitar Timbres,C_ionian_UP_26_Electric_Jazz_Guitar,0
C,ionian,27,UP,Electric Clean Guitar,C_ionian_UP_27_Electric_Clean_Guitar.wav,44100,0,Guitar Timbres,C_ionian_UP_27_Electric_Clean_Guitar,0
C,ionian,28,UP,Electric Muted Guitar,C_ionian_UP_28_Electric_Muted_Guitar.wav,44100,0,Guitar Timbres,C_ionian_UP_28_Electric_Muted_Guitar,0
C,ionian,29,UP,Overdriven Guitar,C_ionian_UP_29_Overdriven_Guitar.wav,44100,0,Guitar Timbres,C_ionian_UP_29_Overdriven_Guitar,0
C,ionian,30,UP,Distortion Guitar,C_ionian_UP_30_Distortion_Guitar.wav,44100,0,Guitar Timbres,C_ionian_UP_30_Distortion_Guitar,0
C,ionian,32,UP,Acoustic Bass,C_ionian_UP_32_Acoustic_Bass.wav,44100,0,Bass Timbres,C_ionian_UP_32_Acoustic_Bass,0
C,ionian,33,UP,Fingered Electric Bass,C_ionian_UP_33_Fingered_Electric_Bass.wav,44100,0,Bass Timbres,C_ionian_UP_33_Fingered_Electric_Bass,0
C,ionian,34,UP,Plucked Electric Bass,C_ionian_UP_34_Plucked_Electric_Bass.wav,44100,0,Bass Timbres,C_ionian_UP_34_Plucked_Electric_Bass,0
C,ionian,35,UP,Fretless Bass,C_ionian_UP_35_Fretless_Bass.wav,44100,0,Bass Timbres,C_ionian_UP_35_Fretless_Bass,0
C,ionian,36,UP,Slap Bass 1,C_ionian_UP_36_Slap_Bass_1.wav,44100,0,Bass Timbres,C_ionian_UP_36_Slap_Bass_1,0
C,ionian,37,UP,Slap Bass 2,C_ionian_UP_37_Slap_Bass_2.wav,44100,0,Bass Timbres,C_ionian_UP_37_Slap_Bass_2,0
C,ionian,38,UP,Synth Bass 1,C_ionian_UP_38_Synth_Bass_1.wav,44100,0,Bass Timbres,C_ionian_UP_38_Synth_Bass_1,0
C,ionian,39,UP,Synth Bass 2,C_ionian_UP_39_Synth_Bass_2.wav,44100,0,Bass Timbres,C_ionian_UP_39_Synth_Bass_2,0
