fold,fold_count,offset_ms,count,proportion
1,1530,0,312,0.20392156862745098
1,1530,120,321,0.20980392156862743
1,1530,204,297,0.1941176470588235
1,1530,700,285,0.18627450980392155
1,1530,1067,315,0.20588235294117646
2,1530,0,277,0.18104575163398692
2,1530,120,300,0.19607843137254902
2,1530,204,308,0.20130718954248364
2,1530,700,323,0.21111111111111108
2,1530,1067,322,0.21045751633986925
3,1530,0,323,0.21111111111111108
3,1530,120,302,0.19738562091503267
3,1530,204,315,0.20588235294117646
3,1530,700,309,0.20196078431372547
3,1530,1067,281,0.18366013071895423
4,1530,0,325,0.21241830065359477
4,1530,120,288,0.18823529411764706
4,1530,204,300,0.19607843137254902
4,1530,700,324,0.21176470588235294
4,1530,1067,293,0.1915032679738562
5,1530,0,294,0.19215686274509802
5,1530,120,292,0.19084967320261437
5,1530,204,289,0.18888888888888888
5,1530,700,327,0.21372549019607842
5,1530,1067,328,0.21437908496732025
6,1530,0,324,0.21176470588235294
6,1530,120,303,0.1980392156862745
6,1530,204,315,0.20588235294117646
6,1530,700,287,0.18758169934640523
6,1530,1067,301,0.19673202614379084
7,1530,0,300,0.19607843137254902
7,1530,120,332,0.21699346405228756
7,1530,204,291,0.19019607843137254
7,1530,700,299,0.1954248366013072
7,1530,1067,308,0.20130718954248364
8,1530,0,287,0.18758169934640523
8,1530,120,307,0.2006535947712418
8,1530,204,324,0.21176470588235294
8,1530,700,299,0.1954248366013072
8,1530,1067,313,0.2045751633986928
9,1530,0,315,0.20588235294117646
9,1530,120,292,0.19084967320261437
9,1530,204,276,0.1803921568627451
9,1530,700,331,0.21633986928104573
9,1530,1067,316,0.2065359477124183
10,1530,0,296,0.19346405228758168
10,1530,120,305,0.19934640522875816
10,1530,204,327,0.21372549019607842
10,1530,700,295,0.19281045751633985
10,1530,1067,307,0.2006535947712418
11,1530,0,317,0.20718954248366012
11,1530,120,312,0.20392156862745098
11,1530,204,310,0.2026143790849673
11,1530,700,308,0.20130718954248364
11,1530,1067,283,0.1849673202614379
12,1530,0,294,0.19215686274509802
12,1530,120,329,0.21503267973856208
12,1530,204,299,0.1954248366013072
12,1530,700,310,0.2026143790849673
12,1530,1067,298,0.19477124183006533
13,1530,0,335,0.21895424836601304
13,1530,120,296,0.19346405228758168
13,1530,204,304,0.19869281045751633
13,1530,700,299,0.1954248366013072
13,1530,1067,296,0.19346405228758168
14,1530,0,320,0.2091503267973856
14,1530,120,289,0.18888888888888888
14,1530,204,303,0.1980392156862745
14,1530,700,287,0.18758169934640523
14,1530,1067,331,0.21633986928104573
15,1530,0,313,0.2045751633986928
15,1530,120,300,0.19607843137254902
15,1530,204,295,0.19281045751633985
15,1530,700,312,0.20392156862745098
15,1530,1067,310,0.2026143790849673
16,1530,0,307,0.2006535947712418
16,1530,120,303,0.1980392156862745
16,1530,204,313,0.2045751633986928
16,1530,700,309,0.20196078431372547
16,1530,1067,298,0.19477124183006533
17,1530,0,303,0.1980392156862745
17,1530,120,316,0.2065359477124183
17,1530,204,315,0.20588235294117646
17,1530,700,310,0.2026143790849673
17,1530,1067,286,0.18692810457516337
18,1530,0,297,0.1941176470588235
18,1530,120,294,0.19215686274509802
18,1530,204,308,0.20130718954248364
18,1530,700,313,0.2045751633986928
18,1530,1067,318,0.20784313725490194
19,1530,0,300,0.19607843137254902
19,1530,120,317,0.20718954248366012
19,1530,204,310,0.2026143790849673
19,1530,700,311,0.20326797385620915
19,1530,1067,292,0.19084967320261437
20,1530,0,281,0.18366013071895423
20,1530,120,322,0.21045751633986925
20,1530,204,321,0.20980392156862743
20,1530,700,282,0.18431372549019606
20,1530,1067,324,0.21176470588235294
