set_type,set_type_count,norm_ratio,count,proportion
test,4590,0.0,135,0.029411764705882353
test,4590,0.054982817869415786,135,0.029411764705882353
test,4590,0.12371134020618553,135,0.029411764705882353
test,4590,0.1413843888070692,135,0.029411764705882353
test,4590,0.16082474226804122,135,0.029411764705882353
test,4590,0.24742268041237114,135,0.029411764705882353
test,4590,0.26288659793814434,135,0.029411764705882353
test,4590,0.29690721649484536,135,0.029411764705882353
test,4590,0.3195876288659794,135,0.029411764705882353
test,4590,0.33578792341678937,135,0.029411764705882353
test,4590,0.3573883161512027,135,0.029411764705882353
test,4590,0.37113402061855666,135,0.029411764705882353
test,4590,0.4948453608247422,135,0.029411764705882353
test,4590,0.5085910652920962,135,0.029411764705882353
test,4590,0.5301914580265095,135,0.029411764705882353
test,4590,0.5463917525773196,135,0.029411764705882353
test,4590,0.5690721649484536,135,0.029411764705882353
test,4590,0.6030927835051546,135,0.029411764705882353
test,4590,0.6185567010309279,135,0.029411764705882353
test,4590,0.6597938144329896,135,0.029411764705882353
test,4590,0.7051546391752576,135,0.029411764705882353
test,4590,0.7245949926362298,135,0.029411764705882353
test,4590,0.7422680412371133,135,0.029411764705882353
test,4590,0.7731958762886597,135,0.029411764705882353
test,4590,0.8109965635738833,135,0.029411764705882353
test,4590,0.8412371134020619,135,0.029411764705882353
test,4590,0.8659793814432991,135,0.029411764705882353
test,4590,0.88659793814433,135,0.029411764705882353
test,4590,0.9189985272459499,135,0.029411764705882353
test,4590,0.9432989690721648,135,0.029411764705882353
test,4590,0.9621993127147764,135,0.029411764705882353
test,4590,0.9773195876288661,135,0.029411764705882353
test,4590,0.9896907216494846,135,0.029411764705882353
test,4590,1.0,135,0.029411764705882353
train,21420,0.0,630,0.029411764705882353
train,21420,0.054982817869415786,630,0.029411764705882353
train,21420,0.12371134020618553,630,0.029411764705882353
train,21420,0.1413843888070692,630,0.029411764705882353
train,21420,0.16082474226804122,630,0.029411764705882353
train,21420,0.24742268041237114,630,0.029411764705882353
train,21420,0.26288659793814434,630,0.029411764705882353
train,21420,0.29690721649484536,630,0.029411764705882353
train,21420,0.3195876288659794,630,0.029411764705882353
train,21420,0.33578792341678937,630,0.029411764705882353
train,21420,0.3573883161512027,630,0.029411764705882353
train,21420,0.37113402061855666,630,0.029411764705882353
train,21420,0.4948453608247422,630,0.029411764705882353
train,21420,0.5085910652920962,630,0.029411764705882353
train,21420,0.5301914580265095,630,0.029411764705882353
train,21420,0.5463917525773196,630,0.029411764705882353
train,21420,0.5690721649484536,630,0.029411764705882353
train,21420,0.6030927835051546,630,0.029411764705882353
train,21420,0.6185567010309279,630,0.029411764705882353
train,21420,0.6597938144329896,630,0.029411764705882353
train,21420,0.7051546391752576,630,0.029411764705882353
train,21420,0.7245949926362298,630,0.029411764705882353
train,21420,0.7422680412371133,630,0.029411764705882353
train,21420,0.7731958762886597,630,0.029411764705882353
train,21420,0.8109965635738833,630,0.029411764705882353
train,21420,0.8412371134020619,630,0.029411764705882353
train,21420,0.8659793814432991,630,0.029411764705882353
train,21420,0.88659793814433,630,0.029411764705882353
train,21420,0.9189985272459499,630,0.029411764705882353
train,21420,0.9432989690721648,630,0.029411764705882353
train,21420,0.9621993127147764,630,0.029411764705882353
train,21420,0.9773195876288661,630,0.029411764705882353
train,21420,0.9896907216494846,630,0.029411764705882353
train,21420,1.0,630,0.029411764705882353
valid,4590,0.0,135,0.029411764705882353
valid,4590,0.054982817869415786,135,0.029411764705882353
valid,4590,0.12371134020618553,135,0.029411764705882353
valid,4590,0.1413843888070692,135,0.029411764705882353
valid,4590,0.16082474226804122,135,0.029411764705882353
valid,4590,0.24742268041237114,135,0.029411764705882353
valid,4590,0.26288659793814434,135,0.029411764705882353
valid,4590,0.29690721649484536,135,0.029411764705882353
valid,4590,0.3195876288659794,135,0.029411764705882353
valid,4590,0.33578792341678937,135,0.029411764705882353
valid,4590,0.3573883161512027,135,0.029411764705882353
valid,4590,0.37113402061855666,135,0.029411764705882353
valid,4590,0.4948453608247422,135,0.029411764705882353
valid,4590,0.5085910652920962,135,0.029411764705882353
valid,4590,0.5301914580265095,135,0.029411764705882353
valid,4590,0.5463917525773196,135,0.029411764705882353
valid,4590,0.5690721649484536,135,0.029411764705882353
valid,4590,0.6030927835051546,135,0.029411764705882353
valid,4590,0.6185567010309279,135,0.029411764705882353
valid,4590,0.6597938144329896,135,0.029411764705882353
valid,4590,0.7051546391752576,135,0.029411764705882353
valid,4590,0.7245949926362298,135,0.029411764705882353
valid,4590,0.7422680412371133,135,0.029411764705882353
valid,4590,0.7731958762886597,135,0.029411764705882353
valid,4590,0.8109965635738833,135,0.029411764705882353
valid,4590,0.8412371134020619,135,0.029411764705882353
valid,4590,0.8659793814432991,135,0.029411764705882353
valid,4590,0.88659793814433,135,0.029411764705882353
valid,4590,0.9189985272459499,135,0.029411764705882353
valid,4590,0.9432989690721648,135,0.029411764705882353
valid,4590,0.9621993127147764,135,0.029411764705882353
valid,4590,0.9773195876288661,135,0.029411764705882353
valid,4590,0.9896907216494846,135,0.029411764705882353
valid,4590,1.0,135,0.029411764705882353
