set_type,set_type_count,dyn2,count,proportion
test,6804,f,2073,0.304673721340388
test,6804,ff,2149,0.31584362139917693
test,6804,mf,2161,0.31760728982951203
test,6804,mp,126,0.018518518518518517
test,6804,p,144,0.021164021164021163
test,6804,pp,151,0.022192827748383305
train,31752,f,9962,0.31374401612496855
train,31752,ff,9944,0.31317712270093223
train,31752,mf,9867,0.3107520786092215
train,31752,mp,664,0.020912068531116153
train,31752,p,661,0.020817586293776773
train,31752,pp,654,0.020597127739984886
valid,6804,f,2140,0.31452087007642565
valid,6804,ff,2082,0.30599647266313934
valid,6804,mf,2147,0.31554967666078776
valid,6804,mp,155,0.02278071722516167
valid,6804,p,140,0.0205761316872428
valid,6804,pp,140,0.0205761316872428
