set_type,set_type_count,inst,count,proportion
test,5298,AcousticBass,58,0.010947527368818422
test,5298,AcousticGrandPiano,64,0.0120800302000755
test,5298,AcousticGuitar(nylon),55,0.010381275953189883
test,5298,AcousticGuitar(steel),61,0.011513778784446961
test,5298,AltoSax,68,0.012835032087580219
test,5298,Bagpipe,63,0.01189127972819932
test,5298,Banjo,52,0.009815024537561343
test,5298,BaritoneSax,52,0.009815024537561343
test,5298,Bassoon,64,0.0120800302000755
test,5298,BlownBottle,51,0.009626274065685165
test,5298,BrassSection,54,0.010192525481313703
test,5298,BrightAcousticPiano,53,0.010003775009437523
test,5298,Cello,55,0.010381275953189883
test,5298,ChoirAahs,56,0.010570026425066062
test,5298,ChurchOrgan,52,0.009815024537561343
test,5298,Clarinet,52,0.009815024537561343
test,5298,Clavinet,73,0.013778784446961116
test,5298,Contrabass,64,0.0120800302000755
test,5298,DistortionGuitar,71,0.013401283503208758
test,5298,DrawbarOrgan,63,0.01189127972819932
test,5298,Dulcimer,50,0.009437523593808984
test,5298,ElectricBass(finger),49,0.009248773121932804
test,5298,ElectricBass(pick),59,0.0111362778406946
test,5298,ElectricGrandPiano,64,0.0120800302000755
test,5298,ElectricGuitar(clean),61,0.011513778784446961
test,5298,ElectricGuitar(jazz),72,0.013590033975084938
test,5298,ElectricGuitar(muted),64,0.0120800302000755
test,5298,ElectricPiano1,48,0.009060022650056624
test,5298,ElectricPiano2,64,0.0120800302000755
test,5298,EnglishHorn,55,0.010381275953189883
test,5298,Fiddle,54,0.010192525481313703
test,5298,Flute,61,0.011513778784446961
test,5298,FrenchHorn,43,0.008116270290675727
test,5298,FretlessBass,59,0.0111362778406946
test,5298,Harpsichord,64,0.0120800302000755
test,5298,Honky-tonkPiano,66,0.012457531143827858
test,5298,Kalimba,48,0.009060022650056624
test,5298,Koto,52,0.009815024537561343
test,5298,Lead1(square),52,0.009815024537561343
test,5298,Lead2(sawtooth),58,0.010947527368818422
test,5298,Lead3(calliope),68,0.012835032087580219
test,5298,Lead4(chiff),43,0.008116270290675727
test,5298,Lead5(charang),76,0.014345035862589657
test,5298,Lead6(voice),52,0.009815024537561343
test,5298,Lead8(bass+lead),53,0.010003775009437523
test,5298,Marimba,62,0.011702529256323141
test,5298,MusicBox,55,0.010381275953189883
test,5298,MutedTrumpet,75,0.014156285390713477
test,5298,Oboe,50,0.009437523593808984
test,5298,Ocarina,54,0.010192525481313703
test,5298,OrchestralHarp,55,0.010381275953189883
test,5298,OverdrivenGuitar,60,0.011325028312570781
test,5298,Pad1(newage),67,0.012646281615704039
test,5298,Pad2(warm),58,0.010947527368818422
test,5298,Pad3(polysynth),61,0.011513778784446961
test,5298,Pad4(choir),65,0.01226878067195168
test,5298,Pad5(bowed),63,0.01189127972819932
test,5298,Pad6(metallic),45,0.008493771234428085
test,5298,Pad7(halo),57,0.010758776896942242
test,5298,Pad8(sweep),55,0.010381275953189883
test,5298,PanFlute,63,0.01189127972819932
test,5298,PercussiveOrgan,51,0.009626274065685165
test,5298,Piccolo,53,0.010003775009437523
test,5298,PizzicatoStrings,62,0.011702529256323141
test,5298,Recorder,42,0.007927519818799546
test,5298,ReedOrgan,68,0.012835032087580219
test,5298,RockOrgan,51,0.009626274065685165
test,5298,Shamisen,53,0.010003775009437523
test,5298,Shanai,56,0.010570026425066062
test,5298,Sitar,56,0.010570026425066062
test,5298,SlapBass1,61,0.011513778784446961
test,5298,SlapBass2,46,0.008682521706304265
test,5298,SopranoSax,64,0.0120800302000755
test,5298,StringEnsemble1,40,0.007550018875047188
test,5298,StringEnsemble2,64,0.0120800302000755
test,5298,SynthBass1,54,0.010192525481313703
test,5298,SynthBass2,44,0.008305020762551907
test,5298,SynthBrass1,45,0.008493771234428085
test,5298,SynthBrass2,46,0.008682521706304265
test,5298,SynthStrings1,59,0.0111362778406946
test,5298,SynthStrings2,56,0.010570026425066062
test,5298,SynthVoice,63,0.01189127972819932
test,5298,TenorSax,64,0.0120800302000755
test,5298,TremoloStrings,53,0.010003775009437523
test,5298,Trombone,51,0.009626274065685165
test,5298,Trumpet,60,0.011325028312570781
test,5298,Tuba,58,0.010947527368818422
test,5298,Vibraphone,52,0.009815024537561343
test,5298,Viola,66,0.012457531143827858
test,5298,Violin,55,0.010381275953189883
test,5298,VoiceOohs,63,0.01189127972819932
test,5298,Xylophone,81,0.015288788221970554
train,24732,AcousticBass,276,0.011159631246967491
train,24732,AcousticGrandPiano,267,0.010795730228044639
train,24732,AcousticGuitar(nylon),283,0.011442665372796378
train,24732,AcousticGuitar(steel),267,0.010795730228044639
train,24732,AltoSax,258,0.010431829209121786
train,24732,Bagpipe,259,0.010472262655668769
train,24732,Banjo,276,0.011159631246967491
train,24732,BaritoneSax,283,0.011442665372796378
train,24732,Bassoon,272,0.010997897460779556
train,24732,BlownBottle,270,0.01091703056768559
train,24732,BrassSection,263,0.010633996441856704
train,24732,BrightAcousticPiano,269,0.010876597121138606
train,24732,Cello,269,0.010876597121138606
train,24732,ChoirAahs,263,0.010633996441856704
train,24732,ChurchOrgan,273,0.011038330907326541
train,24732,Clarinet,269,0.010876597121138606
train,24732,Clavinet,261,0.010553129548762736
train,24732,Contrabass,267,0.010795730228044639
train,24732,DistortionGuitar,265,0.010714863334950671
train,24732,DrawbarOrgan,263,0.010633996441856704
train,24732,Dulcimer,261,0.010553129548762736
train,24732,ElectricBass(finger),276,0.011159631246967491
train,24732,ElectricBass(pick),280,0.011321365033155426
train,24732,ElectricGrandPiano,264,0.010674429888403688
train,24732,ElectricGuitar(clean),271,0.010957464014232574
train,24732,ElectricGuitar(jazz),264,0.010674429888403688
train,24732,ElectricGuitar(muted),257,0.010391395762574801
train,24732,ElectricPiano1,276,0.011159631246967491
train,24732,ElectricPiano2,264,0.010674429888403688
train,24732,EnglishHorn,262,0.010593562995309721
train,24732,Fiddle,278,0.011240498140061459
train,24732,Flute,279,0.011280931586608443
train,24732,FrenchHorn,286,0.011563965712437329
train,24732,FretlessBass,267,0.010795730228044639
train,24732,Harpsichord,263,0.010633996441856704
train,24732,Honky-tonkPiano,257,0.010391395762574801
train,24732,Kalimba,277,0.011200064693514476
train,24732,Koto,281,0.01136179847970241
train,24732,Lead1(square),277,0.011200064693514476
train,24732,Lead2(sawtooth),273,0.011038330907326541
train,24732,Lead3(calliope),256,0.010350962316027819
train,24732,Lead4(chiff),286,0.011563965712437329
train,24732,Lead5(charang),257,0.010391395762574801
train,24732,Lead6(voice),284,0.011483098819343361
train,24732,Lead8(bass+lead),272,0.010997897460779556
train,24732,Marimba,280,0.011321365033155426
train,24732,MusicBox,272,0.010997897460779556
train,24732,MutedTrumpet,260,0.010512696102215753
train,24732,Oboe,268,0.010836163674591623
train,24732,Ocarina,253,0.010229661976386868
train,24732,OrchestralHarp,251,0.0101487950832929
train,24732,OverdrivenGuitar,271,0.010957464014232574
train,24732,Pad1(newage),256,0.010350962316027819
train,24732,Pad2(warm),254,0.010270095422933851
train,24732,Pad3(polysynth),266,0.010755296781497656
train,24732,Pad4(choir),246,0.009946627850557981
train,24732,Pad5(bowed),250,0.010108361636745916
train,24732,Pad6(metallic),275,0.011119197800420508
train,24732,Pad7(halo),265,0.010714863334950671
train,24732,Pad8(sweep),273,0.011038330907326541
train,24732,PanFlute,268,0.010836163674591623
train,24732,PercussiveOrgan,266,0.010755296781497656
train,24732,Piccolo,277,0.011200064693514476
train,24732,PizzicatoStrings,269,0.010876597121138606
train,24732,Recorder,288,0.011644832605531296
train,24732,ReedOrgan,253,0.010229661976386868
train,24732,RockOrgan,269,0.010876597121138606
train,24732,Shamisen,273,0.011038330907326541
train,24732,Shanai,269,0.010876597121138606
train,24732,Sitar,274,0.011078764353873524
train,24732,SlapBass1,259,0.010472262655668769
train,24732,SlapBass2,267,0.010795730228044639
train,24732,SopranoSax,268,0.010836163674591623
train,24732,StringEnsemble1,287,0.011604399158984311
train,24732,StringEnsemble2,267,0.010795730228044639
train,24732,SynthBass1,271,0.010957464014232574
train,24732,SynthBass2,276,0.011159631246967491
train,24732,SynthBrass1,287,0.011604399158984311
train,24732,SynthBrass2,283,0.011442665372796378
train,24732,SynthStrings1,272,0.010997897460779556
train,24732,SynthStrings2,269,0.010876597121138606
train,24732,SynthVoice,264,0.010674429888403688
train,24732,TenorSax,260,0.010512696102215753
train,24732,TremoloStrings,268,0.010836163674591623
train,24732,Trombone,273,0.011038330907326541
train,24732,Trumpet,266,0.010755296781497656
train,24732,Tuba,280,0.011321365033155426
train,24732,Vibraphone,272,0.010997897460779556
train,24732,Viola,262,0.010593562995309721
train,24732,Violin,277,0.011200064693514476
train,24732,VoiceOohs,260,0.010512696102215753
train,24732,Xylophone,257,0.010391395762574801
valid,5298,AcousticBass,50,0.009437523593808984
valid,5298,AcousticGrandPiano,53,0.010003775009437523
valid,5298,AcousticGuitar(nylon),46,0.008682521706304265
valid,5298,AcousticGuitar(steel),56,0.010570026425066062
valid,5298,AltoSax,58,0.010947527368818422
valid,5298,Bagpipe,62,0.011702529256323141
valid,5298,Banjo,56,0.010570026425066062
valid,5298,BaritoneSax,49,0.009248773121932804
valid,5298,Bassoon,48,0.009060022650056624
valid,5298,BlownBottle,63,0.01189127972819932
valid,5298,BrassSection,67,0.012646281615704039
valid,5298,BrightAcousticPiano,62,0.011702529256323141
valid,5298,Cello,60,0.011325028312570781
valid,5298,ChoirAahs,65,0.01226878067195168
valid,5298,ChurchOrgan,59,0.0111362778406946
valid,5298,Clarinet,63,0.01189127972819932
valid,5298,Clavinet,50,0.009437523593808984
valid,5298,Contrabass,53,0.010003775009437523
valid,5298,DistortionGuitar,48,0.009060022650056624
valid,5298,DrawbarOrgan,58,0.010947527368818422
valid,5298,Dulcimer,73,0.013778784446961116
valid,5298,ElectricBass(finger),59,0.0111362778406946
valid,5298,ElectricBass(pick),45,0.008493771234428085
valid,5298,ElectricGrandPiano,56,0.010570026425066062
valid,5298,ElectricGuitar(clean),52,0.009815024537561343
valid,5298,ElectricGuitar(jazz),48,0.009060022650056624
valid,5298,ElectricGuitar(muted),63,0.01189127972819932
valid,5298,ElectricPiano1,60,0.011325028312570781
valid,5298,ElectricPiano2,56,0.010570026425066062
valid,5298,EnglishHorn,67,0.012646281615704039
valid,5298,Fiddle,52,0.009815024537561343
valid,5298,Flute,44,0.008305020762551907
valid,5298,FrenchHorn,55,0.010381275953189883
valid,5298,FretlessBass,58,0.010947527368818422
valid,5298,Harpsichord,57,0.010758776896942242
valid,5298,Honky-tonkPiano,61,0.011513778784446961
valid,5298,Kalimba,59,0.0111362778406946
valid,5298,Koto,51,0.009626274065685165
valid,5298,Lead1(square),55,0.010381275953189883
valid,5298,Lead2(sawtooth),53,0.010003775009437523
valid,5298,Lead3(calliope),60,0.011325028312570781
valid,5298,Lead4(chiff),55,0.010381275953189883
valid,5298,Lead5(charang),51,0.009626274065685165
valid,5298,Lead6(voice),48,0.009060022650056624
valid,5298,Lead8(bass+lead),59,0.0111362778406946
valid,5298,Marimba,42,0.007927519818799546
valid,5298,MusicBox,57,0.010758776896942242
valid,5298,MutedTrumpet,49,0.009248773121932804
valid,5298,Oboe,66,0.012457531143827858
valid,5298,Ocarina,77,0.014533786334465835
valid,5298,OrchestralHarp,78,0.014722536806342015
