fold,fold_count,inst,count,proportion
1,994,AcousticBass,15,0.015090543259557346
1,994,AcousticGrandPiano,13,0.013078470824949699
1,994,AcousticGuitar(nylon),8,0.008048289738430584
1,994,AcousticGuitar(steel),12,0.012072434607645876
1,994,AltoSax,12,0.012072434607645876
1,994,Bagpipe,7,0.007042253521126762
1,994,Banjo,9,0.009054325955734407
1,994,BaritoneSax,7,0.007042253521126762
1,994,Bassoon,9,0.009054325955734407
1,994,BlownBottle,7,0.007042253521126762
1,994,BrassSection,12,0.012072434607645876
1,994,BrightAcousticPiano,11,0.011066398390342054
1,994,Cello,8,0.008048289738430584
1,994,ChoirAahs,11,0.011066398390342054
1,994,ChurchOrgan,10,0.01006036217303823
1,994,Clarinet,8,0.008048289738430584
1,994,Clavinet,14,0.014084507042253523
1,994,Contrabass,12,0.012072434607645876
1,994,DistortionGuitar,11,0.011066398390342054
1,994,DrawbarOrgan,12,0.012072434607645876
1,994,Dulcimer,15,0.015090543259557346
1,994,ElectricBass(finger),9,0.009054325955734407
1,994,ElectricBass(pick),9,0.009054325955734407
1,994,ElectricGrandPiano,10,0.01006036217303823
1,994,ElectricGuitar(clean),11,0.011066398390342054
1,994,ElectricGuitar(jazz),14,0.014084507042253523
1,994,ElectricGuitar(muted),14,0.014084507042253523
1,994,ElectricPiano1,7,0.007042253521126762
1,994,ElectricPiano2,11,0.011066398390342054
1,994,EnglishHorn,10,0.01006036217303823
1,994,Fiddle,14,0.014084507042253523
1,994,Flute,9,0.009054325955734407
1,994,FrenchHorn,13,0.013078470824949699
1,994,FretlessBass,10,0.01006036217303823
1,994,Harpsichord,11,0.011066398390342054
1,994,Honky-tonkPiano,12,0.012072434607645876
1,994,Kalimba,12,0.012072434607645876
1,994,Koto,8,0.008048289738430584
1,994,Lead1(square),9,0.009054325955734407
1,994,Lead2(sawtooth),9,0.009054325955734407
1,994,Lead3(calliope),11,0.011066398390342054
1,994,Lead4(chiff),12,0.012072434607645876
1,994,Lead5(charang),13,0.013078470824949699
1,994,Lead6(voice),9,0.009054325955734407
1,994,Lead8(bass+lead),6,0.006036217303822938
1,994,Marimba,15,0.015090543259557346
1,994,MusicBox,9,0.009054325955734407
1,994,MutedTrumpet,15,0.015090543259557346
1,994,Oboe,10,0.01006036217303823
1,994,Ocarina,9,0.009054325955734407
1,994,OrchestralHarp,14,0.014084507042253523
1,994,OverdrivenGuitar,8,0.008048289738430584
1,994,Pad1(newage),11,0.011066398390342054
1,994,Pad2(warm),15,0.015090543259557346
1,994,Pad3(polysynth),11,0.011066398390342054
1,994,Pad4(choir),15,0.015090543259557346
1,994,Pad5(bowed),11,0.011066398390342054
1,994,Pad6(metallic),9,0.009054325955734407
1,994,Pad7(halo),10,0.01006036217303823
