fold,fold_count,octave,count,proportion
1,1767,3,1432,0.810413129598189
1,1767,4,335,0.189586870401811
2,1767,3,1439,0.8143746462931523
2,1767,4,328,0.18562535370684777
3,1767,3,1448,0.8194680249009622
3,1767,4,319,0.18053197509903793
4,1767,3,1466,0.8296547821165818
4,1767,4,301,0.17034521788341822
5,1767,3,1466,0.8296547821165818
5,1767,4,301,0.17034521788341822
6,1767,3,1456,0.8239954725523486
6,1767,4,311,0.17600452744765138
7,1767,3,1432,0.810413129598189
7,1767,4,335,0.189586870401811
8,1767,3,1414,0.8002263723825693
8,1767,4,353,0.19977362761743067
9,1766,3,1439,0.8148357870894678
9,1766,4,327,0.18516421291053228
10,1766,3,1427,0.8080407701019253
10,1766,4,339,0.19195922989807476
11,1766,3,1463,0.8284258210645528
11,1766,4,303,0.17157417893544735
12,1766,3,1490,0.8437146092865233
12,1766,4,276,0.1562853907134768
13,1766,3,1465,0.8295583238958097
13,1766,4,301,0.17044167610419028
14,1766,3,1428,0.8086070215175538
14,1766,4,338,0.1913929784824462
15,1766,3,1477,0.8363533408833522
15,1766,4,289,0.1636466591166478
16,1766,3,1439,0.8148357870894678
16,1766,4,327,0.18516421291053228
17,1766,3,1459,0.8261608154020386
17,1766,4,307,0.1738391845979615
18,1766,3,1472,0.8335220838052095
18,1766,4,294,0.1664779161947905
19,1766,3,1487,0.8420158550396376
19,1766,4,279,0.15798414496036242
20,1766,3,1473,0.8340883352208381
20,1766,4,293,0.16591166477916197
