set_type,set_type_count,inst,count,proportion
test,2979,AcousticBass,26,0.00872776099362202
test,2979,AcousticGrandPiano,34,0.011413225914736489
test,2979,AcousticGuitar(nylon),27,0.00906344410876133
test,2979,AcousticGuitar(steel),34,0.011413225914736489
test,2979,AltoSax,24,0.008056394763343404
test,2979,Bagpipe,36,0.012084592145015106
test,2979,Banjo,30,0.010070493454179255
test,2979,BaritoneSax,32,0.010741859684457872
test,2979,Bassoon,45,0.015105740181268881
test,2979,BlownBottle,35,0.011748909029875798
test,2979,BrassSection,25,0.008392077878482711
test,2979,BrightAcousticPiano,33,0.01107754279959718
test,2979,Cello,34,0.011413225914736489
test,2979,ChoirAahs,35,0.011748909029875798
test,2979,ChurchOrgan,33,0.01107754279959718
test,2979,Clarinet,37,0.012420275260154413
test,2979,Clavinet,45,0.015105740181268881
test,2979,Contrabass,32,0.010741859684457872
test,2979,DistortionGuitar,36,0.012084592145015106
test,2979,DrawbarOrgan,37,0.012420275260154413
test,2979,Dulcimer,24,0.008056394763343404
test,2979,ElectricBass(finger),41,0.013763007720711647
test,2979,ElectricBass(pick),31,0.010406176569318564
test,2979,ElectricGrandPiano,36,0.012084592145015106
test,2979,ElectricGuitar(clean),44,0.014770057066129574
test,2979,ElectricGuitar(jazz),41,0.013763007720711647
test,2979,ElectricGuitar(muted),26,0.00872776099362202
test,2979,ElectricPiano1,28,0.009399127223900638
test,2979,ElectricPiano2,29,0.009734810339039945
test,2979,EnglishHorn,32,0.010741859684457872
test,2979,Fiddle,34,0.011413225914736489
test,2979,Flute,29,0.009734810339039945
test,2979,FrenchHorn,20,0.00671366230278617
test,2979,FretlessBass,33,0.01107754279959718
test,2979,Harpsichord,28,0.009399127223900638
test,2979,Honky-tonkPiano,32,0.010741859684457872
test,2979,Kalimba,30,0.010070493454179255
test,2979,Koto,40,0.01342732460557234
test,2979,Lead1(square),33,0.01107754279959718
test,2979,Lead2(sawtooth),34,0.011413225914736489
test,2979,Lead3(calliope),27,0.00906344410876133
test,2979,Lead4(chiff),31,0.010406176569318564
test,2979,Lead5(charang),25,0.008392077878482711
test,2979,Lead6(voice),25,0.008392077878482711
test,2979,Lead8(bass+lead),30,0.010070493454179255
test,2979,Marimba,33,0.01107754279959718
test,2979,MusicBox,26,0.00872776099362202
test,2979,MutedTrumpet,40,0.01342732460557234
test,2979,Oboe,29,0.009734810339039945
test,2979,Ocarina,35,0.011748909029875798
test,2979,OrchestralHarp,36,0.012084592145015106
test,2979,OverdrivenGuitar,31,0.010406176569318564
test,2979,Pad1(newage),36,0.012084592145015106
test,2979,Pad2(warm),26,0.00872776099362202
test,2979,Pad3(polysynth),27,0.00906344410876133
test,2979,Pad4(choir),31,0.010406176569318564
test,2979,Pad5(bowed),36,0.012084592145015106
test,2979,Pad6(metallic),29,0.009734810339039945
test,2979,Pad7(halo),35,0.011748909029875798
test,2979,Pad8(sweep),37,0.012420275260154413
test,2979,PanFlute,29,0.009734810339039945
test,2979,PercussiveOrgan,34,0.011413225914736489
test,2979,Piccolo,33,0.01107754279959718
test,2979,PizzicatoStrings,29,0.009734810339039945
test,2979,Recorder,27,0.00906344410876133
test,2979,ReedOrgan,31,0.010406176569318564
test,2979,RockOrgan,24,0.008056394763343404
test,2979,Shamisen,36,0.012084592145015106
test,2979,Shanai,37,0.012420275260154413
test,2979,Sitar,29,0.009734810339039945
test,2979,SlapBass1,32,0.010741859684457872
test,2979,SlapBass2,45,0.015105740181268881
test,2979,SopranoSax,40,0.01342732460557234
test,2979,StringEnsemble1,35,0.011748909029875798
test,2979,StringEnsemble2,28,0.009399127223900638
test,2979,SynthBass1,28,0.009399127223900638
test,2979,SynthBass2,35,0.011748909029875798
test,2979,SynthBrass1,42,0.014098690835850957
test,2979,SynthBrass2,38,0.012755958375293723
test,2979,SynthStrings1,32,0.010741859684457872
test,2979,SynthStrings2,30,0.010070493454179255
test,2979,SynthVoice,24,0.008056394763343404
test,2979,TenorSax,41,0.013763007720711647
test,2979,TremoloStrings,28,0.009399127223900638
test,2979,Trombone,31,0.010406176569318564
test,2979,Trumpet,28,0.009399127223900638
test,2979,Tuba,27,0.00906344410876133
test,2979,Vibraphone,32,0.010741859684457872
test,2979,Viola,28,0.009399127223900638
test,2979,Violin,37,0.012420275260154413
test,2979,VoiceOohs,34,0.011413225914736489
test,2979,Xylophone,35,0.011748909029875798
train,13914,AcousticBass,163,0.011714819606152076
train,13914,AcousticGrandPiano,152,0.010924248957884145
