fold,fold_count,scale_type,count,proportion
1,1325,maj,662,0.4996226415094339
1,1325,min,663,0.500377358490566
2,1325,maj,662,0.4996226415094339
2,1325,min,663,0.500377358490566
3,1325,maj,662,0.4996226415094339
3,1325,min,663,0.500377358490566
4,1325,maj,662,0.4996226415094339
4,1325,min,663,0.500377358490566
5,1325,maj,662,0.4996226415094339
5,1325,min,663,0.500377358490566
6,1325,maj,662,0.4996226415094339
6,1325,min,663,0.500377358490566
7,1325,maj,662,0.4996226415094339
7,1325,min,663,0.500377358490566
8,1325,maj,662,0.4996226415094339
8,1325,min,663,0.500377358490566
9,1325,maj,663,0.500377358490566
9,1325,min,662,0.4996226415094339
10,1325,maj,663,0.500377358490566
10,1325,min,662,0.4996226415094339
11,1325,maj,663,0.500377358490566
11,1325,min,662,0.4996226415094339
12,1325,maj,663,0.500377358490566
12,1325,min,662,0.4996226415094339
13,1325,maj,663,0.500377358490566
13,1325,min,662,0.4996226415094339
14,1325,maj,663,0.500377358490566
14,1325,min,662,0.4996226415094339
15,1325,maj,663,0.500377358490566
15,1325,min,662,0.4996226415094339
16,1325,maj,663,0.500377358490566
16,1325,min,662,0.4996226415094339
17,1324,maj,662,0.5
17,1324,min,662,0.5
18,1324,maj,662,0.5
18,1324,min,662,0.5
19,1324,maj,662,0.5
19,1324,min,662,0.5
20,1324,maj,662,0.5
20,1324,min,662,0.5
