set_type,set_type_count,name,count,proportion
test,3972,AcousticBass-a4-maj-e_2-1145-s_S_inv0,1,0.00025176233635448137
test,3972,AcousticBass-a4-min-e_2-1145-s_S_inv0,1,0.00025176233635448137
test,3972,AcousticBass-a4-min-e_2-1365-s_S_inv0,1,0.00025176233635448137
test,3972,AcousticBass-a4-min-e_2-1625-s_N_inv0,1,0.00025176233635448137
test,3972,AcousticBass-as4-maj-e_2-1251-s_T_inv0,1,0.00025176233635448137
test,3972,AcousticBass-as4-min-e_2-1145-s_S_inv0,1,0.00025176233635448137
test,3972,AcousticBass-b4-maj-e_2-1365-s_T_inv0,1,0.00025176233635448137
test,3972,AcousticBass-b4-maj-e_2-1625-s_T_inv0,1,0.00025176233635448137
test,3972,AcousticBass-b4-min-e_2-1145-s_N_inv0,1,0.00025176233635448137
test,3972,AcousticBass-b4-min-e_2-1145-s_S_inv0,1,0.00025176233635448137
test,3972,AcousticBass-c4-maj-e_2-1365-s_S_inv0,1,0.00025176233635448137
test,3972,AcousticBass-c4-min-e_2-1145-s_S_inv0,1,0.00025176233635448137
test,3972,AcousticBass-c4-min-e_2-1365-s_N_inv0,1,0.00025176233635448137
test,3972,AcousticBass-cs4-maj-e_2-1251-s_S_inv0,1,0.00025176233635448137
test,3972,AcousticBass-cs4-min-e_2-1365-s_N_inv0,1,0.00025176233635448137
test,3972,AcousticBass-cs4-min-e_2-1625-s_N_inv0,1,0.00025176233635448137
test,3972,AcousticBass-d4-maj-e_2-1251-s_T_inv0,1,0.00025176233635448137
test,3972,AcousticBass-d4-maj-e_2-1365-s_T_inv0,1,0.00025176233635448137
test,3972,AcousticBass-d4-min-e_2-1365-s_N_inv0,1,0.00025176233635448137
test,3972,AcousticBass-d4-min-e_2-1365-s_S_inv0,1,0.00025176233635448137
test,3972,AcousticBass-d4-min-e_2-1625-s_T_inv0,1,0.00025176233635448137
test,3972,AcousticBass-ds4-maj-e_2-1365-s_N_inv0,1,0.00025176233635448137
test,3972,AcousticBass-f4-maj-e_2-1251-s_N_inv0,1,0.00025176233635448137
test,3972,AcousticBass-f4-maj-e_2-1251-s_T_inv0,1,0.00025176233635448137
test,3972,AcousticBass-f4-min-e_2-1251-s_T_inv0,1,0.00025176233635448137
