set_type,set_type_count,poly,count,proportion
test,4590,10a11,135,0.029411764705882353
test,4590,11a12,135,0.029411764705882353
test,4590,2a11,135,0.029411764705882353
test,4590,2a3,135,0.029411764705882353
test,4590,2a5,135,0.029411764705882353
test,4590,2a7,135,0.029411764705882353
test,4590,2a9,135,0.029411764705882353
test,4590,3a10,135,0.029411764705882353
test,4590,3a11,135,0.029411764705882353
test,4590,3a4,135,0.029411764705882353
test,4590,3a5,135,0.029411764705882353
test,4590,3a7,135,0.029411764705882353
test,4590,3a8,135,0.029411764705882353
test,4590,4a11,135,0.029411764705882353
test,4590,4a5,135,0.029411764705882353
test,4590,4a7,135,0.029411764705882353
test,4590,4a9,135,0.029411764705882353
test,4590,5a11,135,0.029411764705882353
test,4590,5a12,135,0.029411764705882353
test,4590,5a6,135,0.029411764705882353
test,4590,5a7,135,0.029411764705882353
test,4590,5a8,135,0.029411764705882353
test,4590,5a9,135,0.029411764705882353
test,4590,6a11,135,0.029411764705882353
test,4590,6a7,135,0.029411764705882353
test,4590,7a10,135,0.029411764705882353
test,4590,7a11,135,0.029411764705882353
test,4590,7a12,135,0.029411764705882353
test,4590,7a8,135,0.029411764705882353
test,4590,7a9,135,0.029411764705882353
test,4590,8a11,135,0.029411764705882353
test,4590,8a9,135,0.029411764705882353
test,4590,9a10,135,0.029411764705882353
test,4590,9a11,135,0.029411764705882353
train,21420,10a11,630,0.029411764705882353
train,21420,11a12,630,0.029411764705882353
train,21420,2a11,630,0.029411764705882353
train,21420,2a3,630,0.029411764705882353
train,21420,2a5,630,0.029411764705882353
train,21420,2a7,630,0.029411764705882353
train,21420,2a9,630,0.029411764705882353
train,21420,3a10,630,0.029411764705882353
train,21420,3a11,630,0.029411764705882353
train,21420,3a4,630,0.029411764705882353
train,21420,3a5,630,0.029411764705882353
train,21420,3a7,630,0.029411764705882353
train,21420,3a8,630,0.029411764705882353
train,21420,4a11,630,0.029411764705882353
train,21420,4a5,630,0.029411764705882353
train,21420,4a7,630,0.029411764705882353
train,21420,4a9,630,0.029411764705882353
train,21420,5a11,630,0.029411764705882353
train,21420,5a12,630,0.029411764705882353
train,21420,5a6,630,0.029411764705882353
train,21420,5a7,630,0.029411764705882353
train,21420,5a8,630,0.029411764705882353
train,21420,5a9,630,0.029411764705882353
train,21420,6a11,630,0.029411764705882353
train,21420,6a7,630,0.029411764705882353
train,21420,7a10,630,0.029411764705882353
train,21420,7a11,630,0.029411764705882353
train,21420,7a12,630,0.029411764705882353
train,21420,7a8,630,0.029411764705882353
train,21420,7a9,630,0.029411764705882353
train,21420,8a11,630,0.029411764705882353
train,21420,8a9,630,0.029411764705882353
train,21420,9a10,630,0.029411764705882353
train,21420,9a11,630,0.029411764705882353
valid,4590,10a11,135,0.029411764705882353
valid,4590,11a12,135,0.029411764705882353
valid,4590,2a11,135,0.029411764705882353
valid,4590,2a3,135,0.029411764705882353
valid,4590,2a5,135,0.029411764705882353
valid,4590,2a7,135,0.029411764705882353
valid,4590,2a9,135,0.029411764705882353
valid,4590,3a10,135,0.029411764705882353
valid,4590,3a11,135,0.029411764705882353
valid,4590,3a4,135,0.029411764705882353
valid,4590,3a5,135,0.029411764705882353
valid,4590,3a7,135,0.029411764705882353
valid,4590,3a8,135,0.029411764705882353
valid,4590,4a11,135,0.029411764705882353
valid,4590,4a5,135,0.029411764705882353
valid,4590,4a7,135,0.029411764705882353
valid,4590,4a9,135,0.029411764705882353
valid,4590,5a11,135,0.029411764705882353
valid,4590,5a12,135,0.029411764705882353
valid,4590,5a6,135,0.029411764705882353
valid,4590,5a7,135,0.029411764705882353
valid,4590,5a8,135,0.029411764705882353
valid,4590,5a9,135,0.029411764705882353
valid,4590,6a11,135,0.029411764705882353
valid,4590,6a7,135,0.029411764705882353
valid,4590,7a10,135,0.029411764705882353
valid,4590,7a11,135,0.029411764705882353
valid,4590,7a12,135,0.029411764705882353
valid,4590,7a8,135,0.029411764705882353
valid,4590,7a9,135,0.029411764705882353
valid,4590,8a11,135,0.029411764705882353
valid,4590,8a9,135,0.029411764705882353
valid,4590,9a10,135,0.029411764705882353
valid,4590,9a11,135,0.029411764705882353
