set_type,set_type_count,root,count,proportion
test,5298,a3,449,0.08474896187240467
test,5298,as3,459,0.08663646659116647
test,5298,b3,434,0.08191770479426198
test,5298,c3,247,0.04662136655341638
test,5298,c4,193,0.03642884107210268
test,5298,cs3,242,0.04567761419403548
test,5298,cs4,223,0.04209135522838807
test,5298,d3,270,0.05096262740656852
test,5298,d4,142,0.026802567006417515
test,5298,ds3,358,0.06757266893167233
test,5298,ds4,110,0.020762551906379767
test,5298,e3,312,0.05889014722536806
test,5298,e4,96,0.018120045300113248
test,5298,f3,351,0.06625141562853908
test,5298,f4,102,0.01925254813137033
test,5298,fs3,460,0.08682521706304265
test,5298,g3,413,0.07795394488486221
test,5298,gs3,437,0.08248395620989052
train,24732,a3,2037,0.08236293061620573
train,24732,as3,2039,0.0824437975092997
train,24732,b3,2062,0.08337376677988032
train,24732,c3,1004,0.0405951803331716
train,24732,c4,1057,0.04273815300016173
train,24732,cs3,1017,0.04112081513828239
train,24732,cs4,1042,0.04213165130195698
train,24732,d3,1306,0.05280608119036067
train,24732,d4,797,0.03222545689794598
train,24732,ds3,1536,0.06210577389616691
train,24732,ds4,513,0.02074235807860262
train,24732,e3,1573,0.0636018114184053
train,24732,e4,533,0.021551027009542294
train,24732,f3,1511,0.06109493773249232
train,24732,f4,525,0.021227559437166425
train,24732,fs3,2042,0.08256509784894064
train,24732,g3,2068,0.08361636745916222
train,24732,gs3,2070,0.08369723435225619
valid,5298,a3,458,0.0864477161192903
valid,5298,as3,446,0.08418271045677614
valid,5298,b3,448,0.0845602114005285
valid,5298,c3,221,0.04171385428463571
valid,5298,c4,222,0.04190260475651189
valid,5298,cs3,213,0.04020385050962627
valid,5298,cs4,207,0.039071347678369193
valid,5298,d3,264,0.049830124575311434
valid,5298,d4,165,0.031143827859569647
valid,5298,ds3,314,0.05926764816912042
valid,5298,ds4,113,0.021328803322008306
valid,5298,e3,323,0.06096640241600604
valid,5298,e4,107,0.020196300490751225
valid,5298,f3,346,0.06530766326915817
valid,5298,f4,109,0.020573801434503585
valid,5298,fs3,442,0.08342770856927142
valid,5298,g3,463,0.0873914684786712
valid,5298,gs3,437,0.08248395620989052
