set_type,set_type_count,sub_prog,count,proportion
test,3972,maj-e_2-1145-s_N,165,0.04154078549848943
test,3972,maj-e_2-1145-s_S,165,0.04154078549848943
test,3972,maj-e_2-1145-s_T,165,0.04154078549848943
test,3972,maj-e_2-1251-s_N,165,0.04154078549848943
test,3972,maj-e_2-1251-s_S,165,0.04154078549848943
test,3972,maj-e_2-1251-s_T,168,0.04229607250755287
test,3972,maj-e_2-1365-s_N,165,0.04154078549848943
test,3972,maj-e_2-1365-s_S,168,0.04229607250755287
test,3972,maj-e_2-1365-s_T,165,0.04154078549848943
test,3972,maj-e_2-1625-s_N,165,0.04154078549848943
test,3972,maj-e_2-1625-s_S,165,0.04154078549848943
test,3972,maj-e_2-1625-s_T,165,0.04154078549848943
test,3972,min-e_2-1145-s_N,168,0.04229607250755287
test,3972,min-e_2-1145-s_S,165,0.04154078549848943
test,3972,min-e_2-1145-s_T,165,0.04154078549848943
test,3972,min-e_2-1251-s_N,165,0.04154078549848943
test,3972,min-e_2-1251-s_S,165,0.04154078549848943
test,3972,min-e_2-1251-s_T,165,0.04154078549848943
test,3972,min-e_2-1365-s_N,165,0.04154078549848943
test,3972,min-e_2-1365-s_S,165,0.04154078549848943
test,3972,min-e_2-1365-s_T,165,0.04154078549848943
test,3972,min-e_2-1625-s_N,165,0.04154078549848943
test,3972,min-e_2-1625-s_S,168,0.04229607250755287
test,3972,min-e_2-1625-s_T,165,0.04154078549848943
train,18550,maj-e_2-1145-s_N,774,0.04172506738544474
train,18550,maj-e_2-1145-s_S,774,0.04172506738544474
train,18550,maj-e_2-1145-s_T,772,0.041617250673854446
train,18550,maj-e_2-1251-s_N,774,0.04172506738544474
train,18550,maj-e_2-1251-s_S,772,0.041617250673854446
train,18550,maj-e_2-1251-s_T,770,0.04150943396226415
train,18550,maj-e_2-1365-s_N,772,0.041617250673854446
train,18550,maj-e_2-1365-s_S,770,0.04150943396226415
train,18550,maj-e_2-1365-s_T,774,0.04172506738544474
train,18550,maj-e_2-1625-s_N,774,0.04172506738544474
train,18550,maj-e_2-1625-s_S,774,0.04172506738544474
train,18550,maj-e_2-1625-s_T,774,0.04172506738544474
train,18550,min-e_2-1145-s_N,770,0.04150943396226415
train,18550,min-e_2-1145-s_S,774,0.04172506738544474
train,18550,min-e_2-1145-s_T,774,0.04172506738544474
train,18550,min-e_2-1251-s_N,774,0.04172506738544474
train,18550,min-e_2-1251-s_S,774,0.04172506738544474
train,18550,min-e_2-1251-s_T,774,0.04172506738544474
train,18550,min-e_2-1365-s_N,774,0.04172506738544474
train,18550,min-e_2-1365-s_S,774,0.04172506738544474
train,18550,min-e_2-1365-s_T,772,0.041617250673854446
train,18550,min-e_2-1625-s_N,772,0.041617250673854446
train,18550,min-e_2-1625-s_S,770,0.04150943396226415
train,18550,min-e_2-1625-s_T,774,0.04172506738544474
valid,3974,maj-e_2-1145-s_N,165,0.041519879214896825
valid,3974,maj-e_2-1145-s_S,165,0.041519879214896825
valid,3974,maj-e_2-1145-s_T,167,0.0420231504781077
valid,3974,maj-e_2-1251-s_N,165,0.041519879214896825
valid,3974,maj-e_2-1251-s_S,167,0.0420231504781077
valid,3974,maj-e_2-1251-s_T,166,0.04177151484650227
valid,3974,maj-e_2-1365-s_N,167,0.0420231504781077
valid,3974,maj-e_2-1365-s_S,166,0.04177151484650227
valid,3974,maj-e_2-1365-s_T,165,0.041519879214896825
valid,3974,maj-e_2-1625-s_N,165,0.041519879214896825
valid,3974,maj-e_2-1625-s_S,165,0.041519879214896825
valid,3974,maj-e_2-1625-s_T,165,0.041519879214896825
valid,3974,min-e_2-1145-s_N,166,0.04177151484650227
valid,3974,min-e_2-1145-s_S,165,0.041519879214896825
valid,3974,min-e_2-1145-s_T,165,0.041519879214896825
valid,3974,min-e_2-1251-s_N,165,0.041519879214896825
valid,3974,min-e_2-1251-s_S,165,0.041519879214896825
valid,3974,min-e_2-1251-s_T,165,0.041519879214896825
valid,3974,min-e_2-1365-s_N,165,0.041519879214896825
valid,3974,min-e_2-1365-s_S,165,0.041519879214896825
valid,3974,min-e_2-1365-s_T,167,0.0420231504781077
valid,3974,min-e_2-1625-s_N,167,0.0420231504781077
valid,3974,min-e_2-1625-s_S,166,0.04177151484650227
valid,3974,min-e_2-1625-s_T,165,0.041519879214896825
