set_type,set_type_count,poly1,count,proportion
test,4590,2,675,0.14705882352941177
test,4590,3,810,0.1764705882352941
test,4590,4,540,0.11764705882352941
test,4590,5,810,0.1764705882352941
test,4590,6,270,0.058823529411764705
test,4590,7,675,0.14705882352941177
test,4590,8,270,0.058823529411764705
test,4590,9,270,0.058823529411764705
test,4590,10,135,0.029411764705882353
test,4590,11,135,0.029411764705882353
train,21420,2,3150,0.14705882352941174
train,21420,3,3780,0.1764705882352941
train,21420,4,2520,0.11764705882352941
train,21420,5,3780,0.1764705882352941
train,21420,6,1260,0.058823529411764705
train,21420,7,3150,0.14705882352941174
train,21420,8,1260,0.058823529411764705
train,21420,9,1260,0.058823529411764705
train,21420,10,630,0.029411764705882353
train,21420,11,630,0.029411764705882353
valid,4590,2,675,0.14705882352941177
valid,4590,3,810,0.1764705882352941
valid,4590,4,540,0.11764705882352941
valid,4590,5,810,0.1764705882352941
valid,4590,6,270,0.058823529411764705
valid,4590,7,675,0.14705882352941177
valid,4590,8,270,0.058823529411764705
valid,4590,9,270,0.058823529411764705
valid,4590,10,135,0.029411764705882353
valid,4590,11,135,0.029411764705882353
