fold,fold_count,key_center,count,proportion
1,1325,a4,111,0.08377358490566038
1,1325,as4,117,0.08830188679245282
1,1325,b4,98,0.0739622641509434
1,1325,c4,105,0.07924528301886792
1,1325,cs4,119,0.08981132075471698
1,1325,d4,112,0.08452830188679245
1,1325,ds4,115,0.08679245283018867
1,1325,e4,100,0.07547169811320754
1,1325,f4,123,0.09283018867924528
1,1325,fs4,90,0.06792452830188679
1,1325,g4,128,0.09660377358490566
1,1325,gs4,107,0.08075471698113207
2,1325,a4,101,0.07622641509433963
2,1325,as4,110,0.0830188679245283
2,1325,b4,127,0.09584905660377357
2,1325,c4,122,0.0920754716981132
2,1325,cs4,96,0.07245283018867923
2,1325,d4,113,0.08528301886792453
2,1325,ds4,120,0.09056603773584905
2,1325,e4,96,0.07245283018867923
2,1325,f4,120,0.09056603773584905
2,1325,fs4,115,0.08679245283018867
2,1325,g4,90,0.06792452830188679
2,1325,gs4,115,0.08679245283018867
3,1325,a4,97,0.07320754716981132
3,1325,as4,122,0.0920754716981132
3,1325,b4,106,0.08
3,1325,c4,104,0.07849056603773584
3,1325,cs4,118,0.0890566037735849
3,1325,d4,112,0.08452830188679245
3,1325,ds4,123,0.09283018867924528
3,1325,e4,106,0.08
3,1325,f4,115,0.08679245283018867
3,1325,fs4,112,0.08452830188679245
3,1325,g4,106,0.08
3,1325,gs4,104,0.07849056603773584
4,1325,a4,112,0.08452830188679245
4,1325,as4,109,0.08226415094339622
4,1325,b4,117,0.08830188679245282
4,1325,c4,115,0.08679245283018867
4,1325,cs4,108,0.08150943396226415
4,1325,d4,114,0.08603773584905659
4,1325,ds4,92,0.06943396226415094
4,1325,e4,118,0.0890566037735849
4,1325,f4,111,0.08377358490566038
4,1325,fs4,118,0.0890566037735849
4,1325,g4,106,0.08
4,1325,gs4,105,0.07924528301886792
5,1325,a4,106,0.08
5,1325,as4,115,0.08679245283018867
5,1325,b4,121,0.09132075471698113
5,1325,c4,114,0.08603773584905659
5,1325,cs4,97,0.07320754716981132
5,1325,d4,107,0.08075471698113207
5,1325,ds4,115,0.08679245283018867
5,1325,e4,97,0.07320754716981132
5,1325,f4,114,0.08603773584905659
5,1325,fs4,103,0.07773584905660377
5,1325,g4,117,0.08830188679245282
5,1325,gs4,119,0.08981132075471698
6,1325,a4,101,0.07622641509433963
6,1325,as4,94,0.07094339622641509
6,1325,b4,115,0.08679245283018867
6,1325,c4,116,0.08754716981132075
6,1325,cs4,107,0.08075471698113207
6,1325,d4,121,0.09132075471698113
6,1325,ds4,130,0.0981132075471698
6,1325,e4,124,0.09358490566037736
6,1325,f4,99,0.07471698113207546
6,1325,fs4,116,0.08754716981132075
6,1325,g4,109,0.08226415094339622
6,1325,gs4,93,0.07018867924528302
7,1325,a4,119,0.08981132075471698
7,1325,as4,120,0.09056603773584905
7,1325,b4,115,0.08679245283018867
7,1325,c4,110,0.0830188679245283
7,1325,cs4,111,0.08377358490566038
7,1325,d4,86,0.06490566037735848
7,1325,ds4,117,0.08830188679245282
7,1325,e4,109,0.08226415094339622
7,1325,f4,104,0.07849056603773584
7,1325,fs4,92,0.06943396226415094
