fold,fold_count,offset_lvl,count,proportion
1,1530,0,312,0.20392156862745098
1,1530,1,321,0.20980392156862743
1,1530,2,297,0.1941176470588235
1,1530,3,285,0.18627450980392155
1,1530,4,315,0.20588235294117646
2,1530,0,277,0.18104575163398692
2,1530,1,300,0.19607843137254902
2,1530,2,308,0.20130718954248364
2,1530,3,323,0.21111111111111108
2,1530,4,322,0.21045751633986925
3,1530,0,323,0.21111111111111108
3,1530,1,302,0.19738562091503267
3,1530,2,315,0.20588235294117646
3,1530,3,309,0.20196078431372547
3,1530,4,281,0.18366013071895423
4,1530,0,325,0.21241830065359477
4,1530,1,288,0.18823529411764706
4,1530,2,300,0.19607843137254902
4,1530,3,324,0.21176470588235294
4,1530,4,293,0.1915032679738562
5,1530,0,294,0.19215686274509802
5,1530,1,292,0.19084967320261437
5,1530,2,289,0.18888888888888888
5,1530,3,327,0.21372549019607842
5,1530,4,328,0.21437908496732025
6,1530,0,324,0.21176470588235294
6,1530,1,303,0.1980392156862745
6,1530,2,315,0.20588235294117646
6,1530,3,287,0.18758169934640523
6,1530,4,301,0.19673202614379084
7,1530,0,300,0.19607843137254902
7,1530,1,332,0.21699346405228756
7,1530,2,291,0.19019607843137254
7,1530,3,299,0.1954248366013072
7,1530,4,308,0.20130718954248364
8,1530,0,287,0.18758169934640523
8,1530,1,307,0.2006535947712418
8,1530,2,324,0.21176470588235294
8,1530,3,299,0.1954248366013072
8,1530,4,313,0.2045751633986928
9,1530,0,315,0.20588235294117646
9,1530,1,292,0.19084967320261437
9,1530,2,276,0.1803921568627451
9,1530,3,331,0.21633986928104573
9,1530,4,316,0.2065359477124183
10,1530,0,296,0.19346405228758168
10,1530,1,305,0.19934640522875816
10,1530,2,327,0.21372549019607842
10,1530,3,295,0.19281045751633985
10,1530,4,307,0.2006535947712418
11,1530,0,317,0.20718954248366012
11,1530,1,312,0.20392156862745098
11,1530,2,310,0.2026143790849673
11,1530,3,308,0.20130718954248364
11,1530,4,283,0.1849673202614379
12,1530,0,294,0.19215686274509802
12,1530,1,329,0.21503267973856208
12,1530,2,299,0.1954248366013072
12,1530,3,310,0.2026143790849673
12,1530,4,298,0.19477124183006533
13,1530,0,335,0.21895424836601304
13,1530,1,296,0.19346405228758168
13,1530,2,304,0.19869281045751633
13,1530,3,299,0.1954248366013072
13,1530,4,296,0.19346405228758168
14,1530,0,320,0.2091503267973856
14,1530,1,289,0.18888888888888888
14,1530,2,303,0.1980392156862745
14,1530,3,287,0.18758169934640523
14,1530,4,331,0.21633986928104573
15,1530,0,313,0.2045751633986928
15,1530,1,300,0.19607843137254902
15,1530,2,295,0.19281045751633985
15,1530,3,312,0.20392156862745098
15,1530,4,310,0.2026143790849673
16,1530,0,307,0.2006535947712418
16,1530,1,303,0.1980392156862745
16,1530,2,313,0.2045751633986928
16,1530,3,309,0.20196078431372547
16,1530,4,298,0.19477124183006533
17,1530,0,303,0.1980392156862745
17,1530,1,316,0.2065359477124183
17,1530,2,315,0.20588235294117646
17,1530,3,310,0.2026143790849673
17,1530,4,286,0.18692810457516337
18,1530,0,297,0.1941176470588235
18,1530,1,294,0.19215686274509802
18,1530,2,308,0.20130718954248364
18,1530,3,313,0.2045751633986928
18,1530,4,318,0.20784313725490194
19,1530,0,300,0.19607843137254902
19,1530,1,317,0.20718954248366012
19,1530,2,310,0.2026143790849673
19,1530,3,311,0.20326797385620915
19,1530,4,292,0.19084967320261437
20,1530,0,281,0.18366013071895423
20,1530,1,322,0.21045751633986925
20,1530,2,321,0.20980392156862743
20,1530,3,282,0.18431372549019606
20,1530,4,324,0.21176470588235294
