set_type,set_type_count,polydist,count,proportion
test,4590,1,1350,0.29411764705882354
test,4590,2,540,0.11764705882352941
test,4590,3,675,0.14705882352941177
test,4590,4,405,0.08823529411764705
test,4590,5,675,0.14705882352941177
test,4590,6,135,0.029411764705882353
test,4590,7,540,0.11764705882352941
test,4590,8,135,0.029411764705882353
test,4590,9,135,0.029411764705882353
train,21420,1,6300,0.2941176470588235
train,21420,2,2520,0.11764705882352941
train,21420,3,3150,0.14705882352941174
train,21420,4,1890,0.08823529411764705
train,21420,5,3150,0.14705882352941174
train,21420,6,630,0.029411764705882353
train,21420,7,2520,0.11764705882352941
train,21420,8,630,0.029411764705882353
train,21420,9,630,0.029411764705882353
valid,4590,1,1350,0.29411764705882354
valid,4590,2,540,0.11764705882352941
valid,4590,3,675,0.14705882352941177
valid,4590,4,405,0.08823529411764705
valid,4590,5,675,0.14705882352941177
valid,4590,6,135,0.029411764705882353
valid,4590,7,540,0.11764705882352941
valid,4590,8,135,0.029411764705882353
valid,4590,9,135,0.029411764705882353
