fold,fold_count,root,count,proportion
1,1767,a3,153,0.0865874363327674
1,1767,as3,131,0.07413695529145445
1,1767,b3,144,0.08149405772495756
1,1767,c3,71,0.040181097906055466
1,1767,c4,81,0.04584040747028863
1,1767,cs3,75,0.04244482173174873
1,1767,cs4,88,0.049801924165251844
1,1767,d3,84,0.04753820033955858
1,1767,d4,52,0.02942840973401245
1,1767,ds3,102,0.05772495755517827
1,1767,ds4,33,0.01867572156196944
1,1767,e3,128,0.0724391624221845
1,1767,e4,41,0.02320316921335597
1,1767,f3,105,0.05942275042444822
1,1767,f4,40,0.022637238256932656
1,1767,fs3,157,0.08885116015846067
1,1767,g3,133,0.07526881720430108
1,1767,gs3,149,0.08432371250707414
2,1767,a3,157,0.08885116015846067
2,1767,as3,145,0.08205998868138087
2,1767,b3,136,0.07696661007357103
2,1767,c3,71,0.040181097906055466
2,1767,c4,90,0.050933786078098474
2,1767,cs3,73,0.041312959818902095
2,1767,cs4,69,0.03904923599320883
2,1767,d3,86,0.04867006225240521
2,1767,d4,56,0.03169213355970572
2,1767,ds3,121,0.06847764572722129
2,1767,ds4,42,0.02376910016977929
2,1767,e3,111,0.06281833616298813
2,1767,e4,35,0.019807583474816072
2,1767,f3,96,0.05432937181663837
2,1767,f4,36,0.02037351443123939
2,1767,fs3,135,0.07640067911714771
2,1767,g3,152,0.08602150537634409
2,1767,gs3,156,0.08828522920203735
3,1767,a3,136,0.07696661007357103
3,1767,as3,158,0.089417091114884
3,1767,b3,139,0.07866440294284098
3,1767,c3,74,0.04187889077532541
3,1767,c4,61,0.0345217883418223
3,1767,cs3,84,0.04753820033955858
3,1767,cs4,85,0.04810413129598189
3,1767,d3,94,0.05319750990379174
3,1767,d4,58,0.03282399547255235
3,1767,ds3,101,0.05715902659875496
3,1767,ds4,32,0.018109790605546124
3,1767,e3,120,0.06791171477079797
3,1767,e4,45,0.025466893039049237
3,1767,f3,107,0.06055461233729485
3,1767,f4,38,0.021505376344086023
3,1767,fs3,142,0.08036219581211093
3,1767,g3,157,0.08885116015846067
3,1767,gs3,136,0.07696661007357103
4,1767,a3,132,0.07470288624787776
4,1767,as3,151,0.08545557441992077
4,1767,b3,164,0.09281267685342388
4,1767,c3,76,0.043010752688172046
4,1767,c4,62,0.03508771929824562
4,1767,cs3,68,0.038483305036785515
4,1767,cs4,72,0.04074702886247878
4,1767,d3,116,0.0656479909451047
4,1767,d4,56,0.03169213355970572
4,1767,ds3,107,0.06055461233729485
