fold,fold_count,pair,count,proportion
1,1530,Agogo_D:SnareDrum1,143,0.09346405228758169
1,1530,Agogo_MelodicTom,187,0.12222222222222222
1,1530,Agogo_TaikoDrum,151,0.09869281045751634
1,1530,Agogo_Woodblock,157,0.10261437908496732
1,1530,D:SnareDrum1_MelodicTom,141,0.09215686274509803
1,1530,D:SnareDrum1_TaikoDrum,134,0.08758169934640522
1,1530,D:SnareDrum1_Woodblock,137,0.0895424836601307
1,1530,MelodicTom_TaikoDrum,151,0.09869281045751634
1,1530,MelodicTom_Woodblock,162,0.10588235294117647
1,1530,TaikoDrum_Woodblock,167,0.10915032679738561
2,1530,Agogo_D:SnareDrum1,158,0.10326797385620914
2,1530,Agogo_MelodicTom,145,0.09477124183006536
2,1530,Agogo_TaikoDrum,157,0.10261437908496732
2,1530,Agogo_Woodblock,147,0.09607843137254901
2,1530,D:SnareDrum1_MelodicTom,141,0.09215686274509803
2,1530,D:SnareDrum1_TaikoDrum,169,0.11045751633986928
2,1530,D:SnareDrum1_Woodblock,146,0.09542483660130718
2,1530,MelodicTom_TaikoDrum,160,0.1045751633986928
2,1530,MelodicTom_Woodblock,139,0.09084967320261438
2,1530,TaikoDrum_Woodblock,168,0.10980392156862745
3,1530,Agogo_D:SnareDrum1,161,0.10522875816993463
3,1530,Agogo_MelodicTom,170,0.1111111111111111
3,1530,Agogo_TaikoDrum,163,0.1065359477124183
3,1530,Agogo_Woodblock,132,0.08627450980392157
3,1530,D:SnareDrum1_MelodicTom,160,0.1045751633986928
3,1530,D:SnareDrum1_TaikoDrum,165,0.10784313725490195
3,1530,D:SnareDrum1_Woodblock,148,0.09673202614379084
3,1530,MelodicTom_TaikoDrum,131,0.08562091503267973
3,1530,MelodicTom_Woodblock,139,0.09084967320261438
3,1530,TaikoDrum_Woodblock,161,0.10522875816993463
4,1530,Agogo_D:SnareDrum1,147,0.09607843137254901
4,1530,Agogo_MelodicTom,153,0.09999999999999999
4,1530,Agogo_TaikoDrum,147,0.09607843137254901
4,1530,Agogo_Woodblock,156,0.10196078431372549
4,1530,D:SnareDrum1_MelodicTom,153,0.09999999999999999
4,1530,D:SnareDrum1_TaikoDrum,142,0.09281045751633986
4,1530,D:SnareDrum1_Woodblock,157,0.10261437908496732
4,1530,MelodicTom_TaikoDrum,147,0.09607843137254901
4,1530,MelodicTom_Woodblock,165,0.10784313725490195
4,1530,TaikoDrum_Woodblock,163,0.1065359477124183
5,1530,Agogo_D:SnareDrum1,153,0.09999999999999999
5,1530,Agogo_MelodicTom,157,0.10261437908496732
5,1530,Agogo_TaikoDrum,154,0.10065359477124182
5,1530,Agogo_Woodblock,155,0.10130718954248365
5,1530,D:SnareDrum1_MelodicTom,162,0.10588235294117647
5,1530,D:SnareDrum1_TaikoDrum,142,0.09281045751633986
5,1530,D:SnareDrum1_Woodblock,164,0.10718954248366012
5,1530,MelodicTom_TaikoDrum,155,0.10130718954248365
5,1530,MelodicTom_Woodblock,138,0.09019607843137255
5,1530,TaikoDrum_Woodblock,150,0.09803921568627451
6,1530,Agogo_D:SnareDrum1,163,0.1065359477124183
6,1530,Agogo_MelodicTom,139,0.09084967320261438
6,1530,Agogo_TaikoDrum,180,0.11764705882352941
6,1530,Agogo_Woodblock,137,0.0895424836601307
6,1530,D:SnareDrum1_MelodicTom,145,0.09477124183006536
6,1530,D:SnareDrum1_TaikoDrum,143,0.09346405228758169
6,1530,D:SnareDrum1_Woodblock,152,0.09934640522875816
6,1530,MelodicTom_TaikoDrum,156,0.10196078431372549
6,1530,MelodicTom_Woodblock,152,0.09934640522875816
6,1530,TaikoDrum_Woodblock,163,0.1065359477124183
7,1530,Agogo_D:SnareDrum1,161,0.10522875816993463
7,1530,Agogo_MelodicTom,161,0.10522875816993463
7,1530,Agogo_TaikoDrum,154,0.10065359477124182
7,1530,Agogo_Woodblock,147,0.09607843137254901
7,1530,D:SnareDrum1_MelodicTom,157,0.10261437908496732
7,1530,D:SnareDrum1_TaikoDrum,150,0.09803921568627451
7,1530,D:SnareDrum1_Woodblock,143,0.09346405228758169
7,1530,MelodicTom_TaikoDrum,143,0.09346405228758169
7,1530,MelodicTom_Woodblock,162,0.10588235294117647
7,1530,TaikoDrum_Woodblock,152,0.09934640522875816
8,1530,Agogo_D:SnareDrum1,141,0.09215686274509803
8,1530,Agogo_MelodicTom,151,0.09869281045751634
8,1530,Agogo_TaikoDrum,145,0.09477124183006536
8,1530,Agogo_Woodblock,151,0.09869281045751634
8,1530,D:SnareDrum1_MelodicTom,152,0.09934640522875816
8,1530,D:SnareDrum1_TaikoDrum,161,0.10522875816993463
8,1530,D:SnareDrum1_Woodblock,153,0.09999999999999999
8,1530,MelodicTom_TaikoDrum,148,0.09673202614379084
8,1530,MelodicTom_Woodblock,185,0.12091503267973855
8,1530,TaikoDrum_Woodblock,143,0.09346405228758169
9,1530,Agogo_D:SnareDrum1,154,0.10065359477124182
9,1530,Agogo_MelodicTom,147,0.09607843137254901
9,1530,Agogo_TaikoDrum,149,0.09738562091503267
9,1530,Agogo_Woodblock,160,0.1045751633986928
9,1530,D:SnareDrum1_MelodicTom,157,0.10261437908496732
9,1530,D:SnareDrum1_TaikoDrum,138,0.09019607843137255
9,1530,D:SnareDrum1_Woodblock,170,0.1111111111111111
9,1530,MelodicTom_TaikoDrum,169,0.11045751633986928
9,1530,MelodicTom_Woodblock,146,0.09542483660130718
9,1530,TaikoDrum_Woodblock,140,0.0915032679738562
10,1530,Agogo_D:SnareDrum1,169,0.11045751633986928
10,1530,Agogo_MelodicTom,156,0.10196078431372549
10,1530,Agogo_TaikoDrum,168,0.10980392156862745
10,1530,Agogo_Woodblock,166,0.10849673202614378
10,1530,D:SnareDrum1_MelodicTom,141,0.09215686274509803
10,1530,D:SnareDrum1_TaikoDrum,142,0.09281045751633986
10,1530,D:SnareDrum1_Woodblock,149,0.09738562091503267
10,1530,MelodicTom_TaikoDrum,147,0.09607843137254901
10,1530,MelodicTom_Woodblock,155,0.10130718954248365
10,1530,TaikoDrum_Woodblock,137,0.0895424836601307
11,1530,Agogo_D:SnareDrum1,138,0.09019607843137255
11,1530,Agogo_MelodicTom,130,0.0849673202614379
11,1530,Agogo_TaikoDrum,157,0.10261437908496732
11,1530,Agogo_Woodblock,157,0.10261437908496732
11,1530,D:SnareDrum1_MelodicTom,165,0.10784313725490195
11,1530,D:SnareDrum1_TaikoDrum,169,0.11045751633986928
11,1530,D:SnareDrum1_Woodblock,155,0.10130718954248365
11,1530,MelodicTom_TaikoDrum,171,0.11176470588235293
11,1530,MelodicTom_Woodblock,158,0.10326797385620914
11,1530,TaikoDrum_Woodblock,130,0.0849673202614379
12,1530,Agogo_D:SnareDrum1,140,0.0915032679738562
12,1530,Agogo_MelodicTom,151,0.09869281045751634
12,1530,Agogo_TaikoDrum,172,0.11241830065359476
12,1530,Agogo_Woodblock,148,0.09673202614379084
12,1530,D:SnareDrum1_MelodicTom,147,0.09607843137254901
12,1530,D:SnareDrum1_TaikoDrum,157,0.10261437908496732
12,1530,D:SnareDrum1_Woodblock,155,0.10130718954248365
12,1530,MelodicTom_TaikoDrum,163,0.1065359477124183
12,1530,MelodicTom_Woodblock,150,0.09803921568627451
12,1530,TaikoDrum_Woodblock,147,0.09607843137254901
13,1530,Agogo_D:SnareDrum1,143,0.09346405228758169
13,1530,Agogo_MelodicTom,139,0.09084967320261438
13,1530,Agogo_TaikoDrum,158,0.10326797385620914
13,1530,Agogo_Woodblock,151,0.09869281045751634
13,1530,D:SnareDrum1_MelodicTom,153,0.09999999999999999
13,1530,D:SnareDrum1_TaikoDrum,164,0.10718954248366012
13,1530,D:SnareDrum1_Woodblock,149,0.09738562091503267
13,1530,MelodicTom_TaikoDrum,169,0.11045751633986928
13,1530,MelodicTom_Woodblock,149,0.09738562091503267
13,1530,TaikoDrum_Woodblock,155,0.10130718954248365
14,1530,Agogo_D:SnareDrum1,166,0.10849673202614378
14,1530,Agogo_MelodicTom,168,0.10980392156862745
14,1530,Agogo_TaikoDrum,117,0.07647058823529411
14,1530,Agogo_Woodblock,174,0.11372549019607843
14,1530,D:SnareDrum1_MelodicTom,143,0.09346405228758169
14,1530,D:SnareDrum1_TaikoDrum,152,0.09934640522875816
14,1530,D:SnareDrum1_Woodblock,151,0.09869281045751634
14,1530,MelodicTom_TaikoDrum,174,0.11372549019607843
14,1530,MelodicTom_Woodblock,140,0.0915032679738562
14,1530,TaikoDrum_Woodblock,145,0.09477124183006536
15,1530,Agogo_D:SnareDrum1,163,0.1065359477124183
15,1530,Agogo_MelodicTom,139,0.09084967320261438
15,1530,Agogo_TaikoDrum,158,0.10326797385620914
15,1530,Agogo_Woodblock,165,0.10784313725490195
15,1530,D:SnareDrum1_MelodicTom,167,0.10915032679738561
15,1530,D:SnareDrum1_TaikoDrum,169,0.11045751633986928
15,1530,D:SnareDrum1_Woodblock,153,0.09999999999999999
15,1530,MelodicTom_TaikoDrum,132,0.08627450980392157
15,1530,MelodicTom_Woodblock,141,0.09215686274509803
15,1530,TaikoDrum_Woodblock,143,0.09346405228758169
16,1530,Agogo_D:SnareDrum1,152,0.09934640522875816
16,1530,Agogo_MelodicTom,134,0.08758169934640522
16,1530,Agogo_TaikoDrum,159,0.10392156862745097
16,1530,Agogo_Woodblock,134,0.08758169934640522
16,1530,D:SnareDrum1_MelodicTom,151,0.09869281045751634
16,1530,D:SnareDrum1_TaikoDrum,163,0.1065359477124183
16,1530,D:SnareDrum1_Woodblock,138,0.09019607843137255
16,1530,MelodicTom_TaikoDrum,156,0.10196078431372549
16,1530,MelodicTom_Woodblock,179,0.11699346405228757
16,1530,TaikoDrum_Woodblock,164,0.10718954248366012
17,1530,Agogo_D:SnareDrum1,146,0.09542483660130718
17,1530,Agogo_MelodicTom,154,0.10065359477124182
17,1530,Agogo_TaikoDrum,148,0.09673202614379084
17,1530,Agogo_Woodblock,153,0.09999999999999999
17,1530,D:SnareDrum1_MelodicTom,171,0.11176470588235293
17,1530,D:SnareDrum1_TaikoDrum,137,0.0895424836601307
17,1530,D:SnareDrum1_Woodblock,170,0.1111111111111111
17,1530,MelodicTom_TaikoDrum,169,0.11045751633986928
17,1530,MelodicTom_Woodblock,131,0.08562091503267973
17,1530,TaikoDrum_Woodblock,151,0.09869281045751634
18,1530,Agogo_D:SnareDrum1,149,0.09738562091503267
18,1530,Agogo_MelodicTom,174,0.11372549019607843
18,1530,Agogo_TaikoDrum,142,0.09281045751633986
18,1530,Agogo_Woodblock,146,0.09542483660130718
18,1530,D:SnareDrum1_MelodicTom,146,0.09542483660130718
18,1530,D:SnareDrum1_TaikoDrum,144,0.09411764705882353
18,1530,D:SnareDrum1_Woodblock,157,0.10261437908496732
18,1530,MelodicTom_TaikoDrum,126,0.08235294117647059
18,1530,MelodicTom_Woodblock,177,0.11568627450980391
18,1530,TaikoDrum_Woodblock,169,0.11045751633986928
19,1530,Agogo_D:SnareDrum1,176,0.11503267973856209
19,1530,Agogo_MelodicTom,152,0.09934640522875816
19,1530,Agogo_TaikoDrum,146,0.09542483660130718
19,1530,Agogo_Woodblock,157,0.10261437908496732
19,1530,D:SnareDrum1_MelodicTom,151,0.09869281045751634
19,1530,D:SnareDrum1_TaikoDrum,138,0.09019607843137255
19,1530,D:SnareDrum1_Woodblock,149,0.09738562091503267
19,1530,MelodicTom_TaikoDrum,159,0.10392156862745097
19,1530,MelodicTom_Woodblock,150,0.09803921568627451
19,1530,TaikoDrum_Woodblock,152,0.09934640522875816
20,1530,Agogo_D:SnareDrum1,137,0.0895424836601307
20,1530,Agogo_MelodicTom,153,0.09999999999999999
20,1530,Agogo_TaikoDrum,135,0.08823529411764705
20,1530,Agogo_Woodblock,167,0.10915032679738561
20,1530,D:SnareDrum1_MelodicTom,157,0.10261437908496732
20,1530,D:SnareDrum1_TaikoDrum,181,0.11830065359477124
20,1530,D:SnareDrum1_Woodblock,164,0.10718954248366012
20,1530,MelodicTom_TaikoDrum,134,0.08758169934640522
20,1530,MelodicTom_Woodblock,142,0.09281045751633986
20,1530,TaikoDrum_Woodblock,160,0.1045751633986928
