fold,fold_count,rvb_lvl,count,proportion
1,1530,0,516,0.3372549019607843
1,1530,1,493,0.3222222222222222
1,1530,2,521,0.3405228758169934
2,1530,0,518,0.33856209150326794
2,1530,1,551,0.36013071895424836
2,1530,2,461,0.30130718954248364
3,1530,0,522,0.34117647058823525
3,1530,1,490,0.3202614379084967
3,1530,2,518,0.33856209150326794
4,1530,0,525,0.3431372549019608
4,1530,1,517,0.3379084967320261
4,1530,2,488,0.31895424836601305
5,1530,0,525,0.3431372549019608
5,1530,1,475,0.31045751633986923
5,1530,2,530,0.3464052287581699
6,1530,0,495,0.32352941176470584
6,1530,1,511,0.33398692810457514
6,1530,2,524,0.3424836601307189
7,1530,0,553,0.361437908496732
7,1530,1,509,0.3326797385620915
7,1530,2,468,0.30588235294117644
8,1530,0,473,0.3091503267973856
8,1530,1,525,0.3431372549019608
8,1530,2,532,0.3477124183006536
9,1530,0,513,0.3352941176470588
9,1530,1,526,0.3437908496732026
9,1530,2,491,0.32091503267973853
10,1530,0,493,0.3222222222222222
10,1530,1,499,0.32614379084967315
10,1530,2,538,0.35163398692810455
11,1530,0,509,0.3326797385620915
11,1530,1,531,0.34705882352941175
11,1530,2,490,0.3202614379084967
12,1530,0,481,0.31437908496732025
12,1530,1,513,0.3352941176470588
12,1530,2,536,0.3503267973856209
13,1530,0,536,0.3503267973856209
13,1530,1,492,0.32156862745098036
13,1530,2,502,0.3281045751633987
14,1530,0,511,0.33398692810457514
14,1530,1,506,0.330718954248366
14,1530,2,513,0.3352941176470588
15,1530,0,508,0.33202614379084966
15,1530,1,493,0.3222222222222222
15,1530,2,529,0.3457516339869281
16,1530,0,515,0.33660130718954245
16,1530,1,537,0.3509803921568627
16,1530,2,478,0.31241830065359477
17,1530,0,504,0.32941176470588235
17,1530,1,472,0.30849673202614375
17,1530,2,554,0.36209150326797385
18,1530,0,500,0.32679738562091504
18,1530,1,528,0.34509803921568627
18,1530,2,502,0.3281045751633987
19,1530,0,515,0.33660130718954245
19,1530,1,508,0.33202614379084966
19,1530,2,507,0.33137254901960783
20,1530,0,488,0.31895424836601305
20,1530,1,524,0.3424836601307189
20,1530,2,518,0.33856209150326794
