fold,fold_count,sub_prog,count,proportion
1,994,maj-1451,56,0.05633802816901409
1,994,maj-1465,55,0.05533199195171026
1,994,maj-1564,55,0.05533199195171026
1,994,maj-1645,55,0.05533199195171026
1,994,maj-2516,55,0.05533199195171026
1,994,maj-4156,56,0.05633802816901409
1,994,maj-5415,55,0.05533199195171026
1,994,maj-5641,55,0.05533199195171026
1,994,maj-6415,55,0.05533199195171026
1,994,mm1-1451,55,0.05533199195171026
1,994,mm1-1465,55,0.05533199195171026
1,994,mm1-1564,56,0.05633802816901409
1,994,mm1-1645,55,0.05533199195171026
1,994,mm1-2516,55,0.05533199195171026
1,994,mm1-4156,55,0.05533199195171026
1,994,mm1-5415,55,0.05533199195171026
1,994,mm1-5641,56,0.05633802816901409
1,994,mm1-6415,55,0.05533199195171026
2,994,maj-1451,56,0.05633802816901409
2,994,maj-1465,55,0.05533199195171026
2,994,maj-1564,55,0.05533199195171026
2,994,maj-1645,55,0.05533199195171026
2,994,maj-2516,55,0.05533199195171026
2,994,maj-4156,56,0.05633802816901409
2,994,maj-5415,55,0.05533199195171026
2,994,maj-5641,55,0.05533199195171026
2,994,maj-6415,55,0.05533199195171026
2,994,mm1-1451,55,0.05533199195171026
2,994,mm1-1465,55,0.05533199195171026
2,994,mm1-1564,56,0.05633802816901409
2,994,mm1-1645,55,0.05533199195171026
2,994,mm1-2516,55,0.05533199195171026
2,994,mm1-4156,55,0.05533199195171026
2,994,mm1-5415,55,0.05533199195171026
2,994,mm1-5641,56,0.05633802816901409
2,994,mm1-6415,55,0.05533199195171026
3,994,maj-1451,56,0.05633802816901409
3,994,maj-1465,55,0.05533199195171026
3,994,maj-1564,55,0.05533199195171026
3,994,maj-1645,55,0.05533199195171026
3,994,maj-2516,55,0.05533199195171026
3,994,maj-4156,56,0.05633802816901409
3,994,maj-5415,55,0.05533199195171026
3,994,maj-5641,55,0.05533199195171026
3,994,maj-6415,55,0.05533199195171026
3,994,mm1-1451,55,0.05533199195171026
3,994,mm1-1465,55,0.05533199195171026
3,994,mm1-1564,56,0.05633802816901409
3,994,mm1-1645,55,0.05533199195171026
3,994,mm1-2516,55,0.05533199195171026
3,994,mm1-4156,55,0.05533199195171026
3,994,mm1-5415,55,0.05533199195171026
3,994,mm1-5641,56,0.05633802816901409
3,994,mm1-6415,55,0.05533199195171026
4,994,maj-1451,56,0.05633802816901409
4,994,maj-1465,55,0.05533199195171026
4,994,maj-1564,55,0.05533199195171026
4,994,maj-1645,55,0.05533199195171026
4,994,maj-2516,55,0.05533199195171026
4,994,maj-4156,56,0.05633802816901409
4,994,maj-5415,55,0.05533199195171026
4,994,maj-5641,55,0.05533199195171026
4,994,maj-6415,55,0.05533199195171026
4,994,mm1-1451,55,0.05533199195171026
4,994,mm1-1465,55,0.05533199195171026
4,994,mm1-1564,56,0.05633802816901409
4,994,mm1-1645,55,0.05533199195171026
4,994,mm1-2516,55,0.05533199195171026
4,994,mm1-4156,55,0.05533199195171026
4,994,mm1-5415,55,0.05533199195171026
4,994,mm1-5641,56,0.05633802816901409
4,994,mm1-6415,55,0.05533199195171026
5,994,maj-1451,55,0.05533199195171026
5,994,maj-1465,55,0.05533199195171026
5,994,maj-1564,55,0.05533199195171026
5,994,maj-1645,56,0.05633802816901409
5,994,maj-2516,55,0.05533199195171026
5,994,maj-4156,55,0.05533199195171026
5,994,maj-5415,55,0.05533199195171026
5,994,maj-5641,55,0.05533199195171026
5,994,maj-6415,56,0.05633802816901409
5,994,mm1-1451,56,0.05633802816901409
5,994,mm1-1465,55,0.05533199195171026
5,994,mm1-1564,55,0.05533199195171026
5,994,mm1-1645,55,0.05533199195171026
5,994,mm1-2516,55,0.05533199195171026
5,994,mm1-4156,56,0.05633802816901409
5,994,mm1-5415,55,0.05533199195171026
5,994,mm1-5641,55,0.05533199195171026
5,994,mm1-6415,55,0.05533199195171026
6,994,maj-1451,55,0.05533199195171026
6,994,maj-1465,55,0.05533199195171026
6,994,maj-1564,55,0.05533199195171026
6,994,maj-1645,56,0.05633802816901409
6,994,maj-2516,55,0.05533199195171026
6,994,maj-4156,55,0.05533199195171026
6,994,maj-5415,55,0.05533199195171026
6,994,maj-5641,55,0.05533199195171026
6,994,maj-6415,56,0.05633802816901409
6,994,mm1-1451,56,0.05633802816901409
6,994,mm1-1465,55,0.05533199195171026
6,994,mm1-1564,55,0.05533199195171026
6,994,mm1-1645,55,0.05533199195171026
6,994,mm1-2516,55,0.05533199195171026
6,994,mm1-4156,56,0.05633802816901409
6,994,mm1-5415,55,0.05533199195171026
6,994,mm1-5641,55,0.05533199195171026
6,994,mm1-6415,55,0.05533199195171026
7,994,maj-1451,55,0.05533199195171026
7,994,maj-1465,55,0.05533199195171026
7,994,maj-1564,55,0.05533199195171026
7,994,maj-1645,56,0.05633802816901409
7,994,maj-2516,55,0.05533199195171026
7,994,maj-4156,55,0.05533199195171026
7,994,maj-5415,55,0.05533199195171026
7,994,maj-5641,55,0.05533199195171026
7,994,maj-6415,56,0.05633802816901409
7,994,mm1-1451,56,0.05633802816901409
7,994,mm1-1465,55,0.05533199195171026
7,994,mm1-1564,55,0.05533199195171026
7,994,mm1-1645,55,0.05533199195171026
7,994,mm1-2516,55,0.05533199195171026
7,994,mm1-4156,56,0.05633802816901409
7,994,mm1-5415,55,0.05533199195171026
7,994,mm1-5641,55,0.05533199195171026
7,994,mm1-6415,55,0.05533199195171026
8,994,maj-1451,55,0.05533199195171026
8,994,maj-1465,55,0.05533199195171026
8,994,maj-1564,55,0.05533199195171026
8,994,maj-1645,56,0.05633802816901409
8,994,maj-2516,55,0.05533199195171026
8,994,maj-4156,55,0.05533199195171026
8,994,maj-5415,55,0.05533199195171026
8,994,maj-5641,55,0.05533199195171026
8,994,maj-6415,56,0.05633802816901409
8,994,mm1-1451,56,0.05633802816901409
8,994,mm1-1465,55,0.05533199195171026
8,994,mm1-1564,55,0.05533199195171026
8,994,mm1-1645,55,0.05533199195171026
8,994,mm1-2516,55,0.05533199195171026
8,994,mm1-4156,56,0.05633802816901409
8,994,mm1-5415,55,0.05533199195171026
8,994,mm1-5641,55,0.05533199195171026
8,994,mm1-6415,55,0.05533199195171026
9,994,maj-1451,55,0.05533199195171026
9,994,maj-1465,56,0.05633802816901409
9,994,maj-1564,55,0.05533199195171026
9,994,maj-1645,55,0.05533199195171026
9,994,maj-2516,55,0.05533199195171026
9,994,maj-4156,55,0.05533199195171026
9,994,maj-5415,56,0.05633802816901409
9,994,maj-5641,55,0.05533199195171026
9,994,maj-6415,55,0.05533199195171026
9,994,mm1-1451,55,0.05533199195171026
9,994,mm1-1465,55,0.05533199195171026
9,994,mm1-1564,55,0.05533199195171026
9,994,mm1-1645,56,0.05633802816901409
9,994,mm1-2516,55,0.05533199195171026
9,994,mm1-4156,55,0.05533199195171026
9,994,mm1-5415,55,0.05533199195171026
9,994,mm1-5641,55,0.05533199195171026
9,994,mm1-6415,56,0.05633802816901409
10,994,maj-1451,55,0.05533199195171026
10,994,maj-1465,56,0.05633802816901409
10,994,maj-1564,55,0.05533199195171026
10,994,maj-1645,55,0.05533199195171026
10,994,maj-2516,55,0.05533199195171026
10,994,maj-4156,55,0.05533199195171026
10,994,maj-5415,56,0.05633802816901409
10,994,maj-5641,55,0.05533199195171026
10,994,maj-6415,55,0.05533199195171026
10,994,mm1-1451,55,0.05533199195171026
10,994,mm1-1465,55,0.05533199195171026
10,994,mm1-1564,55,0.05533199195171026
10,994,mm1-1645,56,0.05633802816901409
10,994,mm1-2516,55,0.05533199195171026
