fold,fold_count,inst2,count,proportion
1,1530,Agogo,320,0.2091503267973856
1,1530,D:SnareDrum1,278,0.18169934640522875
1,1530,MelodicTom,313,0.2045751633986928
1,1530,TaikoDrum,301,0.19673202614379084
1,1530,Woodblock,318,0.20784313725490194
2,1530,Agogo,304,0.19869281045751633
2,1530,D:SnareDrum1,303,0.1980392156862745
2,1530,MelodicTom,309,0.20196078431372547
2,1530,TaikoDrum,318,0.20784313725490194
2,1530,Woodblock,296,0.19346405228758168
3,1530,Agogo,308,0.20130718954248364
3,1530,D:SnareDrum1,306,0.19999999999999998
3,1530,MelodicTom,319,0.20849673202614377
3,1530,TaikoDrum,289,0.18888888888888888
3,1530,Woodblock,308,0.20130718954248364
4,1530,Agogo,311,0.20326797385620915
4,1530,D:SnareDrum1,284,0.18562091503267972
4,1530,MelodicTom,322,0.21045751633986925
4,1530,TaikoDrum,295,0.19281045751633985
4,1530,Woodblock,318,0.20784313725490194
5,1530,Agogo,316,0.2065359477124183
5,1530,D:SnareDrum1,322,0.21045751633986925
5,1530,MelodicTom,301,0.19673202614379084
5,1530,TaikoDrum,318,0.20784313725490194
5,1530,Woodblock,273,0.17843137254901958
6,1530,Agogo,313,0.2045751633986928
6,1530,D:SnareDrum1,314,0.20522875816993463
6,1530,MelodicTom,271,0.17712418300653593
6,1530,TaikoDrum,324,0.21176470588235294
6,1530,Woodblock,308,0.20130718954248364
7,1530,Agogo,320,0.2091503267973856
7,1530,D:SnareDrum1,284,0.18562091503267972
7,1530,MelodicTom,326,0.2130718954248366
7,1530,TaikoDrum,312,0.20392156862745098
7,1530,Woodblock,288,0.18823529411764706
8,1530,Agogo,289,0.18888888888888888
8,1530,D:SnareDrum1,334,0.21830065359477122
8,1530,MelodicTom,307,0.2006535947712418
8,1530,TaikoDrum,300,0.19607843137254902
8,1530,Woodblock,300,0.19607843137254902
9,1530,Agogo,297,0.1941176470588235
9,1530,D:SnareDrum1,307,0.2006535947712418
9,1530,MelodicTom,341,0.22287581699346404
9,1530,TaikoDrum,284,0.18562091503267972
9,1530,Woodblock,301,0.19673202614379084
10,1530,Agogo,335,0.21895424836601304
10,1530,D:SnareDrum1,318,0.20784313725490194
10,1530,MelodicTom,275,0.17973856209150327
10,1530,TaikoDrum,284,0.18562091503267972
10,1530,Woodblock,318,0.20784313725490194
11,1530,Agogo,301,0.19673202614379084
11,1530,D:SnareDrum1,289,0.18888888888888888
11,1530,MelodicTom,314,0.20522875816993463
11,1530,TaikoDrum,341,0.22287581699346404
11,1530,Woodblock,285,0.18627450980392155
12,1530,Agogo,298,0.19477124183006533
12,1530,D:SnareDrum1,305,0.19934640522875816
12,1530,MelodicTom,291,0.19019607843137254
12,1530,TaikoDrum,330,0.2156862745098039
12,1530,Woodblock,306,0.19999999999999998
13,1530,Agogo,298,0.19477124183006533
13,1530,D:SnareDrum1,285,0.18627450980392155
13,1530,MelodicTom,309,0.20196078431372547
13,1530,TaikoDrum,316,0.2065359477124183
13,1530,Woodblock,322,0.21045751633986925
14,1530,Agogo,311,0.20326797385620915
14,1530,D:SnareDrum1,301,0.19673202614379084
14,1530,MelodicTom,319,0.20849673202614377
14,1530,TaikoDrum,291,0.19019607843137254
14,1530,Woodblock,308,0.20130718954248364
15,1530,Agogo,326,0.2130718954248366
15,1530,D:SnareDrum1,329,0.21503267973856208
15,1530,MelodicTom,294,0.19215686274509802
15,1530,TaikoDrum,286,0.18692810457516337
15,1530,Woodblock,295,0.19281045751633985
16,1530,Agogo,276,0.1803921568627451
16,1530,D:SnareDrum1,314,0.20522875816993463
16,1530,MelodicTom,316,0.2065359477124183
16,1530,TaikoDrum,317,0.20718954248366012
16,1530,Woodblock,307,0.2006535947712418
17,1530,Agogo,298,0.19477124183006533
17,1530,D:SnareDrum1,308,0.20130718954248364
17,1530,MelodicTom,297,0.1941176470588235
17,1530,TaikoDrum,306,0.19999999999999998
17,1530,Woodblock,321,0.20980392156862743
18,1530,Agogo,320,0.2091503267973856
18,1530,D:SnareDrum1,294,0.19215686274509802
18,1530,MelodicTom,295,0.19281045751633985
18,1530,TaikoDrum,303,0.1980392156862745
18,1530,Woodblock,318,0.20784313725490194
19,1530,Agogo,300,0.19607843137254902
19,1530,D:SnareDrum1,332,0.21699346405228756
19,1530,MelodicTom,298,0.19477124183006533
19,1530,TaikoDrum,302,0.19738562091503267
19,1530,Woodblock,298,0.19477124183006533
20,1530,Agogo,279,0.18235294117647058
20,1530,D:SnareDrum1,313,0.2045751633986928
20,1530,MelodicTom,303,0.1980392156862745
20,1530,TaikoDrum,303,0.1980392156862745
20,1530,Woodblock,332,0.21699346405228756
