set_type,set_type_count,name,count,proportion
test,5298,AcousticBass-a3-halfdim7_inv0,1,0.00018875047187617969
test,5298,AcousticBass-a3-major7_inv0,1,0.00018875047187617969
test,5298,AcousticBass-a3-major7_inv3,1,0.00018875047187617969
test,5298,AcousticBass-a3-majorminor7_inv2,1,0.00018875047187617969
test,5298,AcousticBass-a3-majorminor7_inv3,1,0.00018875047187617969
test,5298,AcousticBass-as3-augmajor7_inv1,1,0.00018875047187617969
test,5298,AcousticBass-as3-augminor7_inv3,1,0.00018875047187617969
test,5298,AcousticBass-as3-fulldim7_inv2,1,0.00018875047187617969
test,5298,AcousticBass-as3-fulldim7_inv3,1,0.00018875047187617969
test,5298,AcousticBass-as3-halfdim7_inv1,1,0.00018875047187617969
test,5298,AcousticBass-as3-major7_inv2,1,0.00018875047187617969
test,5298,AcousticBass-as3-majorminor7_inv1,1,0.00018875047187617969
test,5298,AcousticBass-as3-majorminor7_inv2,1,0.00018875047187617969
test,5298,AcousticBass-as3-minor7_inv1,1,0.00018875047187617969
test,5298,AcousticBass-b3-augminor7_inv1,1,0.00018875047187617969
test,5298,AcousticBass-b3-majorminor7_inv2,1,0.00018875047187617969
test,5298,AcousticBass-b3-minormajor7_inv0,1,0.00018875047187617969
test,5298,AcousticBass-b3-minormajor7_inv2,1,0.00018875047187617969
test,5298,AcousticBass-c3-augmajor7_inv3,1,0.00018875047187617969
test,5298,AcousticBass-c3-major7_inv2,1,0.00018875047187617969
test,5298,AcousticBass-c4-majorminor7_inv1,1,0.00018875047187617969
test,5298,AcousticBass-c4-minormajor7_inv1,1,0.00018875047187617969
test,5298,AcousticBass-cs3-majorminor7_inv2,1,0.00018875047187617969
test,5298,AcousticBass-cs3-majorminor7_inv3,1,0.00018875047187617969
test,5298,AcousticBass-cs4-augmajor7_inv1,1,0.00018875047187617969
test,5298,AcousticBass-d3-augmajor7_inv2,1,0.00018875047187617969
test,5298,AcousticBass-d3-halfdim7_inv2,1,0.00018875047187617969
test,5298,AcousticBass-d3-halfdim7_inv3,1,0.00018875047187617969
test,5298,AcousticBass-d3-major7_inv1,1,0.00018875047187617969
test,5298,AcousticBass-d3-majorminor7_inv1,1,0.00018875047187617969
test,5298,AcousticBass-d4-major7_inv0,1,0.00018875047187617969
test,5298,AcousticBass-d4-minor7_inv1,1,0.00018875047187617969
test,5298,AcousticBass-ds3-fulldim7_inv2,1,0.00018875047187617969
test,5298,AcousticBass-ds3-halfdim7_inv1,1,0.00018875047187617969
test,5298,AcousticBass-ds3-halfdim7_inv2,1,0.00018875047187617969
test,5298,AcousticBass-ds3-halfdim7_inv3,1,0.00018875047187617969
test,5298,AcousticBass-ds3-majorminor7_inv2,1,0.00018875047187617969
