set_type,set_type_count,key_center,count,proportion
test,3972,a4,315,0.07930513595166164
test,3972,as4,320,0.08056394763343404
test,3972,b4,327,0.0823262839879154
test,3972,c4,328,0.08257804632426989
test,3972,cs4,357,0.08987915407854985
test,3972,d4,340,0.08559919436052367
test,3972,ds4,303,0.07628398791540786
test,3972,e4,346,0.08710976837865056
test,3972,f4,309,0.07779456193353475
test,3972,fs4,365,0.0918932527693857
test,3972,g4,357,0.08987915407854985
test,3972,gs4,305,0.07678751258811682
train,18550,a4,1536,0.0828032345013477
train,18550,as4,1537,0.08285714285714285
train,18550,b4,1564,0.08431266846361185
train,18550,c4,1578,0.08506738544474393
train,18550,cs4,1520,0.08194070080862534
train,18550,d4,1565,0.084366576819407
train,18550,ds4,1557,0.08393530997304582
train,18550,e4,1520,0.08194070080862534
train,18550,f4,1559,0.08404312668463612
train,18550,fs4,1523,0.08210242587601078
train,18550,g4,1523,0.08210242587601078
train,18550,gs4,1568,0.08452830188679245
valid,3974,a4,357,0.08983392048314041
valid,3974,as4,351,0.08832410669350779
valid,3974,b4,317,0.079768495218923
valid,3974,c4,302,0.07599396074484147
valid,3974,cs4,331,0.0832913940613991
valid,3974,d4,303,0.0762455963764469
valid,3974,ds4,348,0.08756919979869149
valid,3974,e4,342,0.08605938600905888
valid,3974,f4,340,0.08555611474584801
valid,3974,fs4,320,0.0805234021137393
valid,3974,g4,328,0.08253648716658278
valid,3974,gs4,335,0.08429793658782084
