fold,fold_count,inst1,count,proportion
1,1530,Agogo,318,0.20784313725490194
1,1530,D:SnareDrum1,277,0.18104575163398692
1,1530,MelodicTom,328,0.21437908496732025
1,1530,TaikoDrum,302,0.19738562091503267
1,1530,Woodblock,305,0.19934640522875816
2,1530,Agogo,303,0.1980392156862745
2,1530,D:SnareDrum1,311,0.20326797385620915
2,1530,MelodicTom,276,0.1803921568627451
2,1530,TaikoDrum,336,0.2196078431372549
2,1530,Woodblock,304,0.19869281045751633
3,1530,Agogo,318,0.20784313725490194
3,1530,D:SnareDrum1,328,0.21437908496732025
3,1530,MelodicTom,281,0.18366013071895423
3,1530,TaikoDrum,331,0.21633986928104573
3,1530,Woodblock,272,0.17777777777777776
4,1530,Agogo,292,0.19084967320261437
4,1530,D:SnareDrum1,315,0.20588235294117646
4,1530,MelodicTom,296,0.19346405228758168
4,1530,TaikoDrum,304,0.19869281045751633
4,1530,Woodblock,323,0.21111111111111108
5,1530,Agogo,303,0.1980392156862745
5,1530,D:SnareDrum1,299,0.1954248366013072
5,1530,MelodicTom,311,0.20326797385620915
5,1530,TaikoDrum,283,0.1849673202614379
5,1530,Woodblock,334,0.21830065359477122
6,1530,Agogo,306,0.19999999999999998
6,1530,D:SnareDrum1,289,0.18888888888888888
6,1530,MelodicTom,321,0.20980392156862743
6,1530,TaikoDrum,318,0.20784313725490194
6,1530,Woodblock,296,0.19346405228758168
7,1530,Agogo,303,0.1980392156862745
7,1530,D:SnareDrum1,327,0.21372549019607842
7,1530,MelodicTom,297,0.1941176470588235
7,1530,TaikoDrum,287,0.18758169934640523
7,1530,Woodblock,316,0.2065359477124183
8,1530,Agogo,299,0.1954248366013072
8,1530,D:SnareDrum1,273,0.17843137254901958
8,1530,MelodicTom,329,0.21503267973856208
8,1530,TaikoDrum,297,0.1941176470588235
8,1530,Woodblock,332,0.21699346405228756
9,1530,Agogo,313,0.2045751633986928
9,1530,D:SnareDrum1,312,0.20392156862745098
9,1530,MelodicTom,278,0.18169934640522875
9,1530,TaikoDrum,312,0.20392156862745098
9,1530,Woodblock,315,0.20588235294117646
10,1530,Agogo,324,0.21176470588235294
10,1530,D:SnareDrum1,283,0.1849673202614379
10,1530,MelodicTom,324,0.21176470588235294
10,1530,TaikoDrum,310,0.2026143790849673
10,1530,Woodblock,289,0.18888888888888888
11,1530,Agogo,281,0.18366013071895423
11,1530,D:SnareDrum1,338,0.22091503267973855
11,1530,MelodicTom,310,0.2026143790849673
11,1530,TaikoDrum,286,0.18692810457516337
11,1530,Woodblock,315,0.20588235294117646
12,1530,Agogo,313,0.2045751633986928
12,1530,D:SnareDrum1,294,0.19215686274509802
12,1530,MelodicTom,320,0.2091503267973856
12,1530,TaikoDrum,309,0.20196078431372547
12,1530,Woodblock,294,0.19215686274509802
13,1530,Agogo,293,0.1915032679738562
13,1530,D:SnareDrum1,324,0.21176470588235294
13,1530,MelodicTom,301,0.19673202614379084
13,1530,TaikoDrum,330,0.2156862745098039
13,1530,Woodblock,282,0.18431372549019606
14,1530,Agogo,314,0.20522875816993463
14,1530,D:SnareDrum1,311,0.20326797385620915
14,1530,MelodicTom,306,0.19999999999999998
14,1530,TaikoDrum,297,0.1941176470588235
14,1530,Woodblock,302,0.19738562091503267
15,1530,Agogo,299,0.1954248366013072
15,1530,D:SnareDrum1,323,0.21111111111111108
15,1530,MelodicTom,285,0.18627450980392155
15,1530,TaikoDrum,316,0.2065359477124183
15,1530,Woodblock,307,0.2006535947712418
16,1530,Agogo,303,0.1980392156862745
16,1530,D:SnareDrum1,290,0.1895424836601307
16,1530,MelodicTom,304,0.19869281045751633
16,1530,TaikoDrum,325,0.21241830065359477
16,1530,Woodblock,308,0.20130718954248364
17,1530,Agogo,303,0.1980392156862745
17,1530,D:SnareDrum1,316,0.2065359477124183
17,1530,MelodicTom,328,0.21437908496732025
17,1530,TaikoDrum,299,0.1954248366013072
17,1530,Woodblock,284,0.18562091503267972
18,1530,Agogo,291,0.19019607843137254
18,1530,D:SnareDrum1,302,0.19738562091503267
18,1530,MelodicTom,328,0.21437908496732025
18,1530,TaikoDrum,278,0.18169934640522875
18,1530,Woodblock,331,0.21633986928104573
19,1530,Agogo,331,0.21633986928104573
19,1530,D:SnareDrum1,282,0.18431372549019606
19,1530,MelodicTom,314,0.20522875816993463
19,1530,TaikoDrum,293,0.1915032679738562
19,1530,Woodblock,310,0.2026143790849673
20,1530,Agogo,313,0.2045751633986928
20,1530,D:SnareDrum1,326,0.2130718954248366
20,1530,MelodicTom,283,0.1849673202614379
20,1530,TaikoDrum,307,0.2006535947712418
20,1530,Woodblock,301,0.19673202614379084
