fold,fold_count,quality,count,proportion
1,1767,augmajor7,221,0.12507074136955293
1,1767,augminor7,221,0.12507074136955293
1,1767,fulldim7,221,0.12507074136955293
1,1767,halfdim7,220,0.12450481041312961
1,1767,major7,221,0.12507074136955293
1,1767,majorminor7,221,0.12507074136955293
1,1767,minor7,221,0.12507074136955293
1,1767,minormajor7,221,0.12507074136955293
2,1767,augmajor7,221,0.12507074136955293
2,1767,augminor7,221,0.12507074136955293
2,1767,fulldim7,221,0.12507074136955293
2,1767,halfdim7,220,0.12450481041312961
2,1767,major7,221,0.12507074136955293
2,1767,majorminor7,221,0.12507074136955293
2,1767,minor7,221,0.12507074136955293
2,1767,minormajor7,221,0.12507074136955293
3,1767,augmajor7,221,0.12507074136955293
3,1767,augminor7,221,0.12507074136955293
3,1767,fulldim7,221,0.12507074136955293
3,1767,halfdim7,220,0.12450481041312961
3,1767,major7,221,0.12507074136955293
3,1767,majorminor7,221,0.12507074136955293
3,1767,minor7,221,0.12507074136955293
3,1767,minormajor7,221,0.12507074136955293
4,1767,augmajor7,221,0.12507074136955293
4,1767,augminor7,221,0.12507074136955293
4,1767,fulldim7,221,0.12507074136955293
4,1767,halfdim7,220,0.12450481041312961
4,1767,major7,221,0.12507074136955293
4,1767,majorminor7,221,0.12507074136955293
4,1767,minor7,221,0.12507074136955293
4,1767,minormajor7,221,0.12507074136955293
5,1767,augmajor7,221,0.12507074136955293
5,1767,augminor7,221,0.12507074136955293
5,1767,fulldim7,221,0.12507074136955293
5,1767,halfdim7,221,0.12507074136955293
5,1767,major7,221,0.12507074136955293
5,1767,majorminor7,221,0.12507074136955293
5,1767,minor7,221,0.12507074136955293
5,1767,minormajor7,220,0.12450481041312961
6,1767,augmajor7,221,0.12507074136955293
6,1767,augminor7,221,0.12507074136955293
6,1767,fulldim7,221,0.12507074136955293
6,1767,halfdim7,221,0.12507074136955293
6,1767,major7,221,0.12507074136955293
6,1767,majorminor7,221,0.12507074136955293
6,1767,minor7,221,0.12507074136955293
6,1767,minormajor7,220,0.12450481041312961
7,1767,augmajor7,221,0.12507074136955293
7,1767,augminor7,221,0.12507074136955293
7,1767,fulldim7,221,0.12507074136955293
7,1767,halfdim7,221,0.12507074136955293
