set_type,set_type_count,quality,count,proportion
test,5298,augmajor7,663,0.12514156285390712
test,5298,augminor7,663,0.12514156285390712
test,5298,fulldim7,660,0.12457531143827859
test,5298,halfdim7,663,0.12514156285390712
test,5298,major7,660,0.12457531143827859
test,5298,majorminor7,663,0.12514156285390712
test,5298,minor7,663,0.12514156285390712
test,5298,minormajor7,663,0.12514156285390712
train,24732,augmajor7,3092,0.1250202167232735
train,24732,augminor7,3090,0.12493934983017953
train,24732,fulldim7,3094,0.12510108361636746
train,24732,halfdim7,3090,0.12493934983017953
train,24732,major7,3094,0.12510108361636746
train,24732,majorminor7,3090,0.12493934983017953
train,24732,minor7,3092,0.1250202167232735
train,24732,minormajor7,3090,0.12493934983017953
valid,5298,augmajor7,661,0.12476406191015477
valid,5298,augminor7,663,0.12514156285390712
valid,5298,fulldim7,662,0.12495281238203094
valid,5298,halfdim7,663,0.12514156285390712
valid,5298,major7,662,0.12495281238203094
valid,5298,majorminor7,663,0.12514156285390712
valid,5298,minor7,661,0.12476406191015477
valid,5298,minormajor7,663,0.12514156285390712
