fold,fold_count,name,count,proportion
1,1767,AcousticBass-as3-augmajor7_inv3,1,0.0005659309564233164
1,1767,AcousticBass-c3-minor7_inv2,1,0.0005659309564233164
1,1767,AcousticBass-c4-minormajor7_inv0,1,0.0005659309564233164
1,1767,AcousticBass-cs4-halfdim7_inv0,1,0.0005659309564233164
1,1767,AcousticBass-d3-majorminor7_inv2,1,0.0005659309564233164
1,1767,AcousticBass-d3-minor7_inv2,1,0.0005659309564233164
1,1767,AcousticBass-d4-augminor7_inv0,1,0.0005659309564233164
1,1767,AcousticBass-ds4-fulldim7_inv0,1,0.0005659309564233164
1,1767,AcousticBass-e3-augmajor7_inv3,1,0.0005659309564233164
1,1767,AcousticBass-e3-majorminor7_inv2,1,0.0005659309564233164
1,1767,AcousticBass-e3-minormajor7_inv2,1,0.0005659309564233164
1,1767,AcousticBass-f3-major7_inv2,1,0.0005659309564233164
1,1767,AcousticBass-f3-majorminor7_inv1,1,0.0005659309564233164
1,1767,AcousticBass-f4-major7_inv0,1,0.0005659309564233164
1,1767,AcousticBass-fs3-major7_inv3,1,0.0005659309564233164
1,1767,AcousticBass-g3-fulldim7_inv3,1,0.0005659309564233164
1,1767,AcousticBass-g3-minor7_inv0,1,0.0005659309564233164
1,1767,AcousticBass-gs3-fulldim7_inv2,1,0.0005659309564233164
1,1767,AcousticGrandPiano-b3-majorminor7_inv2,1,0.0005659309564233164
1,1767,AcousticGrandPiano-c3-fulldim7_inv2,1,0.0005659309564233164
1,1767,AcousticGrandPiano-c4-augminor7_inv0,1,0.0005659309564233164
1,1767,AcousticGrandPiano-c4-minor7_inv1,1,0.0005659309564233164
1,1767,AcousticGrandPiano-cs3-majorminor7_inv2,1,0.0005659309564233164
1,1767,AcousticGrandPiano-cs4-halfdim7_inv1,1,0.0005659309564233164
1,1767,AcousticGrandPiano-d3-halfdim7_inv2,1,0.0005659309564233164
1,1767,AcousticGrandPiano-ds3-augminor7_inv3,1,0.0005659309564233164
1,1767,AcousticGrandPiano-ds3-halfdim7_inv3,1,0.0005659309564233164
1,1767,AcousticGrandPiano-gs3-major7_inv2,1,0.0005659309564233164
1,1767,AcousticGuitar(nylon)-a3-augmajor7_inv0,1,0.0005659309564233164
1,1767,AcousticGuitar(nylon)-a3-minor7_inv1,1,0.0005659309564233164
1,1767,AcousticGuitar(nylon)-a3-minor7_inv2,1,0.0005659309564233164
1,1767,AcousticGuitar(nylon)-as3-major7_inv2,1,0.0005659309564233164
1,1767,AcousticGuitar(nylon)-as3-minormajor7_inv1,1,0.0005659309564233164
1,1767,AcousticGuitar(nylon)-b3-fulldim7_inv0,1,0.0005659309564233164
1,1767,AcousticGuitar(nylon)-b3-minormajor7_inv3,1,0.0005659309564233164
1,1767,AcousticGuitar(nylon)-c4-majorminor7_inv0,1,0.0005659309564233164
1,1767,AcousticGuitar(nylon)-c4-minormajor7_inv1,1,0.0005659309564233164
1,1767,AcousticGuitar(nylon)-d3-minor7_inv3,1,0.0005659309564233164
1,1767,AcousticGuitar(nylon)-d3-minormajor7_inv3,1,0.0005659309564233164
1,1767,AcousticGuitar(nylon)-ds3-majorminor7_inv3,1,0.0005659309564233164
1,1767,AcousticGuitar(nylon)-f3-major7_inv1,1,0.0005659309564233164
1,1767,AcousticGuitar(nylon)-f3-minormajor7_inv1,1,0.0005659309564233164
1,1767,AcousticGuitar(nylon)-f4-augmajor7_inv0,1,0.0005659309564233164
1,1767,AcousticGuitar(nylon)-f4-majorminor7_inv0,1,0.0005659309564233164
1,1767,AcousticGuitar(nylon)-g3-augmajor7_inv3,1,0.0005659309564233164
1,1767,AcousticGuitar(nylon)-g3-minormajor7_inv0,1,0.0005659309564233164
1,1767,AcousticGuitar(steel)-a3-augmajor7_inv1,1,0.0005659309564233164
1,1767,AcousticGuitar(steel)-as3-halfdim7_inv2,1,0.0005659309564233164
1,1767,AcousticGuitar(steel)-b3-augminor7_inv2,1,0.0005659309564233164
1,1767,AcousticGuitar(steel)-b3-major7_inv0,1,0.0005659309564233164
1,1767,AcousticGuitar(steel)-b3-major7_inv1,1,0.0005659309564233164
1,1767,AcousticGuitar(steel)-c3-augmajor7_inv3,1,0.0005659309564233164
1,1767,AcousticGuitar(steel)-c3-fulldim7_inv2,1,0.0005659309564233164
1,1767,AcousticGuitar(steel)-cs3-augmajor7_inv3,1,0.0005659309564233164
1,1767,AcousticGuitar(steel)-cs4-halfdim7_inv1,1,0.0005659309564233164
1,1767,AcousticGuitar(steel)-ds3-major7_inv2,1,0.0005659309564233164
1,1767,AcousticGuitar(steel)-ds3-minormajor7_inv1,1,0.0005659309564233164
1,1767,AcousticGuitar(steel)-e4-augminor7_inv0,1,0.0005659309564233164
1,1767,AcousticGuitar(steel)-f4-augminor7_inv0,1,0.0005659309564233164
1,1767,AcousticGuitar(steel)-fs3-fulldim7_inv3,1,0.0005659309564233164
1,1767,AcousticGuitar(steel)-fs3-halfdim7_inv3,1,0.0005659309564233164
1,1767,AcousticGuitar(steel)-g3-major7_inv3,1,0.0005659309564233164
1,1767,AcousticGuitar(steel)-g3-majorminor7_inv3,1,0.0005659309564233164
1,1767,AcousticGuitar(steel)-gs3-augmajor7_inv2,1,0.0005659309564233164
1,1767,AcousticGuitar(steel)-gs3-augminor7_inv0,1,0.0005659309564233164
1,1767,AcousticGuitar(steel)-gs3-major7_inv2,1,0.0005659309564233164
1,1767,AltoSax-a3-augminor7_inv0,1,0.0005659309564233164
1,1767,AltoSax-a3-minor7_inv2,1,0.0005659309564233164
1,1767,AltoSax-a3-minor7_inv3,1,0.0005659309564233164
1,1767,AltoSax-as3-augmajor7_inv1,1,0.0005659309564233164
1,1767,AltoSax-as3-fulldim7_inv3,1,0.0005659309564233164
1,1767,AltoSax-as3-minor7_inv2,1,0.0005659309564233164
1,1767,AltoSax-b3-major7_inv0,1,0.0005659309564233164
1,1767,AltoSax-c3-majorminor7_inv2,1,0.0005659309564233164
1,1767,AltoSax-cs3-augmajor7_inv3,1,0.0005659309564233164
1,1767,AltoSax-cs4-major7_inv1,1,0.0005659309564233164
1,1767,AltoSax-cs4-minormajor7_inv1,1,0.0005659309564233164
1,1767,AltoSax-d3-augmajor7_inv2,1,0.0005659309564233164
1,1767,AltoSax-ds3-halfdim7_inv3,1,0.0005659309564233164
1,1767,AltoSax-ds3-major7_inv2,1,0.0005659309564233164
1,1767,AltoSax-ds3-majorminor7_inv1,1,0.0005659309564233164
1,1767,AltoSax-ds3-minor7_inv3,1,0.0005659309564233164
1,1767,AltoSax-f4-augmajor7_inv0,1,0.0005659309564233164
1,1767,AltoSax-gs3-major7_inv2,1,0.0005659309564233164
1,1767,Bagpipe-a3-fulldim7_inv1,1,0.0005659309564233164
1,1767,Bagpipe-a3-halfdim7_inv2,1,0.0005659309564233164
1,1767,Bagpipe-a3-minormajor7_inv0,1,0.0005659309564233164
1,1767,Bagpipe-b3-augmajor7_inv3,1,0.0005659309564233164
1,1767,Bagpipe-b3-fulldim7_inv3,1,0.0005659309564233164
1,1767,Bagpipe-c4-minormajor7_inv0,1,0.0005659309564233164
1,1767,Bagpipe-cs3-majorminor7_inv3,1,0.0005659309564233164
1,1767,Bagpipe-cs4-major7_inv1,1,0.0005659309564233164
1,1767,Bagpipe-d3-fulldim7_inv3,1,0.0005659309564233164
1,1767,Bagpipe-d3-major7_inv1,1,0.0005659309564233164
1,1767,Bagpipe-d3-minor7_inv2,1,0.0005659309564233164
1,1767,Bagpipe-d4-minor7_inv0,1,0.0005659309564233164
1,1767,Bagpipe-d4-minormajor7_inv0,1,0.0005659309564233164
1,1767,Bagpipe-ds3-major7_inv2,1,0.0005659309564233164
1,1767,Bagpipe-ds3-majorminor7_inv1,1,0.0005659309564233164
1,1767,Bagpipe-e3-fulldim7_inv1,1,0.0005659309564233164
1,1767,Bagpipe-f4-majorminor7_inv0,1,0.0005659309564233164
1,1767,Bagpipe-f4-minor7_inv0,1,0.0005659309564233164
1,1767,Bagpipe-fs3-minormajor7_inv0,1,0.0005659309564233164
1,1767,Bagpipe-fs3-minormajor7_inv2,1,0.0005659309564233164
1,1767,Bagpipe-g3-minormajor7_inv2,1,0.0005659309564233164
1,1767,Bagpipe-g3-minormajor7_inv3,1,0.0005659309564233164
