set_type,set_type_count,orig_prog,count,proportion
test,2979,maj-1451,330,0.1107754279959718
test,2979,maj-1465,330,0.1107754279959718
test,2979,maj-1564,333,0.11178247734138973
test,2979,maj-1645,330,0.1107754279959718
test,2979,maj-2516,333,0.11178247734138973
test,2979,maj-4156,330,0.1107754279959718
test,2979,maj-5415,330,0.1107754279959718
test,2979,maj-5641,333,0.11178247734138973
test,2979,maj-6415,330,0.1107754279959718
train,13914,maj-1451,1548,0.11125485122897799
train,13914,maj-1465,1546,0.1111111111111111
train,13914,maj-1564,1544,0.1109673709932442
train,13914,maj-1645,1548,0.11125485122897799
train,13914,maj-2516,1542,0.1108236308753773
train,13914,maj-4156,1548,0.11125485122897799
train,13914,maj-5415,1546,0.1111111111111111
train,13914,maj-5641,1544,0.1109673709932442
train,13914,maj-6415,1548,0.11125485122897799
valid,2979,maj-1451,330,0.1107754279959718
valid,2979,maj-1465,332,0.11144679422625042
valid,2979,maj-1564,331,0.1111111111111111
valid,2979,maj-1645,330,0.1107754279959718
valid,2979,maj-2516,333,0.11178247734138973
valid,2979,maj-4156,330,0.1107754279959718
valid,2979,maj-5415,332,0.11144679422625042
valid,2979,maj-5641,331,0.1111111111111111
valid,2979,maj-6415,330,0.1107754279959718
