fold,fold_count,base_prog,count,proportion
1,1325,e_2-1145,331,0.24981132075471696
1,1325,e_2-1251,331,0.24981132075471696
1,1325,e_2-1365,331,0.24981132075471696
1,1325,e_2-1625,332,0.25056603773584907
2,1325,e_2-1145,331,0.24981132075471696
2,1325,e_2-1251,331,0.24981132075471696
2,1325,e_2-1365,331,0.24981132075471696
2,1325,e_2-1625,332,0.25056603773584907
3,1325,e_2-1145,331,0.24981132075471696
3,1325,e_2-1251,331,0.24981132075471696
3,1325,e_2-1365,331,0.24981132075471696
3,1325,e_2-1625,332,0.25056603773584907
4,1325,e_2-1145,331,0.24981132075471696
4,1325,e_2-1251,331,0.24981132075471696
4,1325,e_2-1365,331,0.24981132075471696
4,1325,e_2-1625,332,0.25056603773584907
5,1325,e_2-1145,332,0.25056603773584907
5,1325,e_2-1251,331,0.24981132075471696
5,1325,e_2-1365,331,0.24981132075471696
5,1325,e_2-1625,331,0.24981132075471696
6,1325,e_2-1145,332,0.25056603773584907
6,1325,e_2-1251,331,0.24981132075471696
6,1325,e_2-1365,331,0.24981132075471696
6,1325,e_2-1625,331,0.24981132075471696
7,1325,e_2-1145,332,0.25056603773584907
7,1325,e_2-1251,331,0.24981132075471696
7,1325,e_2-1365,331,0.24981132075471696
7,1325,e_2-1625,331,0.24981132075471696
8,1325,e_2-1145,332,0.25056603773584907
8,1325,e_2-1251,331,0.24981132075471696
8,1325,e_2-1365,331,0.24981132075471696
8,1325,e_2-1625,331,0.24981132075471696
9,1325,e_2-1145,331,0.24981132075471696
9,1325,e_2-1251,332,0.25056603773584907
9,1325,e_2-1365,331,0.24981132075471696
9,1325,e_2-1625,331,0.24981132075471696
10,1325,e_2-1145,331,0.24981132075471696
10,1325,e_2-1251,332,0.25056603773584907
10,1325,e_2-1365,331,0.24981132075471696
10,1325,e_2-1625,331,0.24981132075471696
11,1325,e_2-1145,331,0.24981132075471696
11,1325,e_2-1251,332,0.25056603773584907
11,1325,e_2-1365,331,0.24981132075471696
11,1325,e_2-1625,331,0.24981132075471696
12,1325,e_2-1145,331,0.24981132075471696
12,1325,e_2-1251,332,0.25056603773584907
12,1325,e_2-1365,331,0.24981132075471696
12,1325,e_2-1625,331,0.24981132075471696
13,1325,e_2-1145,331,0.24981132075471696
13,1325,e_2-1251,331,0.24981132075471696
13,1325,e_2-1365,332,0.25056603773584907
13,1325,e_2-1625,331,0.24981132075471696
14,1325,e_2-1145,331,0.24981132075471696
14,1325,e_2-1251,331,0.24981132075471696
14,1325,e_2-1365,332,0.25056603773584907
14,1325,e_2-1625,331,0.24981132075471696
15,1325,e_2-1145,331,0.24981132075471696
15,1325,e_2-1251,331,0.24981132075471696
15,1325,e_2-1365,332,0.25056603773584907
15,1325,e_2-1625,331,0.24981132075471696
16,1325,e_2-1145,331,0.24981132075471696
16,1325,e_2-1251,331,0.24981132075471696
16,1325,e_2-1365,332,0.25056603773584907
16,1325,e_2-1625,331,0.24981132075471696
17,1324,e_2-1145,331,0.25
17,1324,e_2-1251,331,0.25
17,1324,e_2-1365,331,0.25
17,1324,e_2-1625,331,0.25
18,1324,e_2-1145,331,0.25
18,1324,e_2-1251,331,0.25
18,1324,e_2-1365,331,0.25
18,1324,e_2-1625,331,0.25
19,1324,e_2-1145,331,0.25
19,1324,e_2-1251,331,0.25
19,1324,e_2-1365,331,0.25
19,1324,e_2-1625,331,0.25
20,1324,e_2-1145,331,0.25
20,1324,e_2-1251,331,0.25
20,1324,e_2-1365,331,0.25
20,1324,e_2-1625,331,0.25
