fold,fold_count,dyn_category,count,proportion
1,2268,cresc,142,0.06261022927689594
1,2268,decresc,141,0.062169312169312166
1,2268,flat,284,0.12522045855379188
1,2268,hairpin,426,0.18783068783068782
1,2268,revhairpin,425,0.18738977072310403
1,2268,subf,425,0.18738977072310403
1,2268,subp,425,0.18738977072310403
2,2268,cresc,142,0.06261022927689594
2,2268,decresc,141,0.062169312169312166
2,2268,flat,284,0.12522045855379188
2,2268,hairpin,426,0.18783068783068782
2,2268,revhairpin,425,0.18738977072310403
2,2268,subf,425,0.18738977072310403
2,2268,subp,425,0.18738977072310403
3,2268,cresc,142,0.06261022927689594
3,2268,decresc,141,0.062169312169312166
3,2268,flat,284,0.12522045855379188
3,2268,hairpin,426,0.18783068783068782
3,2268,revhairpin,425,0.18738977072310403
3,2268,subf,425,0.18738977072310403
3,2268,subp,425,0.18738977072310403
4,2268,cresc,142,0.06261022927689594
4,2268,decresc,141,0.062169312169312166
4,2268,flat,284,0.12522045855379188
4,2268,hairpin,426,0.18783068783068782
4,2268,revhairpin,425,0.18738977072310403
4,2268,subf,425,0.18738977072310403
4,2268,subp,425,0.18738977072310403
5,2268,cresc,142,0.06261022927689594
5,2268,decresc,141,0.062169312169312166
5,2268,flat,284,0.12522045855379188
5,2268,hairpin,426,0.18783068783068782
5,2268,revhairpin,425,0.18738977072310403
5,2268,subf,425,0.18738977072310403
5,2268,subp,425,0.18738977072310403
6,2268,cresc,141,0.062169312169312166
6,2268,decresc,142,0.06261022927689594
6,2268,flat,284,0.12522045855379188
6,2268,hairpin,425,0.18738977072310403
6,2268,revhairpin,426,0.18783068783068782
6,2268,subf,425,0.18738977072310403
6,2268,subp,425,0.18738977072310403
7,2268,cresc,141,0.062169312169312166
7,2268,decresc,142,0.06261022927689594
7,2268,flat,284,0.12522045855379188
7,2268,hairpin,425,0.18738977072310403
7,2268,revhairpin,426,0.18783068783068782
7,2268,subf,425,0.18738977072310403
7,2268,subp,425,0.18738977072310403
8,2268,cresc,141,0.062169312169312166
8,2268,decresc,142,0.06261022927689594
8,2268,flat,284,0.12522045855379188
8,2268,hairpin,425,0.18738977072310403
8,2268,revhairpin,426,0.18783068783068782
8,2268,subf,425,0.18738977072310403
8,2268,subp,425,0.18738977072310403
9,2268,cresc,141,0.062169312169312166
9,2268,decresc,142,0.06261022927689594
9,2268,flat,284,0.12522045855379188
9,2268,hairpin,425,0.18738977072310403
9,2268,revhairpin,426,0.18783068783068782
9,2268,subf,425,0.18738977072310403
9,2268,subp,425,0.18738977072310403
10,2268,cresc,141,0.062169312169312166
10,2268,decresc,142,0.06261022927689594
10,2268,flat,284,0.12522045855379188
10,2268,hairpin,425,0.18738977072310403
10,2268,revhairpin,426,0.18783068783068782
10,2268,subf,425,0.18738977072310403
10,2268,subp,425,0.18738977072310403
11,2268,cresc,142,0.06261022927689594
11,2268,decresc,142,0.06261022927689594
11,2268,flat,283,0.1247795414462081
11,2268,hairpin,425,0.18738977072310403
11,2268,revhairpin,425,0.18738977072310403
11,2268,subf,425,0.18738977072310403
11,2268,subp,426,0.18783068783068782
12,2268,cresc,142,0.06261022927689594
12,2268,decresc,142,0.06261022927689594
12,2268,flat,283,0.1247795414462081
12,2268,hairpin,425,0.18738977072310403
12,2268,revhairpin,425,0.18738977072310403
12,2268,subf,425,0.18738977072310403
12,2268,subp,426,0.18783068783068782
13,2268,cresc,142,0.06261022927689594
13,2268,decresc,142,0.06261022927689594
13,2268,flat,283,0.1247795414462081
13,2268,hairpin,425,0.18738977072310403
13,2268,revhairpin,425,0.18738977072310403
13,2268,subf,425,0.18738977072310403
13,2268,subp,426,0.18783068783068782
14,2268,cresc,142,0.06261022927689594
14,2268,decresc,142,0.06261022927689594
14,2268,flat,283,0.1247795414462081
14,2268,hairpin,425,0.18738977072310403
14,2268,revhairpin,425,0.18738977072310403
14,2268,subf,425,0.18738977072310403
14,2268,subp,426,0.18783068783068782
15,2268,cresc,142,0.06261022927689594
15,2268,decresc,142,0.06261022927689594
15,2268,flat,283,0.1247795414462081
15,2268,hairpin,425,0.18738977072310403
15,2268,revhairpin,425,0.18738977072310403
15,2268,subf,425,0.18738977072310403
15,2268,subp,426,0.18783068783068782
16,2268,cresc,142,0.06261022927689594
16,2268,decresc,142,0.06261022927689594
16,2268,flat,283,0.1247795414462081
16,2268,hairpin,425,0.18738977072310403
16,2268,revhairpin,425,0.18738977072310403
16,2268,subf,426,0.18783068783068782
16,2268,subp,425,0.18738977072310403
17,2268,cresc,142,0.06261022927689594
17,2268,decresc,142,0.06261022927689594
17,2268,flat,283,0.1247795414462081
17,2268,hairpin,425,0.18738977072310403
17,2268,revhairpin,425,0.18738977072310403
17,2268,subf,426,0.18783068783068782
17,2268,subp,425,0.18738977072310403
18,2268,cresc,142,0.06261022927689594
18,2268,decresc,142,0.06261022927689594
18,2268,flat,283,0.1247795414462081
18,2268,hairpin,425,0.18738977072310403
18,2268,revhairpin,425,0.18738977072310403
18,2268,subf,426,0.18783068783068782
18,2268,subp,425,0.18738977072310403
19,2268,cresc,142,0.06261022927689594
19,2268,decresc,142,0.06261022927689594
19,2268,flat,283,0.1247795414462081
19,2268,hairpin,425,0.18738977072310403
19,2268,revhairpin,425,0.18738977072310403
19,2268,subf,426,0.18783068783068782
19,2268,subp,425,0.18738977072310403
20,2268,cresc,142,0.06261022927689594
20,2268,decresc,142,0.06261022927689594
20,2268,flat,283,0.1247795414462081
20,2268,hairpin,425,0.18738977072310403
20,2268,revhairpin,425,0.18738977072310403
20,2268,subf,426,0.18783068783068782
20,2268,subp,425,0.18738977072310403
