pair,count
SteelDrums_TaikoDrum,1242
SynthDrum_TinkleBell,1242
MelodicTom_SteelDrums,1242
MelodicTom_SynthDrum,1242
TaikoDrum_Woodblock,1242
TinkleBell_Woodblock,1242
Agogo_SteelDrums,1242
Agogo_Woodblock,1242
TaikoDrum_TinkleBell,1242
SteelDrums_Woodblock,1242
MelodicTom_Woodblock,1242
SynthDrum_TaikoDrum,1242
Agogo_MelodicTom,1242
MelodicTom_TinkleBell,1242
MelodicTom_TaikoDrum,1242
Agogo_SynthDrum,1242
SynthDrum_Woodblock,1242
Agogo_TinkleBell,1242
SteelDrums_SynthDrum,1242
Agogo_TaikoDrum,1242
SteelDrums_TinkleBell,1242
