fold,fold_count,midi_program_num,count,proportion
1,1049,0,5,0.004766444232602479
1,1049,1,17,0.016205910390848427
1,1049,2,12,0.011439466158245948
1,1049,3,10,0.009532888465204958
1,1049,4,11,0.010486177311725452
1,1049,5,10,0.009532888465204958
1,1049,6,12,0.011439466158245948
1,1049,7,11,0.010486177311725452
1,1049,10,8,0.0076263107721639654
1,1049,11,16,0.015252621544327931
1,1049,12,11,0.010486177311725452
1,1049,13,11,0.010486177311725452
1,1049,15,15,0.014299332697807435
1,1049,16,15,0.014299332697807435
1,1049,17,12,0.011439466158245948
1,1049,18,10,0.009532888465204958
1,1049,19,8,0.0076263107721639654
1,1049,20,10,0.009532888465204958
1,1049,24,13,0.012392755004766444
1,1049,25,10,0.009532888465204958
1,1049,26,12,0.011439466158245948
1,1049,27,13,0.012392755004766444
1,1049,28,5,0.004766444232602479
1,1049,29,11,0.010486177311725452
1,1049,30,11,0.010486177311725452
1,1049,32,8,0.0076263107721639654
1,1049,33,8,0.0076263107721639654
1,1049,34,16,0.015252621544327931
1,1049,35,13,0.012392755004766444
1,1049,36,16,0.015252621544327931
1,1049,37,11,0.010486177311725452
1,1049,38,14,0.013346043851286939
1,1049,39,10,0.009532888465204958
1,1049,40,12,0.011439466158245948
1,1049,41,9,0.008579599618684462
1,1049,42,9,0.008579599618684462
1,1049,43,11,0.010486177311725452
1,1049,44,11,0.010486177311725452
1,1049,45,13,0.012392755004766444
1,1049,46,11,0.010486177311725452
1,1049,48,12,0.011439466158245948
1,1049,49,15,0.014299332697807435
1,1049,50,16,0.015252621544327931
1,1049,51,9,0.008579599618684462
1,1049,52,9,0.008579599618684462
1,1049,53,12,0.011439466158245948
1,1049,54,13,0.012392755004766444
1,1049,56,17,0.016205910390848427
1,1049,57,8,0.0076263107721639654
1,1049,58,16,0.015252621544327931
1,1049,59,14,0.013346043851286939
1,1049,60,13,0.012392755004766444
1,1049,61,20,0.019065776930409915
1,1049,62,12,0.011439466158245948
1,1049,63,14,0.013346043851286939
1,1049,64,7,0.006673021925643469
1,1049,65,8,0.0076263107721639654
1,1049,66,13,0.012392755004766444
1,1049,67,11,0.010486177311725452
1,1049,68,7,0.006673021925643469
1,1049,69,8,0.0076263107721639654
1,1049,70,11,0.010486177311725452
1,1049,71,16,0.015252621544327931
1,1049,72,16,0.015252621544327931
1,1049,73,15,0.014299332697807435
