fold,fold_count,play_style_name,count,proportion
1,773,DOWN,377,0.4877102199223804
1,773,UP,396,0.5122897800776197
2,773,DOWN,393,0.5084087968952135
2,773,UP,380,0.4915912031047866
3,773,DOWN,408,0.5278137128072445
3,773,UP,365,0.4721862871927555
4,773,DOWN,378,0.4890038809831824
4,773,UP,395,0.5109961190168176
5,773,DOWN,372,0.48124191461837
5,773,UP,401,0.51875808538163
6,773,DOWN,388,0.5019404915912031
6,773,UP,385,0.4980595084087969
7,773,DOWN,377,0.4877102199223804
7,773,UP,396,0.5122897800776197
8,773,DOWN,376,0.4864165588615783
8,773,UP,397,0.5135834411384218
9,773,DOWN,388,0.5019404915912031
9,773,UP,385,0.4980595084087969
10,773,DOWN,394,0.5097024579560155
10,773,UP,379,0.4902975420439845
11,773,DOWN,389,0.5032341526520052
11,773,UP,384,0.4967658473479949
12,773,DOWN,359,0.4644243208279431
12,773,UP,414,0.535575679172057
13,773,DOWN,404,0.5226390685640363
13,773,UP,369,0.4773609314359638
14,773,DOWN,392,0.5071151358344115
14,773,UP,381,0.49288486416558863
15,773,DOWN,362,0.4683053040103493
15,773,UP,411,0.5316946959896508
16,773,DOWN,391,0.5058214747736094
16,773,UP,382,0.4941785252263907
17,772,DOWN,404,0.5233160621761658
17,772,UP,368,0.4766839378238342
18,772,DOWN,389,0.5038860103626943
18,772,UP,383,0.49611398963730574
19,772,DOWN,397,0.5142487046632125
19,772,UP,375,0.48575129533678757
20,772,DOWN,390,0.5051813471502591
20,772,UP,382,0.49481865284974097
