set_type,set_type_count,interval_idx,count,proportion
test,5961,0,495,0.08303975842979365
test,5961,1,498,0.08354302969300452
test,5961,2,495,0.08303975842979365
test,5961,3,498,0.08354302969300452
test,5961,4,498,0.08354302969300452
test,5961,5,495,0.08303975842979365
test,5961,6,498,0.08354302969300452
test,5961,7,495,0.08303975842979365
test,5961,8,498,0.08354302969300452
test,5961,9,498,0.08354302969300452
test,5961,10,495,0.08303975842979365
test,5961,11,498,0.08354302969300452
train,27822,0,2322,0.08345913306016821
train,27822,1,2316,0.08324347638559414
train,27822,2,2320,0.08338724750197685
train,27822,3,2318,0.08331536194378548
train,27822,4,2316,0.08324347638559414
train,27822,5,2322,0.08345913306016821
train,27822,6,2316,0.08324347638559414
train,27822,7,2320,0.08338724750197685
train,27822,8,2318,0.08331536194378548
train,27822,9,2316,0.08324347638559414
train,27822,10,2322,0.08345913306016821
train,27822,11,2316,0.08324347638559414
valid,5961,0,495,0.08303975842979365
valid,5961,1,498,0.08354302969300452
valid,5961,2,497,0.08337527260526757
valid,5961,3,496,0.08320751551753061
valid,5961,4,498,0.08354302969300452
valid,5961,5,495,0.08303975842979365
valid,5961,6,498,0.08354302969300452
valid,5961,7,497,0.08337527260526757
valid,5961,8,496,0.08320751551753061
valid,5961,9,498,0.08354302969300452
valid,5961,10,495,0.08303975842979365
valid,5961,11,498,0.08354302969300452
