fold,fold_count,click_config_name,count,proportion
1,202,default,36,0.1782178217821782
1,202,synth_drum,42,0.2079207920792079
1,202,taiko,45,0.22277227722772278
1,202,woodblock_dark,37,0.18316831683168316
1,202,woodblock_light,42,0.2079207920792079
2,202,default,42,0.2079207920792079
2,202,synth_drum,39,0.19306930693069307
2,202,taiko,36,0.1782178217821782
2,202,woodblock_dark,46,0.22772277227722773
2,202,woodblock_light,39,0.19306930693069307
3,202,default,46,0.22772277227722773
3,202,synth_drum,32,0.15841584158415842
3,202,taiko,45,0.22277227722772278
3,202,woodblock_dark,33,0.16336633663366337
3,202,woodblock_light,46,0.22772277227722773
4,202,default,35,0.17326732673267328
4,202,synth_drum,44,0.21782178217821782
4,202,taiko,38,0.18811881188118812
4,202,woodblock_dark,42,0.2079207920792079
4,202,woodblock_light,43,0.21287128712871287
5,201,default,41,0.20398009950248755
5,201,synth_drum,39,0.19402985074626866
5,201,taiko,34,0.1691542288557214
5,201,woodblock_dark,39,0.19402985074626866
5,201,woodblock_light,48,0.23880597014925373
6,201,default,39,0.19402985074626866
6,201,synth_drum,37,0.18407960199004975
6,201,taiko,42,0.208955223880597
6,201,woodblock_dark,49,0.24378109452736318
6,201,woodblock_light,34,0.1691542288557214
7,201,default,26,0.12935323383084577
7,201,synth_drum,38,0.1890547263681592
7,201,taiko,45,0.22388059701492538
7,201,woodblock_dark,43,0.21393034825870647
7,201,woodblock_light,49,0.24378109452736318
8,201,default,39,0.19402985074626866
8,201,synth_drum,52,0.25870646766169153
8,201,taiko,41,0.20398009950248755
8,201,woodblock_dark,44,0.21890547263681592
8,201,woodblock_light,25,0.12437810945273632
9,201,default,56,0.27860696517412936
9,201,synth_drum,35,0.17412935323383083
9,201,taiko,37,0.18407960199004975
9,201,woodblock_dark,30,0.14925373134328357
9,201,woodblock_light,43,0.21393034825870647
10,201,default,40,0.1990049751243781
10,201,synth_drum,40,0.1990049751243781
10,201,taiko,36,0.1791044776119403
10,201,woodblock_dark,39,0.19402985074626866
10,201,woodblock_light,46,0.2288557213930348
11,201,default,46,0.2288557213930348
11,201,synth_drum,48,0.23880597014925373
11,201,taiko,37,0.18407960199004975
11,201,woodblock_dark,36,0.1791044776119403
11,201,woodblock_light,34,0.1691542288557214
12,201,default,29,0.14427860696517414
12,201,synth_drum,45,0.22388059701492538
12,201,taiko,40,0.1990049751243781
12,201,woodblock_dark,47,0.23383084577114427
12,201,woodblock_light,40,0.1990049751243781
13,201,default,38,0.1890547263681592
13,201,synth_drum,33,0.16417910447761194
13,201,taiko,50,0.24875621890547264
13,201,woodblock_dark,46,0.2288557213930348
13,201,woodblock_light,34,0.1691542288557214
14,201,default,49,0.24378109452736318
14,201,synth_drum,37,0.18407960199004975
14,201,taiko,39,0.19402985074626866
14,201,woodblock_dark,34,0.1691542288557214
14,201,woodblock_light,42,0.208955223880597
15,202,default,40,0.19801980198019803
15,202,synth_drum,38,0.18811881188118812
15,202,taiko,42,0.2079207920792079
15,202,woodblock_dark,42,0.2079207920792079
15,202,woodblock_light,40,0.19801980198019803
16,201,default,39,0.19402985074626866
16,201,synth_drum,39,0.19402985074626866
16,201,taiko,44,0.21890547263681592
16,201,woodblock_dark,38,0.1890547263681592
16,201,woodblock_light,41,0.20398009950248755
17,201,default,34,0.1691542288557214
17,201,synth_drum,42,0.208955223880597
17,201,taiko,37,0.18407960199004975
17,201,woodblock_dark,45,0.22388059701492538
17,201,woodblock_light,43,0.21393034825870647
18,201,default,39,0.19402985074626866
18,201,synth_drum,41,0.20398009950248755
18,201,taiko,48,0.23880597014925373
18,201,woodblock_dark,37,0.18407960199004975
18,201,woodblock_light,36,0.1791044776119403
19,201,default,36,0.1791044776119403
19,201,synth_drum,47,0.23383084577114427
19,201,taiko,31,0.15422885572139303
19,201,woodblock_dark,44,0.21890547263681592
19,201,woodblock_light,43,0.21393034825870647
20,201,default,55,0.2736318407960199
20,201,synth_drum,37,0.18407960199004975
20,201,taiko,38,0.1890547263681592
20,201,woodblock_dark,34,0.1691542288557214
20,201,woodblock_light,37,0.18407960199004975
