fold,fold_count,midi_program_num,count,proportion
1,60,0,11,0.18333333333333332
1,60,115,27,0.45
1,60,116,6,0.1
1,60,118,16,0.26666666666666666
2,60,0,15,0.25
2,60,115,14,0.23333333333333334
2,60,116,19,0.31666666666666665
2,60,118,12,0.2
3,60,0,15,0.25
3,60,115,25,0.4166666666666667
3,60,116,8,0.13333333333333333
3,60,118,12,0.2
4,60,0,15,0.25
4,60,115,19,0.31666666666666665
4,60,116,14,0.23333333333333334
4,60,118,12,0.2
5,60,0,10,0.16666666666666666
5,60,115,24,0.4
5,60,116,19,0.31666666666666665
5,60,118,7,0.11666666666666667
6,60,0,10,0.16666666666666666
6,60,115,22,0.36666666666666664
6,60,116,15,0.25
6,60,118,13,0.21666666666666667
7,60,0,10,0.16666666666666666
7,60,115,27,0.45
7,60,116,11,0.18333333333333332
7,60,118,12,0.2
8,60,0,17,0.2833333333333333
8,60,115,27,0.45
8,60,116,7,0.11666666666666667
8,60,118,9,0.15
9,60,0,15,0.25
9,60,115,25,0.4166666666666667
9,60,116,13,0.21666666666666667
9,60,118,7,0.11666666666666667
10,60,0,10,0.16666666666666666
10,60,115,26,0.43333333333333335
10,60,116,11,0.18333333333333332
10,60,118,13,0.21666666666666667
11,60,0,12,0.2
11,60,115,23,0.3833333333333333
11,60,116,13,0.21666666666666667
11,60,118,12,0.2
12,60,0,12,0.2
12,60,115,22,0.36666666666666664
12,60,116,13,0.21666666666666667
12,60,118,13,0.21666666666666667
13,60,0,18,0.3
13,60,115,24,0.4
13,60,116,10,0.16666666666666666
13,60,118,8,0.13333333333333333
14,60,0,12,0.2
14,60,115,27,0.45
14,60,116,9,0.15
14,60,118,12,0.2
15,60,0,12,0.2
15,60,115,22,0.36666666666666664
15,60,116,10,0.16666666666666666
15,60,118,16,0.26666666666666666
16,60,0,10,0.16666666666666666
16,60,115,21,0.35
16,60,116,12,0.2
16,60,118,17,0.2833333333333333
17,60,0,5,0.08333333333333333
17,60,115,24,0.4
17,60,116,12,0.2
17,60,118,19,0.31666666666666665
18,60,0,9,0.15
18,60,115,27,0.45
18,60,116,13,0.21666666666666667
18,60,118,11,0.18333333333333332
19,60,0,11,0.18333333333333332
19,60,115,27,0.45
19,60,116,13,0.21666666666666667
19,60,118,9,0.15
20,60,0,11,0.18333333333333332
20,60,115,27,0.45
20,60,116,12,0.2
20,60,118,10,0.16666666666666666
