set_type,set_type_count,bpm,count,proportion
test,603,50,12,0.01990049751243781
test,603,51,12,0.01990049751243781
test,603,52,12,0.01990049751243781
test,603,53,13,0.02155887230514096
test,603,54,13,0.02155887230514096
test,603,55,13,0.02155887230514096
test,603,56,12,0.01990049751243781
test,603,57,12,0.01990049751243781
test,603,58,12,0.01990049751243781
test,603,59,13,0.02155887230514096
test,603,60,13,0.02155887230514096
test,603,61,13,0.02155887230514096
test,603,62,12,0.01990049751243781
test,603,63,12,0.01990049751243781
test,603,64,12,0.01990049751243781
test,603,65,13,0.02155887230514096
test,603,66,13,0.02155887230514096
test,603,67,13,0.02155887230514096
test,603,68,12,0.01990049751243781
test,603,69,12,0.01990049751243781
test,603,70,12,0.01990049751243781
test,603,71,13,0.02155887230514096
test,603,72,13,0.02155887230514096
test,603,73,13,0.02155887230514096
test,603,186,3,0.004975124378109453
test,603,187,12,0.01990049751243781
test,603,188,12,0.01990049751243781
test,603,189,13,0.02155887230514096
test,603,190,13,0.02155887230514096
test,603,191,13,0.02155887230514096
test,603,192,12,0.01990049751243781
test,603,193,12,0.01990049751243781
test,603,194,12,0.01990049751243781
test,603,195,13,0.02155887230514096
test,603,196,13,0.02155887230514096
test,603,197,13,0.02155887230514096
test,603,198,12,0.01990049751243781
test,603,199,12,0.01990049751243781
test,603,200,12,0.01990049751243781
test,603,201,13,0.02155887230514096
test,603,202,13,0.02155887230514096
test,603,203,13,0.02155887230514096
test,603,204,12,0.01990049751243781
test,603,205,12,0.01990049751243781
test,603,206,12,0.01990049751243781
test,603,207,13,0.02155887230514096
test,603,208,13,0.02155887230514096
test,603,209,13,0.02155887230514096
test,603,210,12,0.01990049751243781
train,2818,74,22,0.0078069552874379
train,2818,75,25,0.008871540099361249
train,2818,76,25,0.008871540099361249
train,2818,77,25,0.008871540099361249
train,2818,78,25,0.008871540099361249
train,2818,79,25,0.008871540099361249
train,2818,80,25,0.008871540099361249
train,2818,81,25,0.008871540099361249
train,2818,82,25,0.008871540099361249
train,2818,83,25,0.008871540099361249
train,2818,84,25,0.008871540099361249
train,2818,85,25,0.008871540099361249
train,2818,86,25,0.008871540099361249
train,2818,87,25,0.008871540099361249
train,2818,88,25,0.008871540099361249
train,2818,89,25,0.008871540099361249
train,2818,90,25,0.008871540099361249
train,2818,91,25,0.008871540099361249
train,2818,92,25,0.008871540099361249
train,2818,93,25,0.008871540099361249
train,2818,94,25,0.008871540099361249
train,2818,95,25,0.008871540099361249
train,2818,96,25,0.008871540099361249
train,2818,97,25,0.008871540099361249
train,2818,98,25,0.008871540099361249
train,2818,99,25,0.008871540099361249
train,2818,100,25,0.008871540099361249
train,2818,101,25,0.008871540099361249
train,2818,102,25,0.008871540099361249
train,2818,103,25,0.008871540099361249
train,2818,104,25,0.008871540099361249
train,2818,105,25,0.008871540099361249
train,2818,106,25,0.008871540099361249
train,2818,107,25,0.008871540099361249
train,2818,108,25,0.008871540099361249
train,2818,109,25,0.008871540099361249
train,2818,110,25,0.008871540099361249
train,2818,111,25,0.008871540099361249
train,2818,112,25,0.008871540099361249
train,2818,113,25,0.008871540099361249
train,2818,114,25,0.008871540099361249
train,2818,115,25,0.008871540099361249
train,2818,116,25,0.008871540099361249
train,2818,117,25,0.008871540099361249
train,2818,118,25,0.008871540099361249
train,2818,119,25,0.008871540099361249
train,2818,120,25,0.008871540099361249
train,2818,121,25,0.008871540099361249
train,2818,122,25,0.008871540099361249
train,2818,123,25,0.008871540099361249
train,2818,124,25,0.008871540099361249
train,2818,125,25,0.008871540099361249
train,2818,126,25,0.008871540099361249
train,2818,127,25,0.008871540099361249
train,2818,128,25,0.008871540099361249
train,2818,129,25,0.008871540099361249
train,2818,130,25,0.008871540099361249
train,2818,131,25,0.008871540099361249
train,2818,132,25,0.008871540099361249
train,2818,133,25,0.008871540099361249
train,2818,134,25,0.008871540099361249
train,2818,135,25,0.008871540099361249
train,2818,136,25,0.008871540099361249
train,2818,137,25,0.008871540099361249
train,2818,138,25,0.008871540099361249
train,2818,139,25,0.008871540099361249
train,2818,140,25,0.008871540099361249
train,2818,141,25,0.008871540099361249
train,2818,142,25,0.008871540099361249
train,2818,143,25,0.008871540099361249
train,2818,144,25,0.008871540099361249
train,2818,145,25,0.008871540099361249
train,2818,146,25,0.008871540099361249
train,2818,147,25,0.008871540099361249
train,2818,148,25,0.008871540099361249
train,2818,149,25,0.008871540099361249
train,2818,150,25,0.008871540099361249
train,2818,151,25,0.008871540099361249
train,2818,152,25,0.008871540099361249
train,2818,153,25,0.008871540099361249
train,2818,154,25,0.008871540099361249
train,2818,155,25,0.008871540099361249
train,2818,156,25,0.008871540099361249
train,2818,157,25,0.008871540099361249
train,2818,158,25,0.008871540099361249
train,2818,159,25,0.008871540099361249
train,2818,160,25,0.008871540099361249
train,2818,161,25,0.008871540099361249
train,2818,162,25,0.008871540099361249
train,2818,163,25,0.008871540099361249
train,2818,164,25,0.008871540099361249
train,2818,165,25,0.008871540099361249
train,2818,166,25,0.008871540099361249
train,2818,167,25,0.008871540099361249
train,2818,168,25,0.008871540099361249
train,2818,169,25,0.008871540099361249
train,2818,170,25,0.008871540099361249
train,2818,171,25,0.008871540099361249
train,2818,172,25,0.008871540099361249
train,2818,173,25,0.008871540099361249
train,2818,174,25,0.008871540099361249
train,2818,175,25,0.008871540099361249
train,2818,176,25,0.008871540099361249
train,2818,177,25,0.008871540099361249
train,2818,178,25,0.008871540099361249
train,2818,179,25,0.008871540099361249
train,2818,180,25,0.008871540099361249
train,2818,181,25,0.008871540099361249
train,2818,182,25,0.008871540099361249
train,2818,183,25,0.008871540099361249
train,2818,184,25,0.008871540099361249
train,2818,185,25,0.008871540099361249
train,2818,186,21,0.00745209368346345
valid,604,50,13,0.02152317880794702
valid,604,51,13,0.02152317880794702
valid,604,52,13,0.02152317880794702
valid,604,53,12,0.019867549668874173
valid,604,54,12,0.019867549668874173
valid,604,55,12,0.019867549668874173
valid,604,56,13,0.02152317880794702
valid,604,57,13,0.02152317880794702
valid,604,58,13,0.02152317880794702
valid,604,59,12,0.019867549668874173
valid,604,60,12,0.019867549668874173
valid,604,61,12,0.019867549668874173
valid,604,62,13,0.02152317880794702
valid,604,63,13,0.02152317880794702
valid,604,64,13,0.02152317880794702
