set_type,set_type_count,root_note_name,count,proportion
test,2316,A,219,0.09455958549222797
test,2316,A#,172,0.07426597582037996
test,2316,B,178,0.0768566493955095
test,2316,C,193,0.08333333333333333
test,2316,C#,197,0.08506044905008635
test,2316,D,168,0.07253886010362694
test,2316,D#,204,0.08808290155440414
test,2316,E,179,0.07728842832469775
test,2316,F,193,0.08333333333333333
test,2316,F#,187,0.0807426597582038
test,2316,G,225,0.09715025906735751
test,2316,G#,201,0.08678756476683937
train,10822,A,882,0.0815006468305304
train,10822,A#,913,0.08436518203659213
train,10822,B,913,0.08436518203659213
train,10822,C,909,0.08399556459064868
train,10822,C#,888,0.08205507299944557
train,10822,D,909,0.08399556459064868
train,10822,D#,882,0.0815006468305304
train,10822,E,930,0.08593605618185178
train,10822,F,888,0.08205507299944557
train,10822,F#,915,0.08454999075956385
train,10822,G,898,0.0829791166143042
train,10822,G#,895,0.08270190352984662
valid,2318,A,187,0.08067299396031062
valid,2318,A#,203,0.08757549611734254
valid,2318,B,197,0.08498705780845557
valid,2318,C,186,0.08024158757549613
valid,2318,C#,203,0.08757549611734254
valid,2318,D,211,0.0910267471958585
valid,2318,D#,202,0.08714408973252805
valid,2318,E,179,0.07722174288179465
valid,2318,F,207,0.08930112165660052
valid,2318,F#,186,0.08024158757549613
valid,2318,G,165,0.07118205349439172
valid,2318,G#,192,0.0828300258843831
