set_type,set_type_count,midi_program_name,count,proportion
test,5961,Acoustic Bass,83,0.01392383828216742
test,5961,Acoustic Grand Piano,64,0.01073645361516524
test,5961,Acoustic Nylon Guitar,61,0.010233182351954369
test,5961,Acoustic Steel Guitar,65,0.010904210702902198
test,5961,Alto Sax,66,0.011071967790639153
test,5961,Bagpipe,67,0.011239724878376111
test,5961,Banjo,67,0.011239724878376111
test,5961,Baritone Sax,53,0.008891125650058715
test,5961,Bass Lead,56,0.009394396913269584
test,5961,Bassoon,54,0.00905888273779567
test,5961,Bottle Blow,56,0.009394396913269584
test,5961,Bowed Pad,68,0.011407481966113067
test,5961,Brass Section,56,0.009394396913269584
test,5961,Bright Acoustic Piano,58,0.0097299110887435
test,5961,Calliope Lead,62,0.010400939439691326
test,5961,Cello,70,0.01174299614158698
test,5961,Charang Lead,79,0.013252809931219594
test,5961,Chiff Lead,61,0.010233182351954369
test,5961,"Choir ""Aah""",89,0.014930380808589161
test,5961,"Choir ""Ooh""",69,0.011575239053850024
test,5961,Choir Pad,62,0.010400939439691326
test,5961,Chorused Piano,69,0.011575239053850024
test,5961,Church Organ,65,0.010904210702902198
test,5961,Clarinet,64,0.01073645361516524
test,5961,Clavinet,57,0.009562154001006542
test,5961,Contrabass,57,0.009562154001006542
test,5961,Distortion Guitar,65,0.010904210702902198
test,5961,Dulcimer,63,0.010568696527428282
test,5961,Electric Clean Guitar,55,0.009226639825532628
test,5961,Electric Grand Piano,62,0.010400939439691326
test,5961,Electric Jazz Guitar,56,0.009394396913269584
test,5961,Electric Muted Guitar,64,0.01073645361516524
test,5961,English Horn,62,0.010400939439691326
test,5961,Fiddle,56,0.009394396913269584
test,5961,Fingered Electric Bass,67,0.011239724878376111
test,5961,Flute,70,0.01174299614158698
test,5961,French Horn,59,0.009897668176480455
test,5961,Fretless Bass,83,0.01392383828216742
test,5961,Halo Pad,63,0.010568696527428282
test,5961,Hammond Organ,70,0.01174299614158698
test,5961,Harpsichord,78,0.013085052843482636
test,5961,Honky-tonk Piano,50,0.008387854386847844
test,5961,Kalimba,52,0.008723368562321757
test,5961,Koto,54,0.00905888273779567
test,5961,Marimba,77,0.01291729575574568
test,5961,Metallic Pad,75,0.012581781580271765
test,5961,Music Box,54,0.00905888273779567
test,5961,Muted Trumpet,76,0.012749538668008722
test,5961,New Age Pad,71,0.011910753229323938
test,5961,Oboe,69,0.011575239053850024
test,5961,Ocarina,62,0.010400939439691326
test,5961,Orchestral Harp,59,0.009897668176480455
test,5961,Overdriven Guitar,70,0.01174299614158698
