fold,fold_count,chord_progression,count,proportion
1,1049,"aeolian-(1, 2, 5, 1)",56,0.053384175405147755
1,1049,"aeolian-(1, 3, 4, 1)",55,0.052430886558627265
1,1049,"aeolian-(1, 4, 5, 1)",55,0.052430886558627265
1,1049,"aeolian-(1, 6, 3, 7)",55,0.052430886558627265
1,1049,"aeolian-(1, 6, 7, 1)",55,0.052430886558627265
1,1049,"aeolian-(1, 6, 7, 3)",56,0.053384175405147755
1,1049,"aeolian-(1, 7, 6, 4)",55,0.052430886558627265
1,1049,"aeolian-(4, 7, 1, 1)",55,0.052430886558627265
1,1049,"aeolian-(7, 6, 7, 1)",55,0.052430886558627265
1,1049,"ionian-(1, 4, 5, 1)",56,0.053384175405147755
1,1049,"ionian-(1, 4, 6, 5)",55,0.052430886558627265
1,1049,"ionian-(1, 5, 6, 4)",55,0.052430886558627265
1,1049,"ionian-(1, 6, 4, 5)",55,0.052430886558627265
1,1049,"ionian-(2, 5, 1, 6)",55,0.052430886558627265
1,1049,"ionian-(4, 1, 5, 6)",56,0.053384175405147755
1,1049,"ionian-(4, 5, 3, 6)",55,0.052430886558627265
1,1049,"ionian-(5, 4, 1, 5)",55,0.052430886558627265
1,1049,"ionian-(5, 6, 4, 1)",55,0.052430886558627265
1,1049,"ionian-(6, 4, 1, 5)",55,0.052430886558627265
2,1049,"aeolian-(1, 2, 5, 1)",56,0.053384175405147755
2,1049,"aeolian-(1, 3, 4, 1)",55,0.052430886558627265
2,1049,"aeolian-(1, 4, 5, 1)",55,0.052430886558627265
2,1049,"aeolian-(1, 6, 3, 7)",55,0.052430886558627265
2,1049,"aeolian-(1, 6, 7, 1)",55,0.052430886558627265
2,1049,"aeolian-(1, 6, 7, 3)",56,0.053384175405147755
2,1049,"aeolian-(1, 7, 6, 4)",55,0.052430886558627265
2,1049,"aeolian-(4, 7, 1, 1)",55,0.052430886558627265
2,1049,"aeolian-(7, 6, 7, 1)",55,0.052430886558627265
2,1049,"ionian-(1, 4, 5, 1)",56,0.053384175405147755
2,1049,"ionian-(1, 4, 6, 5)",55,0.052430886558627265
2,1049,"ionian-(1, 5, 6, 4)",55,0.052430886558627265
2,1049,"ionian-(1, 6, 4, 5)",55,0.052430886558627265
2,1049,"ionian-(2, 5, 1, 6)",55,0.052430886558627265
2,1049,"ionian-(4, 1, 5, 6)",56,0.053384175405147755
2,1049,"ionian-(4, 5, 3, 6)",55,0.052430886558627265
2,1049,"ionian-(5, 4, 1, 5)",55,0.052430886558627265
2,1049,"ionian-(5, 6, 4, 1)",55,0.052430886558627265
2,1049,"ionian-(6, 4, 1, 5)",55,0.052430886558627265
3,1049,"aeolian-(1, 2, 5, 1)",56,0.053384175405147755
3,1049,"aeolian-(1, 3, 4, 1)",55,0.052430886558627265
3,1049,"aeolian-(1, 4, 5, 1)",55,0.052430886558627265
3,1049,"aeolian-(1, 6, 3, 7)",55,0.052430886558627265
3,1049,"aeolian-(1, 6, 7, 1)",55,0.052430886558627265
3,1049,"aeolian-(1, 6, 7, 3)",56,0.053384175405147755
3,1049,"aeolian-(1, 7, 6, 4)",55,0.052430886558627265
3,1049,"aeolian-(4, 7, 1, 1)",55,0.052430886558627265
3,1049,"aeolian-(7, 6, 7, 1)",55,0.052430886558627265
3,1049,"ionian-(1, 4, 5, 1)",56,0.053384175405147755
3,1049,"ionian-(1, 4, 6, 5)",55,0.052430886558627265
3,1049,"ionian-(1, 5, 6, 4)",55,0.052430886558627265
3,1049,"ionian-(1, 6, 4, 5)",55,0.052430886558627265
3,1049,"ionian-(2, 5, 1, 6)",55,0.052430886558627265
3,1049,"ionian-(4, 1, 5, 6)",56,0.053384175405147755
3,1049,"ionian-(4, 5, 3, 6)",55,0.052430886558627265
3,1049,"ionian-(5, 4, 1, 5)",55,0.052430886558627265
3,1049,"ionian-(5, 6, 4, 1)",55,0.052430886558627265
3,1049,"ionian-(6, 4, 1, 5)",55,0.052430886558627265
4,1049,"aeolian-(1, 2, 5, 1)",56,0.053384175405147755
4,1049,"aeolian-(1, 3, 4, 1)",55,0.052430886558627265
4,1049,"aeolian-(1, 4, 5, 1)",55,0.052430886558627265
4,1049,"aeolian-(1, 6, 3, 7)",55,0.052430886558627265
