set_type,set_type_count,midi_program_num,count,proportion
test,3144,0,34,0.010814249363867686
test,3144,1,35,0.0111323155216285
test,3144,2,45,0.014312977099236643
test,3144,3,36,0.011450381679389315
test,3144,4,35,0.0111323155216285
test,3144,5,39,0.012404580152671757
test,3144,6,37,0.011768447837150128
test,3144,7,38,0.012086513994910942
test,3144,10,19,0.006043256997455471
test,3144,11,25,0.007951653944020356
test,3144,12,38,0.012086513994910942
test,3144,13,29,0.009223918575063614
test,3144,15,25,0.007951653944020356
test,3144,16,30,0.009541984732824428
test,3144,17,48,0.015267175572519085
test,3144,18,39,0.012404580152671757
test,3144,19,31,0.009860050890585243
test,3144,20,32,0.010178117048346057
test,3144,24,33,0.01049618320610687
test,3144,25,39,0.012404580152671757
test,3144,26,29,0.009223918575063614
test,3144,27,34,0.010814249363867686
test,3144,28,30,0.009541984732824428
test,3144,29,42,0.0133587786259542
test,3144,30,41,0.013040712468193385
test,3144,32,37,0.011768447837150128
test,3144,33,35,0.0111323155216285
test,3144,34,29,0.009223918575063614
test,3144,35,31,0.009860050890585243
test,3144,36,30,0.009541984732824428
test,3144,37,40,0.012722646310432571
test,3144,38,28,0.008905852417302799
test,3144,39,29,0.009223918575063614
test,3144,40,38,0.012086513994910942
test,3144,41,31,0.009860050890585243
test,3144,42,37,0.011768447837150128
test,3144,43,50,0.015903307888040712
test,3144,44,31,0.009860050890585243
test,3144,45,33,0.01049618320610687
test,3144,46,28,0.008905852417302799
test,3144,48,31,0.009860050890585243
test,3144,49,35,0.0111323155216285
test,3144,50,37,0.011768447837150128
test,3144,51,33,0.01049618320610687
test,3144,52,27,0.008587786259541985
test,3144,53,33,0.01049618320610687
test,3144,54,45,0.014312977099236643
test,3144,56,30,0.009541984732824428
test,3144,57,40,0.012722646310432571
test,3144,58,30,0.009541984732824428
test,3144,59,29,0.009223918575063614
test,3144,60,36,0.011450381679389315
test,3144,61,32,0.010178117048346057
test,3144,62,38,0.012086513994910942
test,3144,63,32,0.010178117048346057
test,3144,64,32,0.010178117048346057
test,3144,65,28,0.008905852417302799
test,3144,66,40,0.012722646310432571
test,3144,67,34,0.010814249363867686
test,3144,68,28,0.008905852417302799
test,3144,69,32,0.010178117048346057
test,3144,70,29,0.009223918575063614
test,3144,71,32,0.010178117048346057
test,3144,72,30,0.009541984732824428
test,3144,73,30,0.009541984732824428
test,3144,74,33,0.01049618320610687
test,3144,75,32,0.010178117048346057
test,3144,76,36,0.011450381679389315
test,3144,79,40,0.012722646310432571
test,3144,80,31,0.009860050890585243
test,3144,81,43,0.013676844783715014
test,3144,82,32,0.010178117048346057
test,3144,83,33,0.01049618320610687
test,3144,84,42,0.0133587786259542
test,3144,85,34,0.010814249363867686
test,3144,87,31,0.009860050890585243
test,3144,88,35,0.0111323155216285
test,3144,89,44,0.013994910941475827
test,3144,90,28,0.008905852417302799
test,3144,91,37,0.011768447837150128
test,3144,92,35,0.0111323155216285
test,3144,93,28,0.008905852417302799
test,3144,94,28,0.008905852417302799
test,3144,95,40,0.012722646310432571
test,3144,104,35,0.0111323155216285
test,3144,105,34,0.010814249363867686
test,3144,106,36,0.011450381679389315
test,3144,107,32,0.010178117048346057
test,3144,108,48,0.015267175572519085
test,3144,109,37,0.011768447837150128
test,3144,110,38,0.012086513994910942
test,3144,111,29,0.009223918575063614
train,14686,0,155,0.010554269372191201
train,14686,1,163,0.011099005855917199
train,14686,2,155,0.010554269372191201
train,14686,3,158,0.01075854555358845
train,14686,4,159,0.0108266376140542
train,14686,5,154,0.010486177311725452
