fold,fold_count,interval_idx,count,proportion
1,1988,0,166,0.08350100603621731
1,1988,1,166,0.08350100603621731
1,1988,2,165,0.0829979879275654
1,1988,3,166,0.08350100603621731
1,1988,4,165,0.0829979879275654
1,1988,5,166,0.08350100603621731
1,1988,6,166,0.08350100603621731
1,1988,7,165,0.0829979879275654
1,1988,8,166,0.08350100603621731
1,1988,9,165,0.0829979879275654
1,1988,10,166,0.08350100603621731
1,1988,11,166,0.08350100603621731
2,1988,0,166,0.08350100603621731
2,1988,1,166,0.08350100603621731
2,1988,2,165,0.0829979879275654
2,1988,3,166,0.08350100603621731
2,1988,4,165,0.0829979879275654
2,1988,5,166,0.08350100603621731
2,1988,6,166,0.08350100603621731
2,1988,7,165,0.0829979879275654
2,1988,8,166,0.08350100603621731
2,1988,9,165,0.0829979879275654
2,1988,10,166,0.08350100603621731
2,1988,11,166,0.08350100603621731
3,1988,0,166,0.08350100603621731
3,1988,1,166,0.08350100603621731
3,1988,2,165,0.0829979879275654
3,1988,3,166,0.08350100603621731
3,1988,4,165,0.0829979879275654
3,1988,5,166,0.08350100603621731
3,1988,6,166,0.08350100603621731
3,1988,7,165,0.0829979879275654
3,1988,8,166,0.08350100603621731
3,1988,9,165,0.0829979879275654
3,1988,10,166,0.08350100603621731
3,1988,11,166,0.08350100603621731
4,1988,0,166,0.08350100603621731
4,1988,1,166,0.08350100603621731
4,1988,2,165,0.0829979879275654
4,1988,3,166,0.08350100603621731
4,1988,4,165,0.0829979879275654
4,1988,5,166,0.08350100603621731
4,1988,6,166,0.08350100603621731
4,1988,7,165,0.0829979879275654
4,1988,8,166,0.08350100603621731
4,1988,9,165,0.0829979879275654
4,1988,10,166,0.08350100603621731
4,1988,11,166,0.08350100603621731
5,1987,0,166,0.08354302969300453
5,1987,1,165,0.08303975842979365
5,1987,2,166,0.08354302969300453
5,1987,3,166,0.08354302969300453
5,1987,4,165,0.08303975842979365
5,1987,5,166,0.08354302969300453
5,1987,6,165,0.08303975842979365
5,1987,7,166,0.08354302969300453
5,1987,8,166,0.08354302969300453
5,1987,9,165,0.08303975842979365
5,1987,10,166,0.08354302969300453
5,1987,11,165,0.08303975842979365
6,1987,0,166,0.08354302969300453
6,1987,1,165,0.08303975842979365
6,1987,2,166,0.08354302969300453
6,1987,3,166,0.08354302969300453
6,1987,4,165,0.08303975842979365
6,1987,5,166,0.08354302969300453
6,1987,6,165,0.08303975842979365
6,1987,7,166,0.08354302969300453
6,1987,8,166,0.08354302969300453
6,1987,9,165,0.08303975842979365
6,1987,10,166,0.08354302969300453
6,1987,11,165,0.08303975842979365
7,1987,0,166,0.08354302969300453
7,1987,1,165,0.08303975842979365
7,1987,2,166,0.08354302969300453
7,1987,3,166,0.08354302969300453
7,1987,4,165,0.08303975842979365
7,1987,5,166,0.08354302969300453
7,1987,6,165,0.08303975842979365
7,1987,7,166,0.08354302969300453
7,1987,8,166,0.08354302969300453
7,1987,9,165,0.08303975842979365
7,1987,10,166,0.08354302969300453
7,1987,11,165,0.08303975842979365
8,1987,0,166,0.08354302969300453
8,1987,1,165,0.08303975842979365
8,1987,2,166,0.08354302969300453
8,1987,3,166,0.08354302969300453
8,1987,4,165,0.08303975842979365
8,1987,5,166,0.08354302969300453
8,1987,6,165,0.08303975842979365
8,1987,7,166,0.08354302969300453
8,1987,8,166,0.08354302969300453
8,1987,9,165,0.08303975842979365
8,1987,10,166,0.08354302969300453
8,1987,11,165,0.08303975842979365
9,1987,0,166,0.08354302969300453
9,1987,1,165,0.08303975842979365
9,1987,2,166,0.08354302969300453
9,1987,3,165,0.08303975842979365
9,1987,4,166,0.08354302969300453
9,1987,5,166,0.08354302969300453
9,1987,6,165,0.08303975842979365
9,1987,7,166,0.08354302969300453
9,1987,8,165,0.08303975842979365
9,1987,9,166,0.08354302969300453
9,1987,10,166,0.08354302969300453
9,1987,11,165,0.08303975842979365
10,1987,0,166,0.08354302969300453
10,1987,1,165,0.08303975842979365
10,1987,2,166,0.08354302969300453
10,1987,3,165,0.08303975842979365
10,1987,4,166,0.08354302969300453
10,1987,5,166,0.08354302969300453
10,1987,6,165,0.08303975842979365
10,1987,7,166,0.08354302969300453
10,1987,8,165,0.08303975842979365
10,1987,9,166,0.08354302969300453
10,1987,10,166,0.08354302969300453
10,1987,11,165,0.08303975842979365
11,1987,0,166,0.08354302969300453
11,1987,1,165,0.08303975842979365
11,1987,2,166,0.08354302969300453
11,1987,3,165,0.08303975842979365
11,1987,4,166,0.08354302969300453
11,1987,5,166,0.08354302969300453
11,1987,6,165,0.08303975842979365
11,1987,7,166,0.08354302969300453
11,1987,8,165,0.08303975842979365
11,1987,9,166,0.08354302969300453
11,1987,10,166,0.08354302969300453
11,1987,11,165,0.08303975842979365
12,1987,0,166,0.08354302969300453
12,1987,1,165,0.08303975842979365
12,1987,2,166,0.08354302969300453
12,1987,3,165,0.08303975842979365
12,1987,4,166,0.08354302969300453
12,1987,5,166,0.08354302969300453
12,1987,6,165,0.08303975842979365
12,1987,7,166,0.08354302969300453
12,1987,8,165,0.08303975842979365
12,1987,9,166,0.08354302969300453
12,1987,10,166,0.08354302969300453
12,1987,11,165,0.08303975842979365
13,1987,0,165,0.08303975842979365
13,1987,1,166,0.08354302969300453
13,1987,2,166,0.08354302969300453
13,1987,3,165,0.08303975842979365
