set_type,set_type_count,mode_idx,count,proportion
test,2316,0,330,0.14248704663212436
test,2316,1,330,0.14248704663212436
test,2316,2,333,0.1437823834196891
test,2316,3,330,0.14248704663212436
test,2316,4,333,0.1437823834196891
test,2316,5,330,0.14248704663212436
test,2316,6,330,0.14248704663212436
train,10822,0,1548,0.1430419515801146
train,10822,1,1546,0.14285714285714285
train,10822,2,1544,0.14267233413417113
train,10822,3,1548,0.1430419515801146
train,10822,4,1542,0.1424875254111994
train,10822,5,1548,0.1430419515801146
train,10822,6,1546,0.14285714285714285
valid,2318,0,330,0.14236410698878343
valid,2318,1,332,0.14322691975841242
valid,2318,2,331,0.14279551337359794
valid,2318,3,330,0.14236410698878343
valid,2318,4,333,0.14365832614322693
valid,2318,5,330,0.14236410698878343
valid,2318,6,332,0.14322691975841242
