fold,fold_count,path,count,proportion
1,1049,A#_aeolian_1-2-5-1_54_Synth_Voice.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-2-5-1_61_Brass_Section.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-2-5-1_74_Recorder.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-2-5-1_7_Clavinet.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-2-5-1_94_Halo_Pad.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-3-4-1_105_Banjo.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-3-4-1_16_Hammond_Organ.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-3-4-1_1_Bright_Acoustic_Piano.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-3-4-1_38_Synth_Bass_1.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-3-4-1_45_Pizzicato_Strings.wav,1,0.0009532888465204957
1,1049,"A#_aeolian_1-3-4-1_53_Choir_""Ooh"".wav",1,0.0009532888465204957
1,1049,A#_aeolian_1-3-4-1_75_Pan_Flute.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-3-4-1_80_Square_Wave_Lead.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-3-4-1_82_Calliope_Lead.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-4-5-1_16_Hammond_Organ.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-4-5-1_4_Rhodes_Piano.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-4-5-1_91_Choir_Pad.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-6-3-7_104_Sitar.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-6-3-7_15_Dulcimer.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-6-3-7_20_Reed_Organ.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-6-3-7_27_Electric_Clean_Guitar.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-6-3-7_30_Distortion_Guitar.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-6-7-1_43_Contrabass.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-6-7-1_59_Muted_Trumpet.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-6-7-1_68_Oboe.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-6-7-1_73_Flute.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-6-7-1_90_Polysynth_Pad.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-6-7-3_38_Synth_Bass_1.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-6-7-3_51_Synth_Strings_2.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-6-7-3_56_Trumpet.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-6-7-3_5_Chorused_Piano.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-6-7-3_89_Warm_Pad.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-7-6-4_24_Acoustic_Nylon_Guitar.wav,1,0.0009532888465204957
1,1049,"A#_aeolian_1-7-6-4_52_Choir_""Aah"".wav",1,0.0009532888465204957
1,1049,A#_aeolian_1-7-6-4_61_Brass_Section.wav,1,0.0009532888465204957
1,1049,A#_aeolian_1-7-6-4_90_Polysynth_Pad.wav,1,0.0009532888465204957
1,1049,A#_aeolian_4-7-1-1_13_Xylophone.wav,1,0.0009532888465204957
1,1049,A#_aeolian_4-7-1-1_15_Dulcimer.wav,1,0.0009532888465204957
