fold,fold_count,time_signature_beats,count,proportion
1,60,2,15,0.25
1,60,3,15,0.25
1,60,4,8,0.13333333333333333
1,60,6,7,0.11666666666666667
1,60,9,8,0.13333333333333333
1,60,12,7,0.11666666666666667
2,60,2,15,0.25
2,60,3,15,0.25
2,60,4,8,0.13333333333333333
2,60,6,7,0.11666666666666667
2,60,9,8,0.13333333333333333
2,60,12,7,0.11666666666666667
3,60,2,15,0.25
3,60,3,15,0.25
3,60,4,8,0.13333333333333333
3,60,6,7,0.11666666666666667
3,60,9,8,0.13333333333333333
3,60,12,7,0.11666666666666667
4,60,2,15,0.25
4,60,3,15,0.25
4,60,4,8,0.13333333333333333
4,60,6,7,0.11666666666666667
4,60,9,8,0.13333333333333333
4,60,12,7,0.11666666666666667
5,60,2,15,0.25
5,60,3,15,0.25
5,60,4,8,0.13333333333333333
5,60,6,7,0.11666666666666667
5,60,9,8,0.13333333333333333
5,60,12,7,0.11666666666666667
6,60,2,15,0.25
6,60,3,15,0.25
6,60,4,8,0.13333333333333333
6,60,6,7,0.11666666666666667
6,60,9,8,0.13333333333333333
6,60,12,7,0.11666666666666667
7,60,2,15,0.25
7,60,3,15,0.25
7,60,4,8,0.13333333333333333
7,60,6,7,0.11666666666666667
7,60,9,8,0.13333333333333333
7,60,12,7,0.11666666666666667
8,60,2,15,0.25
8,60,3,15,0.25
8,60,4,8,0.13333333333333333
8,60,6,7,0.11666666666666667
8,60,9,8,0.13333333333333333
8,60,12,7,0.11666666666666667
9,60,2,15,0.25
9,60,3,15,0.25
9,60,4,8,0.13333333333333333
9,60,6,7,0.11666666666666667
9,60,9,8,0.13333333333333333
9,60,12,7,0.11666666666666667
10,60,2,15,0.25
10,60,3,15,0.25
10,60,4,8,0.13333333333333333
10,60,6,7,0.11666666666666667
10,60,9,8,0.13333333333333333
10,60,12,7,0.11666666666666667
11,60,2,15,0.25
11,60,3,15,0.25
11,60,4,7,0.11666666666666667
11,60,6,8,0.13333333333333333
11,60,9,7,0.11666666666666667
11,60,12,8,0.13333333333333333
12,60,2,15,0.25
12,60,3,15,0.25
12,60,4,7,0.11666666666666667
12,60,6,8,0.13333333333333333
12,60,9,7,0.11666666666666667
12,60,12,8,0.13333333333333333
13,60,2,15,0.25
13,60,3,15,0.25
13,60,4,7,0.11666666666666667
13,60,6,8,0.13333333333333333
13,60,9,7,0.11666666666666667
13,60,12,8,0.13333333333333333
14,60,2,15,0.25
14,60,3,15,0.25
14,60,4,7,0.11666666666666667
14,60,6,8,0.13333333333333333
14,60,9,7,0.11666666666666667
14,60,12,8,0.13333333333333333
15,60,2,15,0.25
15,60,3,15,0.25
15,60,4,7,0.11666666666666667
15,60,6,8,0.13333333333333333
15,60,9,7,0.11666666666666667
15,60,12,8,0.13333333333333333
16,60,2,15,0.25
16,60,3,15,0.25
16,60,4,7,0.11666666666666667
16,60,6,8,0.13333333333333333
16,60,9,7,0.11666666666666667
16,60,12,8,0.13333333333333333
17,60,2,15,0.25
17,60,3,15,0.25
17,60,4,7,0.11666666666666667
17,60,6,8,0.13333333333333333
17,60,9,7,0.11666666666666667
17,60,12,8,0.13333333333333333
18,60,2,15,0.25
18,60,3,15,0.25
18,60,4,7,0.11666666666666667
18,60,6,8,0.13333333333333333
18,60,9,7,0.11666666666666667
18,60,12,8,0.13333333333333333
19,60,2,15,0.25
19,60,3,15,0.25
19,60,4,7,0.11666666666666667
19,60,6,8,0.13333333333333333
19,60,9,7,0.11666666666666667
19,60,12,8,0.13333333333333333
20,60,2,15,0.25
20,60,3,15,0.25
20,60,4,7,0.11666666666666667
20,60,6,8,0.13333333333333333
20,60,9,7,0.11666666666666667
20,60,12,8,0.13333333333333333
