set_type,set_type_count,norm_bpm,count,proportion
test,603,0.0,12,0.01990049751243781
test,603,0.00625,12,0.01990049751243781
test,603,0.0125,12,0.01990049751243781
test,603,0.01875,13,0.02155887230514096
test,603,0.025,13,0.02155887230514096
test,603,0.03125,13,0.02155887230514096
test,603,0.0375,12,0.01990049751243781
test,603,0.04375,12,0.01990049751243781
test,603,0.05,12,0.01990049751243781
test,603,0.05625,13,0.02155887230514096
test,603,0.0625,13,0.02155887230514096
test,603,0.06875,13,0.02155887230514096
test,603,0.075,12,0.01990049751243781
test,603,0.08125,12,0.01990049751243781
test,603,0.0875,12,0.01990049751243781
test,603,0.09375,13,0.02155887230514096
test,603,0.1,13,0.02155887230514096
test,603,0.10625,13,0.02155887230514096
test,603,0.1125,12,0.01990049751243781
test,603,0.11875,12,0.01990049751243781
test,603,0.125,12,0.01990049751243781
test,603,0.13125,13,0.02155887230514096
test,603,0.1375,13,0.02155887230514096
test,603,0.14375,13,0.02155887230514096
test,603,0.85,3,0.004975124378109453
test,603,0.85625,12,0.01990049751243781
test,603,0.8625,12,0.01990049751243781
test,603,0.86875,13,0.02155887230514096
test,603,0.875,13,0.02155887230514096
test,603,0.88125,13,0.02155887230514096
test,603,0.8875,12,0.01990049751243781
test,603,0.89375,12,0.01990049751243781
test,603,0.9,12,0.01990049751243781
test,603,0.90625,13,0.02155887230514096
test,603,0.9125,13,0.02155887230514096
test,603,0.91875,13,0.02155887230514096
test,603,0.925,12,0.01990049751243781
test,603,0.93125,12,0.01990049751243781
test,603,0.9375,12,0.01990049751243781
test,603,0.94375,13,0.02155887230514096
test,603,0.95,13,0.02155887230514096
test,603,0.95625,13,0.02155887230514096
test,603,0.9625,12,0.01990049751243781
test,603,0.96875,12,0.01990049751243781
test,603,0.975,12,0.01990049751243781
test,603,0.98125,13,0.02155887230514096
test,603,0.9875,13,0.02155887230514096
test,603,0.99375,13,0.02155887230514096
test,603,1.0,12,0.01990049751243781
train,2818,0.15,22,0.0078069552874379
train,2818,0.15625,25,0.008871540099361249
train,2818,0.1625,25,0.008871540099361249
train,2818,0.16875,25,0.008871540099361249
train,2818,0.175,25,0.008871540099361249
train,2818,0.18125,25,0.008871540099361249
train,2818,0.1875,25,0.008871540099361249
train,2818,0.19375,25,0.008871540099361249
train,2818,0.2,25,0.008871540099361249
train,2818,0.20625,25,0.008871540099361249
train,2818,0.2125,25,0.008871540099361249
train,2818,0.21875,25,0.008871540099361249
train,2818,0.225,25,0.008871540099361249
train,2818,0.23125,25,0.008871540099361249
train,2818,0.2375,25,0.008871540099361249
train,2818,0.24375,25,0.008871540099361249
train,2818,0.25,25,0.008871540099361249
train,2818,0.25625,25,0.008871540099361249
train,2818,0.2625,25,0.008871540099361249
train,2818,0.26875,25,0.008871540099361249
train,2818,0.275,25,0.008871540099361249
train,2818,0.28125,25,0.008871540099361249
train,2818,0.2875,25,0.008871540099361249
train,2818,0.29375,25,0.008871540099361249
train,2818,0.3,25,0.008871540099361249
train,2818,0.30625,25,0.008871540099361249
train,2818,0.3125,25,0.008871540099361249
train,2818,0.31875,25,0.008871540099361249
train,2818,0.325,25,0.008871540099361249
train,2818,0.33125,25,0.008871540099361249
train,2818,0.3375,25,0.008871540099361249
train,2818,0.34375,25,0.008871540099361249
train,2818,0.35,25,0.008871540099361249
train,2818,0.35625,25,0.008871540099361249
train,2818,0.3625,25,0.008871540099361249
train,2818,0.36875,25,0.008871540099361249
train,2818,0.375,25,0.008871540099361249
train,2818,0.38125,25,0.008871540099361249
train,2818,0.3875,25,0.008871540099361249
train,2818,0.39375,25,0.008871540099361249
train,2818,0.4,25,0.008871540099361249
train,2818,0.40625,25,0.008871540099361249
train,2818,0.4125,25,0.008871540099361249
train,2818,0.41875,25,0.008871540099361249
train,2818,0.425,25,0.008871540099361249
train,2818,0.43125,25,0.008871540099361249
train,2818,0.4375,25,0.008871540099361249
train,2818,0.44375,25,0.008871540099361249
train,2818,0.45,25,0.008871540099361249
train,2818,0.45625,25,0.008871540099361249
train,2818,0.4625,25,0.008871540099361249
train,2818,0.46875,25,0.008871540099361249
train,2818,0.475,25,0.008871540099361249
train,2818,0.48125,25,0.008871540099361249
train,2818,0.4875,25,0.008871540099361249
train,2818,0.49375,25,0.008871540099361249
train,2818,0.5,25,0.008871540099361249
train,2818,0.50625,25,0.008871540099361249
train,2818,0.5125,25,0.008871540099361249
train,2818,0.51875,25,0.008871540099361249
train,2818,0.525,25,0.008871540099361249
train,2818,0.53125,25,0.008871540099361249
train,2818,0.5375,25,0.008871540099361249
train,2818,0.54375,25,0.008871540099361249
train,2818,0.55,25,0.008871540099361249
train,2818,0.55625,25,0.008871540099361249
train,2818,0.5625,25,0.008871540099361249
train,2818,0.56875,25,0.008871540099361249
train,2818,0.575,25,0.008871540099361249
train,2818,0.58125,25,0.008871540099361249
train,2818,0.5875,25,0.008871540099361249
train,2818,0.59375,25,0.008871540099361249
train,2818,0.6,25,0.008871540099361249
train,2818,0.60625,25,0.008871540099361249
train,2818,0.6125,25,0.008871540099361249
train,2818,0.61875,25,0.008871540099361249
train,2818,0.625,25,0.008871540099361249
train,2818,0.63125,25,0.008871540099361249
train,2818,0.6375,25,0.008871540099361249
train,2818,0.64375,25,0.008871540099361249
train,2818,0.65,25,0.008871540099361249
train,2818,0.65625,25,0.008871540099361249
train,2818,0.6625,25,0.008871540099361249
train,2818,0.66875,25,0.008871540099361249
train,2818,0.675,25,0.008871540099361249
train,2818,0.68125,25,0.008871540099361249
train,2818,0.6875,25,0.008871540099361249
train,2818,0.69375,25,0.008871540099361249
train,2818,0.7,25,0.008871540099361249
train,2818,0.70625,25,0.008871540099361249
train,2818,0.7125,25,0.008871540099361249
train,2818,0.71875,25,0.008871540099361249
train,2818,0.725,25,0.008871540099361249
train,2818,0.73125,25,0.008871540099361249
train,2818,0.7375,25,0.008871540099361249
train,2818,0.74375,25,0.008871540099361249
train,2818,0.75,25,0.008871540099361249
train,2818,0.75625,25,0.008871540099361249
train,2818,0.7625,25,0.008871540099361249
train,2818,0.76875,25,0.008871540099361249
train,2818,0.775,25,0.008871540099361249
train,2818,0.78125,25,0.008871540099361249
train,2818,0.7875,25,0.008871540099361249
train,2818,0.79375,25,0.008871540099361249
train,2818,0.8,25,0.008871540099361249
