set_type,set_type_count,root_note_name,count,proportion
test,1488,A,126,0.08467741935483872
test,1488,A#,123,0.08266129032258066
test,1488,B,123,0.08266129032258066
test,1488,C,123,0.08266129032258066
test,1488,C#,123,0.08266129032258066
test,1488,D,126,0.08467741935483872
test,1488,D#,123,0.08266129032258066
test,1488,E,126,0.08467741935483872
test,1488,F,123,0.08266129032258066
test,1488,F#,123,0.08266129032258066
test,1488,G,126,0.08467741935483872
test,1488,G#,123,0.08266129032258066
train,6958,A,576,0.08278240873814315
train,6958,A#,582,0.08364472549583213
train,6958,B,580,0.08335728657660246
train,6958,C,582,0.08364472549583213
train,6958,C#,580,0.08335728657660246
train,6958,D,578,0.0830698476573728
train,6958,D#,582,0.08364472549583213
train,6958,E,576,0.08278240873814315
train,6958,F,582,0.08364472549583213
train,6958,F#,580,0.08335728657660246
train,6958,G,578,0.0830698476573728
train,6958,G#,582,0.08364472549583213
valid,1490,A,126,0.08456375838926174
valid,1490,A#,123,0.0825503355704698
valid,1490,B,125,0.08389261744966442
valid,1490,C,123,0.0825503355704698
valid,1490,C#,125,0.08389261744966442
valid,1490,D,124,0.08322147651006712
valid,1490,D#,123,0.0825503355704698
valid,1490,E,126,0.08456375838926174
valid,1490,F,123,0.0825503355704698
valid,1490,F#,125,0.08389261744966442
valid,1490,G,124,0.08322147651006712
valid,1490,G#,123,0.0825503355704698
