fold,fold_count,root_note_name,count,proportion
1,497,A,41,0.0824949698189135
1,497,A#,42,0.08450704225352114
1,497,B,41,0.0824949698189135
1,497,C,42,0.08450704225352114
1,497,C#,41,0.0824949698189135
1,497,D,42,0.08450704225352114
1,497,D#,41,0.0824949698189135
1,497,E,41,0.0824949698189135
1,497,F,42,0.08450704225352114
1,497,F#,41,0.0824949698189135
1,497,G,42,0.08450704225352114
1,497,G#,41,0.0824949698189135
2,497,A,41,0.0824949698189135
2,497,A#,42,0.08450704225352114
2,497,B,41,0.0824949698189135
2,497,C,42,0.08450704225352114
2,497,C#,41,0.0824949698189135
2,497,D,42,0.08450704225352114
2,497,D#,41,0.0824949698189135
2,497,E,41,0.0824949698189135
2,497,F,42,0.08450704225352114
2,497,F#,41,0.0824949698189135
2,497,G,42,0.08450704225352114
2,497,G#,41,0.0824949698189135
3,497,A,41,0.0824949698189135
3,497,A#,42,0.08450704225352114
3,497,B,41,0.0824949698189135
3,497,C,42,0.08450704225352114
3,497,C#,41,0.0824949698189135
3,497,D,42,0.08450704225352114
3,497,D#,41,0.0824949698189135
3,497,E,41,0.0824949698189135
3,497,F,42,0.08450704225352114
3,497,F#,41,0.0824949698189135
3,497,G,42,0.08450704225352114
3,497,G#,41,0.0824949698189135
4,497,A,41,0.0824949698189135
4,497,A#,42,0.08450704225352114
4,497,B,41,0.0824949698189135
4,497,C,42,0.08450704225352114
4,497,C#,41,0.0824949698189135
4,497,D,42,0.08450704225352114
4,497,D#,41,0.0824949698189135
4,497,E,41,0.0824949698189135
4,497,F,42,0.08450704225352114
4,497,F#,41,0.0824949698189135
4,497,G,42,0.08450704225352114
4,497,G#,41,0.0824949698189135
5,497,A,41,0.0824949698189135
5,497,A#,42,0.08450704225352114
5,497,B,41,0.0824949698189135
5,497,C,42,0.08450704225352114
5,497,C#,41,0.0824949698189135
5,497,D,41,0.0824949698189135
5,497,D#,42,0.08450704225352114
5,497,E,41,0.0824949698189135
5,497,F,42,0.08450704225352114
5,497,F#,41,0.0824949698189135
5,497,G,41,0.0824949698189135
5,497,G#,42,0.08450704225352114
6,497,A,41,0.0824949698189135
6,497,A#,42,0.08450704225352114
6,497,B,41,0.0824949698189135
6,497,C,42,0.08450704225352114
6,497,C#,41,0.0824949698189135
6,497,D,41,0.0824949698189135
6,497,D#,42,0.08450704225352114
6,497,E,41,0.0824949698189135
6,497,F,42,0.08450704225352114
6,497,F#,41,0.0824949698189135
