fold,fold_count,is_major,count,proportion
1,1049,false,497,0.47378455672068637
1,1049,true,552,0.5262154432793136
2,1049,false,497,0.47378455672068637
2,1049,true,552,0.5262154432793136
3,1049,false,497,0.47378455672068637
3,1049,true,552,0.5262154432793136
4,1049,false,497,0.47378455672068637
4,1049,true,552,0.5262154432793136
5,1049,false,497,0.47378455672068637
5,1049,true,552,0.5262154432793136
6,1049,false,497,0.47378455672068637
6,1049,true,552,0.5262154432793136
7,1049,false,497,0.47378455672068637
7,1049,true,552,0.5262154432793136
8,1049,false,497,0.47378455672068637
8,1049,true,552,0.5262154432793136
9,1049,false,497,0.47378455672068637
9,1049,true,552,0.5262154432793136
10,1049,false,497,0.47378455672068637
10,1049,true,552,0.5262154432793136
11,1049,false,497,0.47378455672068637
11,1049,true,552,0.5262154432793136
12,1049,false,497,0.47378455672068637
12,1049,true,552,0.5262154432793136
13,1049,false,497,0.47378455672068637
13,1049,true,552,0.5262154432793136
14,1049,false,497,0.47378455672068637
14,1049,true,552,0.5262154432793136
15,1049,false,497,0.47378455672068637
15,1049,true,552,0.5262154432793136
16,1049,false,497,0.47378455672068637
16,1049,true,552,0.5262154432793136
17,1048,false,496,0.47328244274809156
17,1048,true,552,0.5267175572519084
18,1048,false,496,0.47328244274809156
18,1048,true,552,0.5267175572519084
19,1048,false,496,0.47328244274809156
19,1048,true,552,0.5267175572519084
20,1048,false,496,0.47328244274809156
20,1048,true,552,0.5267175572519084
