fold,fold_count,root_note_pitch_class,count,proportion
1,497,0,42,0.08450704225352114
1,497,1,41,0.0824949698189135
1,497,2,42,0.08450704225352114
1,497,3,41,0.0824949698189135
1,497,4,41,0.0824949698189135
1,497,5,42,0.08450704225352114
1,497,6,41,0.0824949698189135
1,497,7,42,0.08450704225352114
1,497,8,41,0.0824949698189135
1,497,9,41,0.0824949698189135
1,497,10,42,0.08450704225352114
1,497,11,41,0.0824949698189135
2,497,0,42,0.08450704225352114
2,497,1,41,0.0824949698189135
2,497,2,42,0.08450704225352114
2,497,3,41,0.0824949698189135
2,497,4,41,0.0824949698189135
2,497,5,42,0.08450704225352114
2,497,6,41,0.0824949698189135
2,497,7,42,0.08450704225352114
2,497,8,41,0.0824949698189135
2,497,9,41,0.0824949698189135
2,497,10,42,0.08450704225352114
2,497,11,41,0.0824949698189135
3,497,0,42,0.08450704225352114
3,497,1,41,0.0824949698189135
3,497,2,42,0.08450704225352114
3,497,3,41,0.0824949698189135
3,497,4,41,0.0824949698189135
3,497,5,42,0.08450704225352114
3,497,6,41,0.0824949698189135
3,497,7,42,0.08450704225352114
3,497,8,41,0.0824949698189135
3,497,9,41,0.0824949698189135
3,497,10,42,0.08450704225352114
3,497,11,41,0.0824949698189135
4,497,0,42,0.08450704225352114
4,497,1,41,0.0824949698189135
4,497,2,42,0.08450704225352114
4,497,3,41,0.0824949698189135
4,497,4,41,0.0824949698189135
4,497,5,42,0.08450704225352114
4,497,6,41,0.0824949698189135
4,497,7,42,0.08450704225352114
4,497,8,41,0.0824949698189135
4,497,9,41,0.0824949698189135
4,497,10,42,0.08450704225352114
4,497,11,41,0.0824949698189135
5,497,0,42,0.08450704225352114
5,497,1,41,0.0824949698189135
5,497,2,41,0.0824949698189135
5,497,3,42,0.08450704225352114
5,497,4,41,0.0824949698189135
5,497,5,42,0.08450704225352114
5,497,6,41,0.0824949698189135
5,497,7,41,0.0824949698189135
5,497,8,42,0.08450704225352114
5,497,9,41,0.0824949698189135
5,497,10,42,0.08450704225352114
5,497,11,41,0.0824949698189135
6,497,0,42,0.08450704225352114
6,497,1,41,0.0824949698189135
6,497,2,41,0.0824949698189135
6,497,3,42,0.08450704225352114
6,497,4,41,0.0824949698189135
6,497,5,42,0.08450704225352114
6,497,6,41,0.0824949698189135
6,497,7,41,0.0824949698189135
6,497,8,42,0.08450704225352114
6,497,9,41,0.0824949698189135
6,497,10,42,0.08450704225352114
6,497,11,41,0.0824949698189135
7,497,0,42,0.08450704225352114
7,497,1,41,0.0824949698189135
7,497,2,41,0.0824949698189135
7,497,3,42,0.08450704225352114
7,497,4,41,0.0824949698189135
7,497,5,42,0.08450704225352114
7,497,6,41,0.0824949698189135
7,497,7,41,0.0824949698189135
7,497,8,42,0.08450704225352114
7,497,9,41,0.0824949698189135
7,497,10,42,0.08450704225352114
7,497,11,41,0.0824949698189135
8,497,0,42,0.08450704225352114
8,497,1,41,0.0824949698189135
8,497,2,41,0.0824949698189135
8,497,3,42,0.08450704225352114
8,497,4,41,0.0824949698189135
8,497,5,42,0.08450704225352114
8,497,6,41,0.0824949698189135
8,497,7,41,0.0824949698189135
8,497,8,42,0.08450704225352114
8,497,9,41,0.0824949698189135
8,497,10,42,0.08450704225352114
8,497,11,41,0.0824949698189135
9,497,0,41,0.0824949698189135
9,497,1,42,0.08450704225352114
9,497,2,41,0.0824949698189135
9,497,3,42,0.08450704225352114
9,497,4,41,0.0824949698189135
9,497,5,41,0.0824949698189135
9,497,6,42,0.08450704225352114
9,497,7,41,0.0824949698189135
9,497,8,42,0.08450704225352114
9,497,9,41,0.0824949698189135
9,497,10,41,0.0824949698189135
9,497,11,42,0.08450704225352114
10,497,0,41,0.0824949698189135
10,497,1,42,0.08450704225352114
10,497,2,41,0.0824949698189135
10,497,3,42,0.08450704225352114
10,497,4,41,0.0824949698189135
10,497,5,41,0.0824949698189135
10,497,6,42,0.08450704225352114
10,497,7,41,0.0824949698189135
10,497,8,42,0.08450704225352114
10,497,9,41,0.0824949698189135
10,497,10,41,0.0824949698189135
10,497,11,42,0.08450704225352114
11,497,0,41,0.0824949698189135
11,497,1,42,0.08450704225352114
11,497,2,41,0.0824949698189135
11,497,3,42,0.08450704225352114
11,497,4,41,0.0824949698189135
11,497,5,41,0.0824949698189135
11,497,6,42,0.08450704225352114
11,497,7,41,0.0824949698189135
11,497,8,42,0.08450704225352114
11,497,9,41,0.0824949698189135
11,497,10,41,0.0824949698189135
11,497,11,42,0.08450704225352114
12,497,0,41,0.0824949698189135
12,497,1,42,0.08450704225352114
12,497,2,41,0.0824949698189135
12,497,3,42,0.08450704225352114
12,497,4,41,0.0824949698189135
12,497,5,41,0.0824949698189135
12,497,6,42,0.08450704225352114
12,497,7,41,0.0824949698189135
12,497,8,42,0.08450704225352114
12,497,9,41,0.0824949698189135
12,497,10,41,0.0824949698189135
12,497,11,42,0.08450704225352114
13,497,0,41,0.0824949698189135
13,497,1,42,0.08450704225352114
13,497,2,41,0.0824949698189135
13,497,3,41,0.0824949698189135
13,497,4,42,0.08450704225352114
13,497,5,41,0.0824949698189135
13,497,6,42,0.08450704225352114
13,497,7,41,0.0824949698189135
13,497,8,41,0.0824949698189135
13,497,9,42,0.08450704225352114
13,497,10,41,0.0824949698189135
13,497,11,42,0.08450704225352114
14,497,0,41,0.0824949698189135
14,497,1,42,0.08450704225352114
14,497,2,41,0.0824949698189135
14,497,3,41,0.0824949698189135
14,497,4,42,0.08450704225352114
14,497,5,41,0.0824949698189135
14,497,6,42,0.08450704225352114
14,497,7,41,0.0824949698189135
14,497,8,41,0.0824949698189135
14,497,9,42,0.08450704225352114
14,497,10,41,0.0824949698189135
14,497,11,42,0.08450704225352114
15,497,0,41,0.0824949698189135
15,497,1,42,0.08450704225352114
15,497,2,41,0.0824949698189135
15,497,3,41,0.0824949698189135
15,497,4,42,0.08450704225352114
15,497,5,41,0.0824949698189135
15,497,6,42,0.08450704225352114
15,497,7,41,0.0824949698189135
15,497,8,41,0.0824949698189135
15,497,9,42,0.08450704225352114
15,497,10,41,0.0824949698189135
15,497,11,42,0.08450704225352114
16,497,0,41,0.0824949698189135
16,497,1,42,0.08450704225352114
16,497,2,41,0.0824949698189135
16,497,3,41,0.0824949698189135
16,497,4,42,0.08450704225352114
16,497,5,41,0.0824949698189135
16,497,6,42,0.08450704225352114
16,497,7,41,0.0824949698189135
16,497,8,41,0.0824949698189135
16,497,9,42,0.08450704225352114
16,497,10,41,0.0824949698189135
16,497,11,42,0.08450704225352114
17,496,0,41,0.08266129032258064
17,496,1,41,0.08266129032258064
17,496,2,42,0.0846774193548387
17,496,3,41,0.08266129032258064
17,496,4,42,0.0846774193548387
17,496,5,41,0.08266129032258064
17,496,6,41,0.08266129032258064
17,496,7,42,0.0846774193548387
17,496,8,41,0.08266129032258064
17,496,9,42,0.0846774193548387
17,496,10,41,0.08266129032258064
17,496,11,41,0.08266129032258064
18,496,0,41,0.08266129032258064
18,496,1,41,0.08266129032258064
18,496,2,42,0.0846774193548387
18,496,3,41,0.08266129032258064
18,496,4,42,0.0846774193548387
18,496,5,41,0.08266129032258064
18,496,6,41,0.08266129032258064
18,496,7,42,0.0846774193548387
18,496,8,41,0.08266129032258064
18,496,9,42,0.0846774193548387
18,496,10,41,0.08266129032258064
18,496,11,41,0.08266129032258064
19,496,0,41,0.08266129032258064
19,496,1,41,0.08266129032258064
19,496,2,42,0.0846774193548387
19,496,3,41,0.08266129032258064
19,496,4,42,0.0846774193548387
19,496,5,41,0.08266129032258064
19,496,6,41,0.08266129032258064
19,496,7,42,0.0846774193548387
19,496,8,41,0.08266129032258064
19,496,9,42,0.0846774193548387
19,496,10,41,0.08266129032258064
19,496,11,41,0.08266129032258064
20,496,0,41,0.08266129032258064
20,496,1,41,0.08266129032258064
20,496,2,42,0.0846774193548387
20,496,3,41,0.08266129032258064
20,496,4,42,0.0846774193548387
20,496,5,41,0.08266129032258064
20,496,6,41,0.08266129032258064
20,496,7,42,0.0846774193548387
20,496,8,41,0.08266129032258064
20,496,9,42,0.0846774193548387
20,496,10,41,0.08266129032258064
20,496,11,41,0.08266129032258064
