fold,fold_count,mode,count,proportion
1,773,aeolian,111,0.14359637774902975
1,773,dorian,110,0.1423027166882277
1,773,ionian,111,0.14359637774902975
1,773,locrian,110,0.1423027166882277
1,773,lydian,110,0.1423027166882277
1,773,mixolydian,110,0.1423027166882277
1,773,phrygian,111,0.14359637774902975
2,773,aeolian,111,0.14359637774902975
2,773,dorian,110,0.1423027166882277
2,773,ionian,111,0.14359637774902975
2,773,locrian,110,0.1423027166882277
2,773,lydian,110,0.1423027166882277
2,773,mixolydian,110,0.1423027166882277
2,773,phrygian,111,0.14359637774902975
3,773,aeolian,111,0.14359637774902975
3,773,dorian,110,0.1423027166882277
3,773,ionian,111,0.14359637774902975
3,773,locrian,110,0.1423027166882277
3,773,lydian,110,0.1423027166882277
3,773,mixolydian,110,0.1423027166882277
3,773,phrygian,111,0.14359637774902975
4,773,aeolian,111,0.14359637774902975
4,773,dorian,110,0.1423027166882277
4,773,ionian,111,0.14359637774902975
4,773,locrian,110,0.1423027166882277
4,773,lydian,110,0.1423027166882277
4,773,mixolydian,110,0.1423027166882277
4,773,phrygian,111,0.14359637774902975
5,773,aeolian,111,0.14359637774902975
5,773,dorian,110,0.1423027166882277
5,773,ionian,111,0.14359637774902975
5,773,locrian,110,0.1423027166882277
5,773,lydian,111,0.14359637774902975
5,773,mixolydian,110,0.1423027166882277
5,773,phrygian,110,0.1423027166882277
6,773,aeolian,111,0.14359637774902975
6,773,dorian,110,0.1423027166882277
6,773,ionian,111,0.14359637774902975
6,773,locrian,110,0.1423027166882277
6,773,lydian,111,0.14359637774902975
6,773,mixolydian,110,0.1423027166882277
6,773,phrygian,110,0.1423027166882277
7,773,aeolian,111,0.14359637774902975
7,773,dorian,110,0.1423027166882277
7,773,ionian,111,0.14359637774902975
7,773,locrian,110,0.1423027166882277
7,773,lydian,111,0.14359637774902975
7,773,mixolydian,110,0.1423027166882277
7,773,phrygian,110,0.1423027166882277
8,773,aeolian,111,0.14359637774902975
8,773,dorian,110,0.1423027166882277
8,773,ionian,111,0.14359637774902975
8,773,locrian,110,0.1423027166882277
8,773,lydian,111,0.14359637774902975
8,773,mixolydian,110,0.1423027166882277
8,773,phrygian,110,0.1423027166882277
9,773,aeolian,110,0.1423027166882277
9,773,dorian,111,0.14359637774902975
9,773,ionian,110,0.1423027166882277
9,773,locrian,111,0.14359637774902975
9,773,lydian,111,0.14359637774902975
9,773,mixolydian,110,0.1423027166882277
9,773,phrygian,110,0.1423027166882277
10,773,aeolian,110,0.1423027166882277
10,773,dorian,111,0.14359637774902975
10,773,ionian,110,0.1423027166882277
10,773,locrian,111,0.14359637774902975
10,773,lydian,111,0.14359637774902975
10,773,mixolydian,110,0.1423027166882277
10,773,phrygian,110,0.1423027166882277
11,773,aeolian,110,0.1423027166882277
11,773,dorian,111,0.14359637774902975
11,773,ionian,110,0.1423027166882277
11,773,locrian,111,0.14359637774902975
11,773,lydian,111,0.14359637774902975
11,773,mixolydian,110,0.1423027166882277
11,773,phrygian,110,0.1423027166882277
12,773,aeolian,110,0.1423027166882277
12,773,dorian,111,0.14359637774902975
12,773,ionian,110,0.1423027166882277
12,773,locrian,111,0.14359637774902975
12,773,lydian,111,0.14359637774902975
12,773,mixolydian,110,0.1423027166882277
12,773,phrygian,110,0.1423027166882277
13,773,aeolian,110,0.1423027166882277
13,773,dorian,111,0.14359637774902975
13,773,ionian,110,0.1423027166882277
13,773,locrian,111,0.14359637774902975
13,773,lydian,110,0.1423027166882277
13,773,mixolydian,111,0.14359637774902975
13,773,phrygian,110,0.1423027166882277
14,773,aeolian,110,0.1423027166882277
14,773,dorian,111,0.14359637774902975
14,773,ionian,110,0.1423027166882277
14,773,locrian,111,0.14359637774902975
14,773,lydian,110,0.1423027166882277
14,773,mixolydian,111,0.14359637774902975
14,773,phrygian,110,0.1423027166882277
15,773,aeolian,110,0.1423027166882277
15,773,dorian,111,0.14359637774902975
15,773,ionian,110,0.1423027166882277
15,773,locrian,111,0.14359637774902975
15,773,lydian,110,0.1423027166882277
15,773,mixolydian,111,0.14359637774902975
15,773,phrygian,110,0.1423027166882277
16,773,aeolian,110,0.1423027166882277
16,773,dorian,111,0.14359637774902975
16,773,ionian,110,0.1423027166882277
16,773,locrian,111,0.14359637774902975
16,773,lydian,110,0.1423027166882277
16,773,mixolydian,111,0.14359637774902975
16,773,phrygian,110,0.1423027166882277
17,772,aeolian,110,0.14248704663212436
17,772,dorian,110,0.14248704663212436
17,772,ionian,110,0.14248704663212436
17,772,locrian,110,0.14248704663212436
17,772,lydian,110,0.14248704663212436
17,772,mixolydian,111,0.14378238341968913
17,772,phrygian,111,0.14378238341968913
18,772,aeolian,110,0.14248704663212436
18,772,dorian,110,0.14248704663212436
18,772,ionian,110,0.14248704663212436
18,772,locrian,110,0.14248704663212436
18,772,lydian,110,0.14248704663212436
18,772,mixolydian,111,0.14378238341968913
18,772,phrygian,111,0.14378238341968913
19,772,aeolian,110,0.14248704663212436
19,772,dorian,110,0.14248704663212436
19,772,ionian,110,0.14248704663212436
19,772,locrian,110,0.14248704663212436
19,772,lydian,110,0.14248704663212436
19,772,mixolydian,111,0.14378238341968913
19,772,phrygian,111,0.14378238341968913
20,772,aeolian,110,0.14248704663212436
20,772,dorian,110,0.14248704663212436
20,772,ionian,110,0.14248704663212436
20,772,locrian,110,0.14248704663212436
20,772,lydian,110,0.14248704663212436
20,772,mixolydian,111,0.14378238341968913
20,772,phrygian,111,0.14378238341968913
