fold,fold_count,is_compound,count,proportion
1,60,0,31,0.5166666666666666
1,60,1,29,0.48333333333333334
2,60,0,31,0.5166666666666666
2,60,1,29,0.48333333333333334
3,60,0,31,0.5166666666666666
3,60,1,29,0.48333333333333334
4,60,0,31,0.5166666666666666
4,60,1,29,0.48333333333333334
5,60,0,31,0.5166666666666666
5,60,1,29,0.48333333333333334
6,60,0,31,0.5166666666666666
6,60,1,29,0.48333333333333334
7,60,0,31,0.5166666666666666
7,60,1,29,0.48333333333333334
8,60,0,31,0.5166666666666666
8,60,1,29,0.48333333333333334
9,60,0,31,0.5166666666666666
9,60,1,29,0.48333333333333334
10,60,0,31,0.5166666666666666
10,60,1,29,0.48333333333333334
11,60,0,29,0.48333333333333334
11,60,1,31,0.5166666666666666
12,60,0,29,0.48333333333333334
12,60,1,31,0.5166666666666666
13,60,0,29,0.48333333333333334
13,60,1,31,0.5166666666666666
14,60,0,29,0.48333333333333334
14,60,1,31,0.5166666666666666
15,60,0,29,0.48333333333333334
15,60,1,31,0.5166666666666666
16,60,0,29,0.48333333333333334
16,60,1,31,0.5166666666666666
17,60,0,29,0.48333333333333334
17,60,1,31,0.5166666666666666
18,60,0,29,0.48333333333333334
18,60,1,31,0.5166666666666666
19,60,0,29,0.48333333333333334
19,60,1,31,0.5166666666666666
20,60,0,29,0.48333333333333334
20,60,1,31,0.5166666666666666
