fold,fold_count,bpm,count,proportion
1,202,74,2,0.009900990099009901
1,202,75,2,0.009900990099009901
1,202,76,2,0.009900990099009901
1,202,77,1,0.0049504950495049506
1,202,78,2,0.009900990099009901
1,202,79,2,0.009900990099009901
1,202,80,2,0.009900990099009901
1,202,81,2,0.009900990099009901
1,202,82,1,0.0049504950495049506
1,202,83,2,0.009900990099009901
1,202,84,2,0.009900990099009901
1,202,85,2,0.009900990099009901
1,202,86,1,0.0049504950495049506
1,202,87,2,0.009900990099009901
1,202,88,2,0.009900990099009901
1,202,89,2,0.009900990099009901
1,202,90,2,0.009900990099009901
1,202,91,1,0.0049504950495049506
1,202,92,2,0.009900990099009901
1,202,93,2,0.009900990099009901
1,202,94,2,0.009900990099009901
1,202,95,2,0.009900990099009901
1,202,96,1,0.0049504950495049506
1,202,97,2,0.009900990099009901
1,202,98,2,0.009900990099009901
1,202,99,2,0.009900990099009901
1,202,100,1,0.0049504950495049506
1,202,101,2,0.009900990099009901
1,202,102,2,0.009900990099009901
1,202,103,2,0.009900990099009901
1,202,104,2,0.009900990099009901
1,202,105,1,0.0049504950495049506
1,202,106,2,0.009900990099009901
1,202,107,2,0.009900990099009901
1,202,108,2,0.009900990099009901
1,202,109,2,0.009900990099009901
1,202,110,1,0.0049504950495049506
1,202,111,2,0.009900990099009901
1,202,112,2,0.009900990099009901
1,202,113,2,0.009900990099009901
1,202,114,1,0.0049504950495049506
1,202,115,2,0.009900990099009901
1,202,116,2,0.009900990099009901
1,202,117,2,0.009900990099009901
1,202,118,2,0.009900990099009901
1,202,119,1,0.0049504950495049506
1,202,120,2,0.009900990099009901
1,202,121,2,0.009900990099009901
1,202,122,2,0.009900990099009901
1,202,123,2,0.009900990099009901
1,202,124,1,0.0049504950495049506
1,202,125,2,0.009900990099009901
1,202,126,2,0.009900990099009901
1,202,127,2,0.009900990099009901
1,202,128,1,0.0049504950495049506
1,202,129,2,0.009900990099009901
1,202,130,2,0.009900990099009901
1,202,131,2,0.009900990099009901
1,202,132,2,0.009900990099009901
1,202,133,1,0.0049504950495049506
1,202,134,2,0.009900990099009901
1,202,135,2,0.009900990099009901
1,202,136,2,0.009900990099009901
1,202,137,2,0.009900990099009901
1,202,138,1,0.0049504950495049506
1,202,139,2,0.009900990099009901
1,202,140,2,0.009900990099009901
1,202,141,2,0.009900990099009901
1,202,142,1,0.0049504950495049506
1,202,143,2,0.009900990099009901
1,202,144,2,0.009900990099009901
1,202,145,2,0.009900990099009901
1,202,146,2,0.009900990099009901
1,202,147,1,0.0049504950495049506
1,202,148,2,0.009900990099009901
1,202,149,2,0.009900990099009901
1,202,150,2,0.009900990099009901
1,202,151,2,0.009900990099009901
1,202,152,1,0.0049504950495049506
1,202,153,2,0.009900990099009901
1,202,154,2,0.009900990099009901
1,202,155,2,0.009900990099009901
1,202,156,1,0.0049504950495049506
1,202,157,2,0.009900990099009901
1,202,158,2,0.009900990099009901
1,202,159,2,0.009900990099009901
1,202,160,2,0.009900990099009901
1,202,161,1,0.0049504950495049506
1,202,162,2,0.009900990099009901
1,202,163,2,0.009900990099009901
1,202,164,2,0.009900990099009901
1,202,165,2,0.009900990099009901
1,202,166,1,0.0049504950495049506
1,202,167,2,0.009900990099009901
1,202,168,2,0.009900990099009901
1,202,169,2,0.009900990099009901
1,202,170,1,0.0049504950495049506
1,202,171,2,0.009900990099009901
1,202,172,2,0.009900990099009901
1,202,173,2,0.009900990099009901
1,202,174,2,0.009900990099009901
1,202,175,1,0.0049504950495049506
1,202,176,2,0.009900990099009901
1,202,177,2,0.009900990099009901
1,202,178,2,0.009900990099009901
1,202,179,2,0.009900990099009901
1,202,180,1,0.0049504950495049506
