set_type,set_type_count,octave,count,proportion
test,1488,0,170,0.114247311827957
test,1488,1,177,0.11895161290322581
test,1488,2,171,0.11491935483870969
test,1488,3,146,0.09811827956989248
test,1488,4,169,0.11357526881720431
test,1488,5,168,0.11290322580645162
test,1488,6,170,0.114247311827957
test,1488,7,159,0.10685483870967742
test,1488,8,158,0.10618279569892473
train,6958,0,748,0.10750215579189422
train,6958,1,772,0.11095142282265018
train,6958,2,780,0.11210117849956884
train,6958,3,788,0.11325093417648749
train,6958,4,770,0.11066398390342051
train,6958,5,777,0.11167002012072434
train,6958,6,763,0.1096579476861167
train,6958,7,774,0.11123886174187984
train,6958,8,786,0.11296349525725782
valid,1490,0,186,0.12483221476510066
valid,1490,1,155,0.10402684563758388
valid,1490,2,153,0.10268456375838926
valid,1490,3,170,0.11409395973154361
valid,1490,4,165,0.11073825503355704
valid,1490,5,159,0.10671140939597315
valid,1490,6,171,0.11476510067114093
valid,1490,7,171,0.11476510067114093
valid,1490,8,160,0.10738255033557047
