fold,fold_count,play_style,count,proportion
1,1988,0,686,0.3450704225352113
1,1988,1,667,0.33551307847082495
1,1988,2,635,0.3194164989939638
2,1988,0,688,0.34607645875251514
2,1988,1,668,0.3360160965794769
2,1988,2,632,0.3179074446680081
3,1988,0,675,0.3395372233400403
3,1988,1,675,0.3395372233400403
3,1988,2,638,0.32092555331991957
4,1988,0,627,0.31539235412474853
4,1988,1,681,0.34255533199195176
4,1988,2,680,0.3420523138832998
5,1987,0,652,0.32813286361348765
5,1987,1,682,0.3432310015098138
5,1987,2,653,0.3286361348766985
6,1987,0,681,0.3427277302466029
6,1987,1,610,0.3069954705586311
6,1987,2,696,0.35027679919476595
7,1987,0,701,0.3527931555108203
7,1987,1,643,0.3236034222445898
7,1987,2,643,0.3236034222445898
8,1987,0,680,0.34222445898339204
8,1987,1,637,0.3205837946653246
8,1987,2,670,0.33719174635128335
9,1987,0,676,0.34021137393054857
9,1987,1,672,0.3381982888777051
9,1987,2,639,0.32159033719174634
10,1987,0,689,0.34675390035228987
10,1987,1,648,0.32611977856064417
10,1987,2,650,0.3271263210870659
11,1987,0,656,0.3301459486663311
11,1987,1,666,0.3351786612984399
11,1987,2,665,0.334675390035229
12,1987,0,689,0.34675390035228987
12,1987,1,640,0.3220936084549572
12,1987,2,658,0.33115249119275286
13,1987,0,621,0.3125314544539507
13,1987,1,671,0.3376950176144942
13,1987,2,695,0.3497735279315551
14,1987,0,648,0.32611977856064417
14,1987,1,667,0.33568193256165074
14,1987,2,672,0.3381982888777051
15,1987,0,638,0.3210870659285355
15,1987,1,692,0.3482637141419225
15,1987,2,657,0.330649219929542
16,1987,0,634,0.319073980875692
16,1987,1,690,0.34725717161550074
16,1987,2,663,0.33366884750880726
17,1987,0,636,0.32008052340211374
17,1987,1,680,0.34222445898339204
17,1987,2,671,0.3376950176144942
18,1987,0,653,0.3286361348766985
18,1987,1,666,0.3351786612984399
18,1987,2,668,0.3361852038248616
19,1987,0,646,0.32511323603422243
19,1987,1,650,0.3271263210870659
19,1987,2,691,0.3477604428787116
20,1987,0,672,0.3381982888777051
20,1987,1,643,0.3236034222445898
20,1987,2,672,0.3381982888777051
