fold,fold_count,octave,count,proportion
1,497,0,43,0.08651911468812878
1,497,1,64,0.12877263581488935
1,497,2,51,0.10261569416498995
1,497,3,62,0.12474849094567406
1,497,4,52,0.10462776659959759
1,497,5,54,0.10865191146881288
1,497,6,57,0.11468812877263583
1,497,7,49,0.09859154929577466
1,497,8,65,0.130784708249497
2,497,0,54,0.10865191146881288
2,497,1,58,0.11670020120724348
2,497,2,54,0.10865191146881288
2,497,3,50,0.1006036217303823
2,497,4,59,0.11871227364185112
2,497,5,57,0.11468812877263583
2,497,6,63,0.1267605633802817
2,497,7,52,0.10462776659959759
2,497,8,50,0.1006036217303823
3,497,0,52,0.10462776659959759
3,497,1,61,0.12273641851106641
3,497,2,57,0.11468812877263583
3,497,3,55,0.11066398390342053
3,497,4,58,0.11670020120724348
3,497,5,58,0.11670020120724348
3,497,6,45,0.09054325955734407
3,497,7,50,0.1006036217303823
3,497,8,61,0.12273641851106641
4,497,0,50,0.1006036217303823
4,497,1,51,0.10261569416498995
4,497,2,58,0.11670020120724348
4,497,3,62,0.12474849094567406
4,497,4,61,0.12273641851106641
4,497,5,49,0.09859154929577466
4,497,6,54,0.10865191146881288
4,497,7,50,0.1006036217303823
4,497,8,62,0.12474849094567406
5,497,0,55,0.11066398390342053
5,497,1,48,0.09657947686116701
5,497,2,55,0.11066398390342053
5,497,3,67,0.1348088531187123
5,497,4,49,0.09859154929577466
5,497,5,55,0.11066398390342053
5,497,6,58,0.11670020120724348
5,497,7,58,0.11670020120724348
5,497,8,52,0.10462776659959759
6,497,0,56,0.11267605633802819
6,497,1,55,0.11066398390342053
6,497,2,55,0.11066398390342053
6,497,3,47,0.09456740442655936
6,497,4,67,0.1348088531187123
6,497,5,50,0.1006036217303823
6,497,6,53,0.10663983903420524
6,497,7,68,0.13682092555331993
6,497,8,46,0.09255533199195172
7,497,0,56,0.11267605633802819
7,497,1,59,0.11871227364185112
7,497,2,65,0.130784708249497
7,497,3,42,0.08450704225352114
7,497,4,59,0.11871227364185112
7,497,5,56,0.11267605633802819
7,497,6,46,0.09255533199195172
7,497,7,60,0.12072434607645877
7,497,8,54,0.10865191146881288
8,497,0,58,0.11670020120724348
8,497,1,51,0.10261569416498995
8,497,2,50,0.1006036217303823
8,497,3,52,0.10462776659959759
8,497,4,61,0.12273641851106641
8,497,5,55,0.11066398390342053
8,497,6,63,0.1267605633802817
8,497,7,50,0.1006036217303823
8,497,8,57,0.11468812877263583
9,497,0,50,0.1006036217303823
9,497,1,52,0.10462776659959759
9,497,2,62,0.12474849094567406
9,497,3,47,0.09456740442655936
9,497,4,44,0.08853118712273643
9,497,5,63,0.1267605633802817
9,497,6,58,0.11670020120724348
9,497,7,59,0.11871227364185112
9,497,8,62,0.12474849094567406
10,497,0,68,0.13682092555331993
10,497,1,45,0.09054325955734407
10,497,2,55,0.11066398390342053
10,497,3,56,0.11267605633802819
10,497,4,52,0.10462776659959759
10,497,5,49,0.09859154929577466
10,497,6,50,0.1006036217303823
10,497,7,58,0.11670020120724348
10,497,8,64,0.12877263581488935
11,497,0,45,0.09054325955734407
11,497,1,63,0.1267605633802817
11,497,2,56,0.11267605633802819
11,497,3,64,0.12877263581488935
11,497,4,46,0.09255533199195172
11,497,5,57,0.11468812877263583
11,497,6,60,0.12072434607645877
11,497,7,48,0.09657947686116701
11,497,8,58,0.11670020120724348
12,497,0,48,0.09657947686116701
12,497,1,54,0.10865191146881288
12,497,2,56,0.11267605633802819
12,497,3,62,0.12474849094567406
12,497,4,51,0.10261569416498995
12,497,5,60,0.12072434607645877
12,497,6,61,0.12273641851106641
12,497,7,61,0.12273641851106641
12,497,8,44,0.08853118712273643
13,497,0,57,0.11468812877263583
13,497,1,59,0.11871227364185112
13,497,2,51,0.10261569416498995
13,497,3,58,0.11670020120724348
13,497,4,55,0.11066398390342053
13,497,5,58,0.11670020120724348
13,497,6,46,0.09255533199195172
13,497,7,54,0.10865191146881288
13,497,8,59,0.11871227364185112
14,497,0,56,0.11267605633802819
14,497,1,52,0.10462776659959759
14,497,2,55,0.11066398390342053
14,497,3,64,0.12877263581488935
14,497,4,56,0.11267605633802819
14,497,5,56,0.11267605633802819
14,497,6,49,0.09859154929577466
14,497,7,57,0.11468812877263583
14,497,8,52,0.10462776659959759
15,497,0,56,0.11267605633802819
15,497,1,44,0.08853118712273643
15,497,2,55,0.11066398390342053
15,497,3,67,0.1348088531187123
15,497,4,50,0.1006036217303823
15,497,5,52,0.10462776659959759
15,497,6,57,0.11468812877263583
15,497,7,63,0.1267605633802817
15,497,8,53,0.10663983903420524
16,497,0,60,0.12072434607645877
16,497,1,57,0.11468812877263583
16,497,2,50,0.1006036217303823
16,497,3,48,0.09657947686116701
16,497,4,57,0.11468812877263583
16,497,5,50,0.1006036217303823
16,497,6,50,0.1006036217303823
16,497,7,62,0.12474849094567406
16,497,8,63,0.1267605633802817
17,496,0,70,0.1411290322580645
17,496,1,54,0.10887096774193548
17,496,2,48,0.0967741935483871
17,496,3,55,0.11088709677419355
17,496,4,58,0.11693548387096774
17,496,5,57,0.11491935483870967
17,496,6,64,0.12903225806451613
17,496,7,46,0.09274193548387097
17,496,8,44,0.08870967741935484
18,496,0,72,0.14516129032258063
18,496,1,64,0.12903225806451613
18,496,2,47,0.09475806451612903
18,496,3,47,0.09475806451612903
18,496,4,52,0.10483870967741934
18,496,5,56,0.11290322580645161
18,496,6,59,0.1189516129032258
18,496,7,53,0.10685483870967742
18,496,8,46,0.09274193548387097
19,496,0,59,0.1189516129032258
19,496,1,47,0.09475806451612903
19,496,2,55,0.11088709677419355
