set_type,set_type_count,click_config_name,count,proportion
test,603,default,130,0.21558872305140964
test,603,synth_drum,125,0.20729684908789386
test,603,taiko,117,0.19402985074626866
test,603,woodblock_dark,115,0.19071310116086235
test,603,woodblock_light,116,0.19237147595356552
train,2818,default,562,0.1994322214336409
train,2818,synth_drum,561,0.19907735982966643
train,2818,taiko,565,0.20049680624556424
train,2818,woodblock_dark,565,0.20049680624556424
train,2818,woodblock_light,565,0.20049680624556424
valid,604,default,113,0.1870860927152318
valid,604,synth_drum,119,0.19701986754966888
valid,604,taiko,123,0.20364238410596028
valid,604,woodblock_dark,125,0.20695364238410596
valid,604,woodblock_light,124,0.2052980132450331
