set_type,set_type_count,midi_category,count,proportion
test,1986,Bass Timbres,184,0.09264853977844914
test,1986,Brass Timbres,179,0.09013091641490432
test,1986,Chromatic Percussion,105,0.052870090634441085
test,1986,Ensemble Timbres,158,0.07955689828801611
test,1986,Ethnic Timbres,153,0.0770392749244713
test,1986,Guitar Timbres,157,0.07905337361530715
test,1986,Organ Timbres,107,0.05387713997985901
test,1986,Piano Timbres,170,0.08559919436052367
test,1986,Pipe Timbres,131,0.06596173212487412
test,1986,Reed Timbres,170,0.08559919436052367
test,1986,String Timbres,147,0.07401812688821752
test,1986,Synth Lead,149,0.07502517623363544
test,1986,Synth Pad,176,0.08862034239677744
train,9276,Bass Timbres,801,0.08635187580853816
train,9276,Brass Timbres,798,0.08602846054333765
train,9276,Chromatic Percussion,527,0.056813281586890904
train,9276,Ensemble Timbres,675,0.07276843467011643
train,9276,Ethnic Timbres,811,0.08742992669253989
train,9276,Guitar Timbres,722,0.07783527382492454
train,9276,Organ Timbres,514,0.05541181543768866
train,9276,Piano Timbres,819,0.08829236739974126
train,9276,Pipe Timbres,615,0.06630012936610609
train,9276,Reed Timbres,788,0.08495040965933592
train,9276,String Timbres,715,0.07708063820612333
train,9276,Synth Lead,701,0.07557136696852092
train,9276,Synth Pad,790,0.08516601983613627
valid,1986,Bass Timbres,167,0.08408862034239678
valid,1986,Brass Timbres,175,0.08811681772406849
valid,1986,Chromatic Percussion,88,0.04431017119838872
valid,1986,Ensemble Timbres,175,0.08811681772406849
valid,1986,Ethnic Timbres,188,0.094662638469285
valid,1986,Guitar Timbres,129,0.0649546827794562
valid,1986,Organ Timbres,99,0.04984894259818731
valid,1986,Piano Timbres,163,0.08207452165156093
valid,1986,Pipe Timbres,118,0.059415911379657606
valid,1986,Reed Timbres,194,0.09768378650553877
valid,1986,String Timbres,146,0.07351460221550855
valid,1986,Synth Lead,158,0.07955689828801611
valid,1986,Synth Pad,186,0.09365558912386707
