set_type,set_type_count,offset_time,count,proportion
test,180,0.0019,1,0.005555555555555556
test,180,0.0056,1,0.005555555555555556
test,180,0.0072,1,0.005555555555555556
test,180,0.0155,1,0.005555555555555556
test,180,0.0182,1,0.005555555555555556
test,180,0.0183,1,0.005555555555555556
test,180,0.0185,2,0.011111111111111112
test,180,0.0186,1,0.005555555555555556
test,180,0.0191,1,0.005555555555555556
test,180,0.0218,1,0.005555555555555556
test,180,0.0237,1,0.005555555555555556
test,180,0.027,1,0.005555555555555556
test,180,0.0326,1,0.005555555555555556
test,180,0.0338,1,0.005555555555555556
test,180,0.0341,1,0.005555555555555556
test,180,0.0455,1,0.005555555555555556
test,180,0.0497,1,0.005555555555555556
test,180,0.053,1,0.005555555555555556
test,180,0.0628,1,0.005555555555555556
test,180,0.0637,1,0.005555555555555556
test,180,0.0723,1,0.005555555555555556
test,180,0.0754,1,0.005555555555555556
test,180,0.0779,1,0.005555555555555556
test,180,0.0904,1,0.005555555555555556
test,180,0.0914,1,0.005555555555555556
test,180,0.0916,1,0.005555555555555556
test,180,0.1003,1,0.005555555555555556
test,180,0.1025,1,0.005555555555555556
test,180,0.1036,1,0.005555555555555556
test,180,0.1072,1,0.005555555555555556
test,180,0.1077,1,0.005555555555555556
test,180,0.1225,1,0.005555555555555556
test,180,0.1302,1,0.005555555555555556
test,180,0.1372,1,0.005555555555555556
test,180,0.1375,1,0.005555555555555556
test,180,0.1376,1,0.005555555555555556
test,180,0.1381,1,0.005555555555555556
test,180,0.1421,1,0.005555555555555556
test,180,0.1433,1,0.005555555555555556
test,180,0.1437,1,0.005555555555555556
test,180,0.1463,1,0.005555555555555556
test,180,0.1613,1,0.005555555555555556
test,180,0.1624,1,0.005555555555555556
test,180,0.1661,1,0.005555555555555556
test,180,0.1728,1,0.005555555555555556
test,180,0.175,1,0.005555555555555556
test,180,0.1774,1,0.005555555555555556
test,180,0.1804,1,0.005555555555555556
test,180,0.182,1,0.005555555555555556
test,180,0.1827,1,0.005555555555555556
test,180,0.1865,1,0.005555555555555556
test,180,0.1873,1,0.005555555555555556
test,180,0.1939,1,0.005555555555555556
test,180,0.1959,1,0.005555555555555556
test,180,0.1981,1,0.005555555555555556
test,180,0.2105,1,0.005555555555555556
test,180,0.2124,1,0.005555555555555556
test,180,0.2129,1,0.005555555555555556
test,180,0.2241,1,0.005555555555555556
test,180,0.2246,1,0.005555555555555556
test,180,0.2281,1,0.005555555555555556
test,180,0.2285,1,0.005555555555555556
test,180,0.2404,1,0.005555555555555556
test,180,0.2405,1,0.005555555555555556
test,180,0.2415,1,0.005555555555555556
test,180,0.2434,1,0.005555555555555556
test,180,0.2485,1,0.005555555555555556
test,180,0.2498,1,0.005555555555555556
test,180,0.2518,1,0.005555555555555556
test,180,0.2538,1,0.005555555555555556
test,180,0.2555,1,0.005555555555555556
