fold,fold_count,midi_program_num,count,proportion
1,663,0,5,0.007541478129713424
1,663,1,13,0.0196078431372549
1,663,2,5,0.007541478129713424
1,663,3,7,0.010558069381598794
1,663,4,7,0.010558069381598794
1,663,5,5,0.007541478129713424
1,663,6,9,0.013574660633484163
1,663,7,9,0.013574660633484163
1,663,10,9,0.013574660633484163
1,663,11,8,0.012066365007541479
1,663,12,3,0.004524886877828055
1,663,13,9,0.013574660633484163
1,663,15,4,0.006033182503770739
1,663,16,11,0.016591251885369532
1,663,17,6,0.00904977375565611
1,663,18,4,0.006033182503770739
1,663,19,12,0.01809954751131222
1,663,20,6,0.00904977375565611
1,663,24,7,0.010558069381598794
1,663,25,7,0.010558069381598794
1,663,26,8,0.012066365007541479
1,663,27,10,0.015082956259426848
1,663,28,9,0.013574660633484163
1,663,29,10,0.015082956259426848
1,663,30,8,0.012066365007541479
1,663,32,4,0.006033182503770739
1,663,33,6,0.00904977375565611
1,663,34,6,0.00904977375565611
1,663,35,4,0.006033182503770739
1,663,36,10,0.015082956259426848
1,663,37,8,0.012066365007541479
1,663,38,5,0.007541478129713424
1,663,39,6,0.00904977375565611
1,663,40,8,0.012066365007541479
1,663,41,4,0.006033182503770739
1,663,42,13,0.0196078431372549
1,663,43,8,0.012066365007541479
1,663,44,6,0.00904977375565611
1,663,45,5,0.007541478129713424
1,663,46,4,0.006033182503770739
1,663,48,12,0.01809954751131222
1,663,49,6,0.00904977375565611
1,663,50,10,0.015082956259426848
1,663,51,2,0.0030165912518853697
1,663,52,8,0.012066365007541479
1,663,53,6,0.00904977375565611
1,663,54,8,0.012066365007541479
1,663,56,7,0.010558069381598794
1,663,57,12,0.01809954751131222
1,663,58,5,0.007541478129713424
1,663,59,7,0.010558069381598794
1,663,60,6,0.00904977375565611
1,663,61,7,0.010558069381598794
1,663,62,7,0.010558069381598794
1,663,63,11,0.016591251885369532
1,663,64,11,0.016591251885369532
1,663,65,6,0.00904977375565611
1,663,66,9,0.013574660633484163
1,663,67,10,0.015082956259426848
1,663,68,8,0.012066365007541479
1,663,69,7,0.010558069381598794
1,663,70,2,0.0030165912518853697
1,663,71,7,0.010558069381598794
1,663,72,9,0.013574660633484163
1,663,73,6,0.00904977375565611
1,663,74,7,0.010558069381598794
1,663,75,5,0.007541478129713424
1,663,76,8,0.012066365007541479
1,663,79,6,0.00904977375565611
1,663,80,9,0.013574660633484163
1,663,81,8,0.012066365007541479
1,663,82,8,0.012066365007541479
1,663,83,9,0.013574660633484163
1,663,84,5,0.007541478129713424
1,663,85,3,0.004524886877828055
1,663,87,10,0.015082956259426848
1,663,88,8,0.012066365007541479
1,663,89,7,0.010558069381598794
1,663,90,3,0.004524886877828055
1,663,91,8,0.012066365007541479
1,663,92,9,0.013574660633484163
1,663,93,6,0.00904977375565611
1,663,94,9,0.013574660633484163
1,663,95,8,0.012066365007541479
1,663,104,6,0.00904977375565611
1,663,105,7,0.010558069381598794
1,663,106,8,0.012066365007541479
