set_type,set_type_count,midi_program_num,count,proportion
test,1986,0,19,0.009566968781470292
test,1986,1,22,0.01107754279959718
test,1986,2,20,0.010070493454179255
test,1986,3,21,0.010574018126888218
test,1986,4,23,0.011581067472306143
test,1986,5,28,0.014098690835850957
test,1986,6,24,0.012084592145015106
test,1986,7,13,0.006545820745216516
test,1986,10,14,0.007049345417925478
test,1986,11,27,0.013595166163141994
test,1986,12,23,0.011581067472306143
test,1986,13,19,0.009566968781470292
test,1986,15,22,0.01107754279959718
test,1986,16,31,0.015609264853977844
test,1986,17,23,0.011581067472306143
test,1986,18,12,0.006042296072507553
test,1986,19,20,0.010070493454179255
test,1986,20,21,0.010574018126888218
test,1986,24,24,0.012084592145015106
test,1986,25,25,0.012588116817724069
test,1986,26,17,0.008559919436052367
test,1986,27,18,0.00906344410876133
test,1986,28,27,0.013595166163141994
test,1986,29,29,0.01460221550855992
test,1986,30,17,0.008559919436052367
test,1986,32,25,0.012588116817724069
test,1986,33,24,0.012084592145015106
test,1986,34,24,0.012084592145015106
test,1986,35,31,0.015609264853977844
test,1986,36,23,0.011581067472306143
test,1986,37,22,0.01107754279959718
test,1986,38,17,0.008559919436052367
test,1986,39,18,0.00906344410876133
test,1986,40,16,0.008056394763343404
test,1986,41,20,0.010070493454179255
test,1986,42,22,0.01107754279959718
test,1986,43,20,0.010070493454179255
test,1986,44,21,0.010574018126888218
test,1986,45,26,0.013091641490433032
test,1986,46,22,0.01107754279959718
test,1986,48,20,0.010070493454179255
test,1986,49,24,0.012084592145015106
test,1986,50,25,0.012588116817724069
test,1986,51,25,0.012588116817724069
test,1986,52,28,0.014098690835850957
test,1986,53,22,0.01107754279959718
test,1986,54,14,0.007049345417925478
test,1986,56,23,0.011581067472306143
test,1986,57,23,0.011581067472306143
test,1986,58,27,0.013595166163141994
test,1986,59,29,0.01460221550855992
test,1986,60,18,0.00906344410876133
test,1986,61,16,0.008056394763343404
test,1986,62,26,0.013091641490433032
test,1986,63,17,0.008559919436052367
test,1986,64,21,0.010574018126888218
test,1986,65,22,0.01107754279959718
test,1986,66,23,0.011581067472306143
test,1986,67,15,0.007552870090634441
test,1986,68,25,0.012588116817724069
test,1986,69,21,0.010574018126888218
test,1986,70,21,0.010574018126888218
test,1986,71,22,0.01107754279959718
test,1986,72,16,0.008056394763343404
test,1986,73,17,0.008559919436052367
test,1986,74,22,0.01107754279959718
test,1986,75,22,0.01107754279959718
test,1986,76,26,0.013091641490433032
test,1986,79,28,0.014098690835850957
test,1986,80,25,0.012588116817724069
test,1986,81,20,0.010070493454179255
test,1986,82,18,0.00906344410876133
test,1986,83,19,0.009566968781470292
test,1986,84,28,0.014098690835850957
test,1986,85,17,0.008559919436052367
test,1986,87,22,0.01107754279959718
test,1986,88,19,0.009566968781470292
test,1986,89,22,0.01107754279959718
test,1986,90,31,0.015609264853977844
test,1986,91,14,0.007049345417925478
test,1986,92,23,0.011581067472306143
test,1986,93,25,0.012588116817724069
test,1986,94,21,0.010574018126888218
test,1986,95,21,0.010574018126888218
test,1986,104,17,0.008559919436052367
test,1986,105,27,0.013595166163141994
test,1986,106,18,0.00906344410876133
test,1986,107,17,0.008559919436052367
test,1986,108,16,0.008056394763343404
test,1986,109,22,0.01107754279959718
test,1986,110,19,0.009566968781470292
test,1986,111,17,0.008559919436052367
train,9276,0,113,0.012181974989219491
train,9276,1,101,0.010888313928417421
train,9276,2,109,0.011750754635618801
train,9276,3,104,0.01121172919361794
train,9276,4,101,0.010888313928417421
train,9276,5,92,0.00991806813281587
train,9276,6,101,0.010888313928417421
train,9276,7,98,0.010564898663216905
train,9276,10,110,0.011858559724018974
train,9276,11,100,0.01078050884001725
train,9276,12,107,0.011535144458818456
train,9276,13,112,0.01207416990081932
train,9276,15,98,0.010564898663216905
train,9276,16,96,0.01034928848641656
train,9276,17,102,0.010996119016817595
train,9276,18,108,0.01164294954721863
train,9276,19,101,0.010888313928417421
train,9276,20,107,0.011535144458818456
train,9276,24,104,0.01121172919361794
train,9276,25,98,0.010564898663216905
train,9276,26,109,0.011750754635618801
train,9276,27,104,0.01121172919361794
train,9276,28,103,0.011103924105217766
train,9276,29,94,0.010133678309616215
train,9276,30,110,0.011858559724018974
train,9276,32,97,0.010457093574816731
train,9276,33,106,0.011427339370418284
train,9276,34,101,0.010888313928417421
train,9276,35,91,0.009810263044415696
train,9276,36,104,0.01121172919361794
train,9276,37,97,0.010457093574816731
train,9276,38,103,0.011103924105217766
train,9276,39,102,0.010996119016817595
train,9276,40,107,0.011535144458818456
train,9276,41,101,0.010888313928417421
train,9276,42,101,0.010888313928417421
train,9276,43,110,0.011858559724018974
train,9276,44,102,0.010996119016817595
train,9276,45,100,0.01078050884001725
train,9276,46,94,0.010133678309616215
train,9276,48,100,0.01078050884001725
train,9276,49,97,0.010457093574816731
train,9276,50,85,0.009163432514014662
train,9276,51,91,0.009810263044415696
train,9276,52,89,0.009594652867615351
train,9276,53,103,0.011103924105217766
train,9276,54,110,0.011858559724018974
train,9276,56,94,0.010133678309616215
train,9276,57,94,0.010133678309616215
train,9276,58,99,0.010672703751617076
train,9276,59,89,0.009594652867615351
train,9276,60,102,0.010996119016817595
train,9276,61,110,0.011858559724018974
train,9276,62,103,0.011103924105217766
train,9276,63,107,0.011535144458818456
train,9276,64,90,0.009702457956015525
train,9276,65,92,0.00991806813281587
train,9276,66,96,0.01034928848641656
train,9276,67,106,0.011427339370418284
train,9276,68,101,0.010888313928417421
train,9276,69,101,0.010888313928417421
train,9276,70,102,0.010996119016817595
train,9276,71,100,0.01078050884001725
train,9276,72,112,0.01207416990081932
train,9276,73,107,0.011535144458818456
train,9276,74,101,0.010888313928417421
train,9276,75,99,0.010672703751617076
train,9276,76,98,0.010564898663216905
train,9276,79,98,0.010564898663216905
train,9276,80,94,0.010133678309616215
train,9276,81,95,0.010241483398016386
train,9276,82,99,0.010672703751617076
train,9276,83,108,0.01164294954721863
train,9276,84,99,0.010672703751617076
train,9276,85,99,0.010672703751617076
train,9276,87,107,0.011535144458818456
train,9276,88,101,0.010888313928417421
train,9276,89,99,0.010672703751617076
train,9276,90,95,0.010241483398016386
train,9276,91,97,0.010457093574816731
train,9276,92,97,0.010457093574816731
train,9276,93,94,0.010133678309616215
train,9276,94,104,0.01121172919361794
train,9276,95,103,0.011103924105217766
train,9276,104,101,0.010888313928417421
train,9276,105,90,0.009702457956015525
train,9276,106,100,0.01078050884001725
train,9276,107,107,0.011535144458818456
train,9276,108,101,0.010888313928417421
train,9276,109,105,0.011319534282018111
train,9276,110,101,0.010888313928417421
train,9276,111,106,0.011427339370418284
valid,1986,0,12,0.006042296072507553
valid,1986,1,21,0.010574018126888218
valid,1986,2,15,0.007552870090634441
valid,1986,3,19,0.009566968781470292
valid,1986,4,20,0.010070493454179255
valid,1986,5,24,0.012084592145015106
valid,1986,6,19,0.009566968781470292
valid,1986,7,33,0.01661631419939577
valid,1986,10,20,0.010070493454179255
valid,1986,11,17,0.008559919436052367
valid,1986,12,14,0.007049345417925478
valid,1986,13,13,0.006545820745216516
valid,1986,15,24,0.012084592145015106
valid,1986,16,17,0.008559919436052367
valid,1986,17,19,0.009566968781470292
valid,1986,18,24,0.012084592145015106
valid,1986,19,23,0.011581067472306143
valid,1986,20,16,0.008056394763343404
valid,1986,24,16,0.008056394763343404
valid,1986,25,21,0.010574018126888218
valid,1986,26,18,0.00906344410876133
valid,1986,27,22,0.01107754279959718
valid,1986,28,14,0.007049345417925478
valid,1986,29,21,0.010574018126888218
valid,1986,30,17,0.008559919436052367
valid,1986,32,22,0.01107754279959718
valid,1986,33,14,0.007049345417925478
valid,1986,34,19,0.009566968781470292
valid,1986,35,22,0.01107754279959718
valid,1986,36,17,0.008559919436052367
valid,1986,37,25,0.012588116817724069
valid,1986,38,24,0.012084592145015106
valid,1986,39,24,0.012084592145015106
valid,1986,40,21,0.010574018126888218
valid,1986,41,23,0.011581067472306143
valid,1986,42,21,0.010574018126888218
valid,1986,43,14,0.007049345417925478
valid,1986,44,21,0.010574018126888218
valid,1986,45,18,0.00906344410876133
valid,1986,46,28,0.014098690835850957
valid,1986,48,24,0.012084592145015106
valid,1986,49,23,0.011581067472306143
valid,1986,50,34,0.017119838872104734
valid,1986,51,28,0.014098690835850957
valid,1986,52,27,0.013595166163141994
valid,1986,53,19,0.009566968781470292
